,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Revenue,73.82,98.96,5.43,4.91,82.79,13.11,73.83,16.32,151.84,68.86,Upgrade
1,Revenue Growth (YoY),1259.25%,1915.83%,-93.44%,-62.55%,12.13%,-19.67%,-51.37%,-76.30%,263.08%,-91.70%,Upgrade
2,Cost of Revenue,64.6,113.25,18.44,15.4,69.75,15.05,60.76,13.37,135.87,47.44,Upgrade
3,Gross Profit,9.22,-14.3,-13.01,-10.49,13.04,-1.94,13.07,2.95,15.97,21.42,Upgrade
4,"Selling, General & Admin",21.59,34.62,13.91,16.68,18.82,13.89,12.14,47.35,23.37,41.83,Upgrade
5,Other Operating Expenses,-6.05,-1.85,0.51,-15.8,8.71,-6.05,-3.11,5.3,-12.78,-11.21,Upgrade
6,Operating Expenses,15.54,26.59,20.6,0.88,27.53,7.84,9.03,52.65,10.59,30.63,Upgrade
7,Operating Income,-6.32,-40.89,-33.61,-11.36,-14.49,-9.78,4.05,-49.7,5.38,-9.21,Upgrade
8,Interest Expense,-6.57,-7.68,-8.03,-7.47,-5.28,-3.3,-2.02,-2.47,-3.99,-6.53,Upgrade
9,Interest & Investment Income,-,5.41,-,1.62,-,0.58,-,0.39,-,12.86,Upgrade
10,Earnings From Equity Investments,-22.89,-64.22,-16.64,-116.37,-29.43,-13.75,-6.68,2.46,14.36,-9.21,Upgrade
11,Currency Exchange Gain (Loss),-,-3.92,-,-3.61,-,-0.85,-,22.71,-,-23.88,Upgrade
12,EBT Excluding Unusual Items,-35.78,-111.29,-58.28,-137.19,-49.19,-27.1,-4.66,-26.61,15.75,-35.97,Upgrade
13,Gain (Loss) on Sale of Assets,-,-,-,-0.13,-,-0.06,-,-0.14,46.66,-0.02,Upgrade
14,Asset Writedown,-55.3,-2.62,-1.7,0.08,-6,-14.72,8.38,-2.58,-1.42,-12.58,Upgrade
15,Other Unusual Items,-,-,-,0.56,-,-,-,-,-,-,Upgrade
16,Pretax Income,-91.08,-113.91,-59.98,-136.66,-55.19,-41.88,3.72,-29.33,60.99,-48.58,Upgrade
17,Income Tax Expense,-,2.27,0,0.09,0.29,0.43,0.4,0.25,-,5.56,Upgrade
18,Earnings From Continuing Operations,-91.08,-116.18,-59.98,-136.75,-55.47,-42.31,3.32,-29.58,60.99,-54.13,Upgrade
19,Net Income to Company,-91.08,-116.18,-59.98,-136.75,-55.47,-42.31,3.32,-29.58,60.99,-54.13,Upgrade
20,Minority Interest in Earnings,2.33,0.91,1.37,-2.03,4.92,0.83,3.28,0.55,-27.46,3.63,Upgrade
21,Net Income,-88.76,-115.28,-58.61,-138.78,-50.55,-41.47,6.6,-29.03,33.53,-50.5,Upgrade
22,Net Income to Common,-88.76,-115.28,-58.61,-138.78,-50.55,-41.47,6.6,-29.03,33.53,-50.5,Upgrade
23,Net Income Growth,-,-,-,-,-,-,-80.31%,-,-,-,Upgrade
24,Shares Outstanding (Basic),375,375,375,375,375,375,375,417,477,477,Upgrade
25,Shares Outstanding (Diluted),375,375,375,375,375,375,375,417,477,477,Upgrade
26,Shares Change (YoY),-,-,-,-,-,-9.98%,-21.36%,-12.64%,-,-,Upgrade
27,EPS (Basic),-0.24,-0.31,-0.16,-0.37,-0.13,-0.11,0.02,-0.07,0.07,-0.11,Upgrade
28,EPS (Diluted),-0.24,-0.31,-0.16,-0.37,-0.13,-0.11,0.02,-0.07,0.07,-0.11,Upgrade
29,EPS Growth,-,-,-,-,-,-,-74.96%,-,-,-,Upgrade
30,Free Cash Flow,45.14,37.37,-37.53,-124.49,36.32,18.26,-33.39,-33.45,151.96,-115.12,Upgrade
31,Free Cash Flow Per Share,0.12,0.10,-0.10,-0.33,0.10,0.05,-0.09,-0.08,0.32,-0.24,Upgrade
32,Operating Margin,-8.56%,-41.32%,-618.82%,-231.47%,-17.50%,-74.59%,5.48%,-304.54%,3.55%,-13.38%,Upgrade
33,Profit Margin,-120.23%,-116.49%,-1079.18%,-2826.99%,-61.06%,-316.36%,8.94%,-177.91%,22.08%,-73.34%,Upgrade
34,Free Cash Flow Margin,61.15%,37.76%,-690.98%,-2535.95%,43.87%,139.29%,-45.22%,-204.95%,100.08%,-167.19%,Upgrade
35,EBITDA,-5.49,-40.05,-32.78,-10.56,-13.65,-8.94,4.89,-48.86,6.31,-8.26,Upgrade
36,D&A For EBITDA,0.83,0.84,0.83,0.8,0.84,0.83,0.84,0.84,0.92,0.96,Upgrade
37,EBIT,-6.32,-40.89,-33.61,-11.36,-14.49,-9.78,4.05,-49.7,5.38,-9.21,Upgrade
