,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,3131,5101,2223,5063,2883,5242,2355,4560,2436,4330
1,Revenue Growth (YoY),40.87%,0.74%,-22.91%,-3.41%,22.42%,14.95%,-3.30%,5.33%,-10.46%,-
2,Cost of Revenue,1295,1788,995.13,1997,1354,2063,1096,1605,877.27,1472
3,Gross Profit,1836,3313,1228,3066,1530,3179,1259,2955,1559,2858
4,"Selling, General & Admin",2767,2759,1600,2111,1649,2005,1366,1676,1163,1750
5,Other Operating Expenses,-7.48,-81.55,68.43,-36.93,-17.85,-6.68,-8.61,-40.21,-33.31,-48.1
6,Operating Expenses,2759,2766,1668,2141,1631,2009,1357,1637,1129,1702
7,Operating Income,-922.89,547.29,-440.5,925.24,-101.49,1170,-97.67,1318,429.37,1156
8,Interest Expense,-2.56,-3.3,-3.42,-1.77,-7.82,-1.98,-18.76,-2.56,-4.7,-11.86
9,Interest & Investment Income,130.37,135.18,137.01,93.47,85.28,85.42,56.49,6.68,4.14,3.5
10,Currency Exchange Gain (Loss),-15.64,7.75,-9.62,-11.66,-144.36,64.5,-,-1.4,-,-0.86
11,EBT Excluding Unusual Items,-810.72,686.92,-316.54,1005,-168.39,1318,-59.94,1321,428.81,1147
12,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-0.23
13,Legal Settlements,-,6.75,-,1.17,-,13.14,-,-,-,-
14,Other Unusual Items,-,-,18.77,-,-,-,-,-,-,-
15,Pretax Income,-810.72,693.67,-297.76,1006,-168.39,1331,-59.94,1321,428.81,1146
16,Income Tax Expense,-146.98,200.9,-130.3,246.21,-19.52,272.6,-16,313.62,126.61,284.78
17,Net Income,-663.75,492.77,-167.46,760.24,-148.87,1058,-43.94,1007,302.19,861.66
18,Net Income to Common,-663.75,492.77,-167.46,760.24,-148.87,1058,-43.94,1007,302.19,861.66
19,Net Income Growth,-,-35.18%,-,-28.17%,-,5.08%,-,16.89%,38.65%,-
20,Shares Outstanding (Basic),5529,5570,5570,5583,5618,5749,5853,5061,5000,5000
21,Shares Outstanding (Diluted),5529,5578,5570,5626,5618,5815,5853,5086,5000,5000
22,Shares Change (YoY),-0.74%,-0.86%,-0.84%,-3.25%,-4.02%,14.34%,17.06%,1.72%,-,-
23,EPS (Basic),-0.12,0.09,-0.03,0.14,-0.03,0.18,-0.01,0.20,0.06,0.17
24,EPS (Diluted),-0.12,0.09,-0.03,0.14,-0.03,0.18,-0.01,0.20,0.06,0.17
25,EPS Growth,-,-34.54%,-,-25.79%,-,-8.14%,-,14.98%,38.56%,-
26,Free Cash Flow,-679.77,572.19,91.81,1129,-853.1,1298,-176.46,606.91,447.45,810.69
27,Free Cash Flow Per Share,-0.12,0.10,0.02,0.20,-0.15,0.22,-0.03,0.12,0.09,0.16
28,Dividend Per Share,0.040,-,-,-,-,-,-,-,-,-
29,Operating Margin,-29.47%,10.73%,-19.82%,18.27%,-3.52%,22.32%,-4.15%,28.90%,17.63%,26.70%
30,Profit Margin,-21.20%,9.66%,-7.53%,15.01%,-5.16%,20.19%,-1.87%,22.09%,12.41%,19.90%
31,Free Cash Flow Margin,-21.71%,11.22%,4.13%,22.29%,-29.59%,24.77%,-7.49%,13.31%,18.37%,18.72%
32,EBITDA,-845.1,601.08,-361.01,977.5,-20.27,1214,-10.15,1380,494.34,1206
33,D&A For EBITDA,77.79,53.79,79.5,52.26,81.22,44.26,87.52,61.6,64.97,49.69
34,EBIT,-922.89,547.29,-440.5,925.24,-101.49,1170,-97.67,1318,429.37,1156
35,Advertising Expenses,1297,-,352.98,-,376.45,-,346.45,-,258.92,-
