,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,66799,46482,59072,65460,60629,56746,51470,50967,64646,68633,57799,89956,76327,108780,112060,123150,-,-,-,-,-
1,Market Cap Growth,-18.09%,-18.09%,14.77%,28.44%,-6.21%,-17.32%,-10.95%,-43.34%,-15.30%,-36.91%,-48.42%,-26.95%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,51486,30713,44256,52867,46690,43305,37881,35930,49869,53718,42948,74938,61636,94644,98162,124505,-,-,-,-,-
3,Last Close Price,72.95,52.95,70.60,73.00,71.15,57.85,57.30,56.41,73.60,77.30,-,-,-,-,-,-,-,-,-,-,-
4,PE Ratio,39.61,27.56,36.37,42.79,42.65,46.86,82.24,127.76,371.97,-,99.75,128.09,-,-71.75,-44.43,-,-,-,-,-,-
5,PS Ratio,5.94,5.94,7.50,8.95,8.77,8.65,8.79,9.38,12.16,13.46,11.59,16.87,13.41,20.81,24.32,32.08,-,-,-,-,-
6,PB Ratio,2.92,2.92,3.64,4.12,3.96,3.84,3.55,3.68,4.81,5.22,4.26,6.76,5.74,8.30,8.86,10.36,-,-,-,-,-
7,P/TBV Ratio,2.97,2.97,3.71,4.23,4.05,3.84,3.55,3.68,4.81,5.22,4.26,6.76,5.74,8.30,8.86,10.36,-,-,-,-,-
8,P/FCF Ratio,12.33,15.69,29.65,33.87,26.36,-,29.89,40.72,61.97,-,46.66,74.86,43.24,68.16,69.26,78.38,-,-,-,-,-
9,P/OCF Ratio,12.33,12.33,15.18,17.34,16.41,16.90,21.07,25.78,45.15,60.53,37.89,59.73,34.91,53.99,59.51,67.10,-,-,-,-,-
10,EV/Sales Ratio,6.57,3.92,5.62,7.23,6.75,6.60,6.47,6.62,9.38,10.53,8.61,14.05,10.83,18.10,21.31,32.43,-,-,-,-,-
11,EV/EBITDA Ratio,29.87,19.42,30.09,40.03,44.01,51.17,200.73,879.59,-,-,70.23,89.14,69.81,144.12,-313.65,-191.16,-,-,-,-,-
12,EV/EBIT Ratio,41.22,24.61,39.38,52.04,56.54,67.66,1936.10,-317.24,-,-,83.83,100.35,-,164.04,-258.55,-175.16,-,-,-,-,-
13,EV/FCF Ratio,8.15,10.37,22.21,27.35,20.30,-,22.00,28.70,47.81,-,34.67,62.36,34.92,59.31,60.67,79.24,-,-,-,-,-
