,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,1804,1889,1893,1684,1567,1592,1471,1260,1070,1164,1100,1127,1051,1212,1175,782.16,627.95,590.13,426.48,279.11
1,Other Revenue,19.49,22.47,24.02,19.67,13.51,15.14,16.79,17.49,12.64,14.1,12.48,10.56,40.1,-,-6.38,6.38,17.18,-,-,3.5
2,Revenue,1824,1912,1917,1704,1580,1607,1488,1278,1082,1179,1112,1138,1091,1212,1168,788.54,645.13,590.13,426.48,282.61
3,Revenue Growth (YoY),15.40%,18.98%,28.85%,33.36%,46.01%,36.32%,33.74%,12.27%,-0.77%,-2.74%,-4.78%,44.30%,69.06%,105.34%,173.91%,179.02%,-,-,-,-
4,Cost of Revenue,313.72,314.03,316.53,295.44,274.85,267.53,270.32,247.16,202.4,200.89,174.23,177.35,149.79,154.83,143.17,106.86,79.25,68.89,54.22,37.85
5,Gross Profit,1510,1598,1600,1408,1305,1339,1217,1030,879.88,977.68,938.11,960.53,940.87,1057,1025,681.68,565.88,521.25,372.26,244.76
6,"Selling, General & Admin",702.18,808.7,806.38,849.74,658.24,676.77,674.58,793.42,929.66,553.01,559.87,678.06,492.64,539.76,694.78,700.25,946.68,350.65,425.04,422.17
7,Research & Development,440.36,464.15,443.73,467.57,430.16,414.43,365.91,333.07,294.06,290.23,307.69,290.74,198.93,209.32,249.96,163.77,151.96,139.59,117.01,104.8
8,Other Operating Expenses,-13.21,-5.49,-8.51,-12.59,-5.27,-13.08,1.78,-18.81,-3.35,-3.5,-5.73,-5.01,-4.03,-3.29,-5.34,-2.32,-1.75,-3.4,-2.33,-1.36
9,Operating Expenses,1129,1267,1242,1305,1083,1078,1042,1108,1220,839.74,861.83,963.79,687.55,745.79,939.4,861.7,1097,486.84,539.72,525.61
10,Operating Income,380.56,330.18,358.61,103.59,222.25,260.99,175.03,-77.3,-340.49,137.94,76.29,-3.26,253.32,311.14,85.61,-180.02,-531.01,34.41,-167.46,-280.85
11,Interest & Investment Income,156.46,158.95,153.81,156.06,163.41,164.68,151.28,127.39,117.36,67.87,28.31,12.95,11.93,9.9,7.87,4.77,4.91,1.24,0.26,5.83
12,Currency Exchange Gain (Loss),-0.13,-0.03,0.06,0.03,-1.2,-0.52,3.91,-1.1,-1.51,5.44,5.14,-0.44,-1.64,0.27,-1.05,0.46,-2.85,-1.1,-0,-1.12
13,Other Non Operating Income (Expenses),-1.93,36.95,-0.26,-0.26,-4,32.44,-1.11,5.64,7.72,28.22,-15.69,-8.85,-1.08,-5.07,-0.2,-1.4,-0.53,-0.75,-0.18,-2.69
14,EBT Excluding Unusual Items,534.97,526.05,512.22,259.42,380.46,457.59,329.1,54.64,-216.92,239.47,94.05,0.4,262.53,316.23,92.23,-176.18,-529.48,33.8,-167.38,-278.83
15,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-1506,-,-,-,-,-
16,Pretax Income,534.97,526.05,512.22,259.42,380.46,457.59,329.1,54.64,-216.92,239.47,94.05,0.4,262.53,316.23,-1414,-176.18,-529.48,33.8,-167.38,-278.83
17,Income Tax Expense,90.74,62.22,94.97,17.7,49.22,31.87,19.51,21.97,-32.12,27.75,1.56,12.57,29.46,30.07,-,-,-,-,-,-
18,Earnings From Continuing Operations,444.23,463.83,417.25,241.72,331.24,425.72,309.6,32.66,-184.79,211.72,92.49,-12.17,233.07,286.17,-1414,-176.18,-529.48,33.8,-167.38,-278.83
19,Minority Interest in Earnings,5.38,4.55,4.48,3.23,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Net Income,449.61,468.37,421.73,244.95,331.23,425.72,309.6,32.66,-184.79,211.72,92.49,-12.17,233.07,286.17,-1414,-176.18,-529.48,33.8,-167.38,-278.83
21,Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,-,-,-,-,-,-,71.8,92.26,90.16,63.81,65.22,64.79
22,Net Income to Common,449.61,468.37,421.73,244.95,331.23,425.72,309.6,32.66,-184.79,211.72,92.49,-12.17,233.07,286.17,-1486,-268.44,-619.64,-30,-232.6,-343.63
23,Net Income Growth,35.74%,10.02%,36.22%,649.93%,-,101.08%,234.72%,-,-,-26.02%,-,-,-,746.63%,-,-,-,-,-,-
