,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,2553,2816,3472,2747,2473,2445,2741,6255,9752,11159,12174,11357,11342,10756,11089,4101,3998,-,-,-
1,Short-Term Investments,12128,11783,10887,9154,10500,10355,10111,7202,3526,2764,876.87,1069,948.81,1185,619.7,590.27,574.18,-,-,-
2,Cash & Short-Term Investments,14681,14599,14360,11902,12973,12799,12852,13456,13278,13923,13051,12425,12291,11941,11709,4692,4572,-,-,1574
3,Cash Growth,13.17%,14.07%,11.73%,-11.55%,-2.30%,-8.07%,-1.53%,8.30%,8.04%,16.60%,11.46%,164.84%,168.80%,-,-,198.10%,-,-,-,-
4,Accounts Receivable,40.71,29.12,29.86,25.64,16.73,16.46,15.2,13.24,9.86,4.51,2.01,1.52,1,0.74,2.6,10.84,7,-,-,-
5,Other Receivables,7.26,9.06,219.68,6.35,178.31,6.13,165.08,11.17,205.95,10.05,250.03,9,357.97,6.99,9.08,90.01,75.37,-,-,-
6,Receivables,47.97,38.19,273.14,31.99,220.78,22.59,210.1,24.4,249.48,14.56,305.84,10.52,411.67,7.73,11.68,132.96,115.27,-,-,-
7,Inventory,3.04,2.87,2.79,2.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
8,Prepaid Expenses,-,-,105.07,-,96.72,-,125.41,-,214.14,-,138.19,-,236.82,-,-,113.97,53.2,-,-,-
9,Other Current Assets,368.26,506.6,115.01,678.59,82.69,635.44,65.21,476.08,84.34,549.17,23.51,583.01,19.9,602.67,263.35,3.26,6.46,-,-,-
10,Total Current Assets,15100,15147,14856,12615,13373,13457,13252,13957,13826,14487,13519,13019,12959,12552,11984,4942,4747,-,-,-
11,"Property, Plant & Equipment",2037,2162,2318,2238,2076,1443,1159,1029,980.66,861.34,849.72,711.64,678.21,530.3,421.1,375.64,335.42,-,-,-
12,Long-Term Investments,1915,1236,1713,3578,2473,2405,1952,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Goodwill,6.53,6.53,6.53,6.53,5.69,5.69,5.69,5.69,5.69,-,-,-,-,-,-,-,-,-,-,-
14,Other Intangible Assets,252.59,261.68,270.77,279.85,8.09,8.63,9.17,9.71,10.25,0.39,0.41,0.44,0.46,0.48,0.5,0.53,0.55,-,-,-
15,Long-Term Deferred Charges,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.61,-,-,-,-
16,Other Long-Term Assets,-,-,-,-,4,4,4,4,4,4,4,4,4,4,4,-,-,-,-,-
17,Total Assets,19311,18813,19165,18717,17940,17324,16383,15005,14827,15353,14373,13735,13642,13086,12409,5319,5083,-,-,-
18,Accounts Payable,110.67,81.44,78.5,464.78,52.53,340.92,28.32,108.93,10.88,51.76,135.27,105.14,2.33,33.29,102.04,97.6,41.86,-,-,-
19,Accrued Expenses,-,-,345,-,473.34,-,344.26,-,398.73,-,359.48,-,403.93,-,-,164.09,260.12,-,-,-
20,Current Portion of Leases,180.78,192.1,185.66,145.04,155.01,136.23,148.93,150.46,151.44,150.51,146.13,128.89,127.53,100.01,83.58,61.67,59.56,-,-,-
21,Current Income Taxes Payable,-,-,109.72,-,116.66,-,48.22,-,152.6,-,148.78,-,218.42,-,-,26.9,21.7,-,-,-
22,Current Unearned Revenue,3085,3072,3175,3141,2794,2594,2565,2433,2061,2039,1979,2112,1959,1880,1870,1594,1200,-,-,-
23,Other Current Liabilities,815.77,644.62,252,710.53,765.73,592.66,272.7,393.12,256.57,638.95,70.72,457.23,73.42,440.19,373,137.38,136.43,-,-,-
24,Total Current Liabilities,4192,3990,4146,4461,4357,3664,3407,3085,3031,2880,2839,2803,2784,2453,2429,2082,1720,-,-,-
25,Long-Term Leases,121.35,166.45,211.22,111.99,125.08,108.66,117.78,124.96,143.59,163.8,166.31,163.04,183.37,158.23,98.28,93.65,76.37,-,-,-
26,Long-Term Deferred Tax Liabilities,34.45,23.49,26.4,28.65,28.43,26.12,25.82,27.1,11.4,-,-,-,-,-,-,-,-,-,-,-
27,Total Liabilities,4348,4180,4383,4602,4511,3799,3551,3237,3186,3044,3006,2967,2968,2611,2527,2175,1796,-,-,-
28,Common Stock,14963,14634,0.57,14115,0.56,13525,0.56,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.52,0.08,0.08,-,-,-
29,Additional Paid-In Capital,-,-,15681,-,15497,-,15966,15684,15450,15160,14966,14775,14624,14483,14216,366.37,452.23,-,-,-
30,Retained Earnings,-,-,-1821,-,-2487,-,-3244,-3554,-3586,-3401,-3613,-3705,-3693,-3926,-4212,-2798,-2622,-,-,-
31,Treasury Stock,-,-,-149.54,-,-479.73,-,-989.79,-918.89,-918.89,-346.53,-267.98,-,-,-,-,-,-,-,-,-
32,Comprehensive Income & Other,-,-,964.68,-,898.81,-,1099,555.26,695.18,895.74,281.25,-302.01,-257.77,-82.12,-122.5,-104.42,-130.39,-,-,-
33,Total Common Equity,14963,14634,14676,14115,13429,13525,12832,11767,11641,12309,11367,10768,10674,10475,9882,-2536,-2300,-,-,-1661
34,Minority Interest,-,-,105.26,-,-0.01,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
35,Shareholders' Equity,14963,14634,14781,14115,13429,13525,12832,11767,11641,12309,11367,10768,10674,10475,9882,3143,3287,-,-,833.49
36,Total Liabilities & Equity,19311,18813,19165,18717,17940,17324,16383,15005,14827,15353,14373,13735,13642,13086,12409,5319,5083,-,-,-
37,Total Debt,302.13,358.55,396.88,257.03,280.09,244.89,266.71,275.42,295.03,314.31,312.44,291.93,310.9,258.24,181.86,155.31,135.93,-,-,94.88
38,Net Cash (Debt),14379,14241,13963,11645,12693,12554,12585,13181,12983,13609,12739,12133,11980,11683,11527,4536,4436,-,-,1479
39,Net Cash Growth,13.28%,13.43%,10.95%,-11.65%,-2.24%,-7.75%,-1.20%,8.63%,8.38%,16.49%,10.51%,167.47%,170.03%,-,-,206.72%,-,-,-,-
40,Net Cash Per Share,32.00,31.41,30.22,25.67,28.09,27.91,27.96,29.05,30.03,29.72,27.92,27.90,25.96,25.20,145.80,66.58,73.37,-,-,27.57
41,Filing Date Shares Outstanding,437.05,441.88,445.49,440.37,439.93,435.18,434.32,432.99,432.84,436.15,435.8,434.82,434.94,430.73,79.06,63.9,64.49,54.57,53.65,53.65
42,Total Common Shares Outstanding,437.05,441.88,445.49,440.37,439.9,435.18,434.32,432.99,432.71,436.15,435.8,434.82,434.34,430.73,79.06,63.9,64.49,54.57,53.65,53.65
43,Working Capital,10908,11157,10710,8153,9016,9794,9845,10871,10795,11607,10679,10215,10175,10098,9555,2860,3027,-,-,-
