,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Market Capitalization,27211,27380,32124,25713,-,-
1,Market Cap Growth,6.48%,6.48%,-,-,-,-
2,Enterprise Value,20987,20795,25636,35516,-,-
3,Last Close Price,8.03,8.08,9.61,7.69,-,-
4,PE Ratio,16.47,17.06,12.53,11.39,-,-
5,Forward PE,11.81,11.64,15.18,13.94,-,-
6,PS Ratio,3.20,3.33,4.15,3.77,-,-
7,PB Ratio,1.92,1.93,2.30,1.99,-,-
8,P/TBV Ratio,1.93,1.93,2.30,1.99,-,-
9,P/FCF Ratio,-,-134.21,-,-,-,-
10,P/OCF Ratio,35.38,35.38,80.72,139.41,-,-
11,EV/Sales Ratio,2.56,2.53,3.31,5.21,-,-
12,EV/EBITDA Ratio,8.44,8.44,10.56,16.76,-,-
13,EV/EBIT Ratio,9.68,9.44,11.67,18.43,-,-
14,EV/FCF Ratio,-102.87,-101.93,-,-,-,-
15,Debt / Equity Ratio,0.02,0.02,0.01,0.01,-2.71,-
16,Debt / FCF Ratio,-,-1.68,-,-,-,-
17,Return on Capital Employed (ROCE),15.24%,15.49%,15.67%,14.82%,24.58%,-
18,Earnings Yield,5.90%,5.86%,7.98%,8.78%,-,-
19,FCF Yield,-0.75%,-0.75%,-1.70%,-3.28%,-,-
20,Buyback Yield / Dilution,-10.20%,-11.95%,-8.57%,-26.91%,-,-
21,Total Shareholder Return,-7.96%,-11.95%,-8.57%,-26.91%,-,-
