,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022"
0,Revenue,4133,3512,3519,2795,3061
1,Revenue Growth (YoY),17.46%,25.64%,14.96%,-,-
2,Cost of Revenue,1705,1469,1482,1259,1358
3,Gross Profit,2429,2043,2037,1536,1703
4,"Selling, General & Admin",1178,1061,1012,837.03,849.41
5,Other Operating Expenses,-148.42,-5.7,-47.91,-16.58,-29.25
6,Operating Expenses,1304,1118,968.39,821.59,822.73
7,Operating Income,1125,925.05,1069,714.29,880.31
8,Interest Expense,-3.28,-1.87,-2.55,-8.42,-21.02
9,Interest & Investment Income,-,159.5,-,30.77,-
10,Currency Exchange Gain (Loss),-,-9.5,-,-1.51,-
11,Other Non Operating Income (Expenses),-,-40.41,782.38,-47.64,-119.78
12,EBT Excluding Unusual Items,1122,1033,1849,687.49,739.51
13,Gain (Loss) on Sale of Assets,-,0.2,-,-0.91,-
14,Other Unusual Items,-,4.12,-,8.99,-
15,Pretax Income,1122,1037,1849,695.57,739.51
16,Income Tax Expense,370.02,294.91,263.69,190.38,214.84
17,Net Income,751.72,742.18,1585,505.19,524.67
18,Net Income to Common,751.72,742.18,1585,505.19,524.67
19,Net Income Growth,-52.57%,46.91%,202.07%,-,-
20,Shares Outstanding (Basic),3271,3276,2668,2330,2330
21,Shares Outstanding (Diluted),3310,3276,2957,3018,2330
22,Shares Change (YoY),11.95%,8.57%,26.91%,-,-
23,EPS (Basic),0.23,0.23,0.59,0.22,0.23
24,EPS (Diluted),0.23,0.23,0.26,0.20,0.23
25,EPS Growth,-12.83%,13.67%,15.64%,-,-
26,Free Cash Flow,62.51,-252.38,-244.66,-536.63,-1241
27,Free Cash Flow Per Share,0.02,-0.08,-0.08,-0.18,-0.53
28,Operating Margin,27.22%,26.34%,30.37%,25.56%,28.76%
29,Profit Margin,18.19%,21.14%,45.04%,18.08%,17.14%
30,Free Cash Flow Margin,1.51%,-7.19%,-6.95%,-19.20%,-40.54%
31,EBITDA,1258,1035,1169,792.77,920.69
32,D&A For EBITDA,133.37,110.26,99.96,78.48,40.38
33,EBIT,1125,925.05,1069,714.29,880.31
