,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,78.59,72.1,67.62,60.91,64.76,69.86,59.28,50.42,69.07,26.56,52.72,49.13,64.05,49.52,49.52
1,Other Revenue,-7.82,7.82,-,11.63,-5.07,5.07,-,9.9,-7.05,7.05,-,6.32,-5.11,2.56,2.56
2,Revenue,70.77,79.92,67.62,72.54,59.68,74.94,59.28,60.33,62.02,33.61,52.72,55.45,58.94,52.08,52.08
3,Revenue Growth (YoY),18.57%,6.64%,14.07%,20.25%,-3.77%,122.95%,12.44%,8.79%,5.22%,-35.46%,1.24%,-,-,-,-
4,Cost of Revenue,28.93,29.2,27.15,29.81,24.34,29.02,24.01,24.78,21.5,14.06,19.05,20.87,20.82,20.41,20.41
5,Gross Profit,41.83,50.71,40.47,42.73,35.34,45.92,35.27,35.54,40.52,19.56,33.67,34.58,38.12,31.67,31.67
6,"Selling, General & Admin",15.33,14.29,14.14,14.77,14.82,10.25,13.35,10.94,12.68,5.77,8.64,10.24,10.58,6.92,6.92
7,Research & Development,10.07,8.22,5.82,8.85,5.3,5.54,4.02,4.54,3.94,3.16,4.44,5.58,4.22,4.28,4.28
8,Other Operating Expenses,-0.03,-0.04,-0.09,0.34,-0.05,-0.68,0.03,-0.04,-0.31,-0.26,0.16,0.65,-1.01,-0.22,-0.22
9,Operating Expenses,25.7,24.39,20.72,22.42,20.92,16,18,13.8,16.73,9.75,13.53,16.88,12.84,11.48,11.48
10,Operating Income,16.13,26.32,19.75,20.31,14.43,29.92,17.27,21.75,23.79,9.8,20.14,17.7,25.28,20.19,20.19
11,Interest Expense,-1.46,-1.37,-1.38,-1.38,-1.42,-1.46,-1.38,-1.4,-1.4,-2.88,-,-1.17,-1.43,-1.32,-1.32
12,Interest & Investment Income,4.15,1.3,1.59,3.22,2.14,2.8,2.83,3.49,2.58,2.51,-,0.65,0.62,0.38,0.38
13,Currency Exchange Gain (Loss),-0.06,0.06,-,0.16,-0.05,0.05,-,0.65,-0.36,0.36,-,-0.16,0.07,-0.03,-0.03
14,Other Non Operating Income (Expenses),-0.19,0.04,0.01,-0.04,-0.27,-0.02,0.03,-3.72,3.78,0.45,-0.46,-0.49,0.63,0.58,0.58
15,EBT Excluding Unusual Items,18.57,26.35,19.97,22.26,14.83,31.29,18.76,20.76,28.39,10.24,19.68,16.53,25.17,19.8,19.8
16,Gain (Loss) on Sale of Assets,-0.04,0.04,-0.04,0.02,0,0,-,-,0.33,-0.24,-,-0,-0.02,-0.07,-0.07
17,Asset Writedown,-0.62,-0.04,-,0.09,-0.18,-0.07,0.06,-0.21,-0.13,0.12,-0.12,0.28,-0.28,-,-
18,Other Unusual Items,0.49,0.22,2.38,2.31,-,-,-,6.07,-,-,-,2.95,-,-,-
19,Pretax Income,18.39,26.57,22.31,24.68,14.65,31.22,18.82,26.62,28.59,10.11,19.56,19.75,24.88,19.73,19.73
20,Income Tax Expense,2.21,3.26,2.41,2.72,0.61,4.36,3.32,3.41,3.88,1.18,2.8,2.13,3.41,2.67,2.67
21,Earnings From Continuing Operations,16.18,23.31,19.9,21.96,14.04,26.85,15.5,23.21,24.71,8.93,16.77,17.62,21.47,17.06,17.06
22,Minority Interest in Earnings,0.11,-1.89,-3.59,0.18,-0.06,-3.05,-2.09,-,-,-,-,-,-,0,0
23,Net Income,16.28,21.42,16.31,22.14,13.98,23.8,13.41,23.21,24.71,8.93,16.77,17.62,21.47,17.06,17.06
24,Net Income to Common,16.28,21.42,16.31,22.14,13.98,23.8,13.41,23.21,24.71,8.93,16.77,17.62,21.47,17.06,17.06
25,Net Income Growth,16.50%,-9.98%,21.62%,-4.60%,-43.42%,166.67%,-20.02%,31.70%,15.09%,-47.69%,-1.73%,-,-,-,-
26,Shares Outstanding (Basic),78,78,78,76,78,77,79,88,77,58,59,59,58,58,58
27,Shares Outstanding (Diluted),78,78,78,76,78,77,79,88,77,58,59,59,58,58,58
28,Shares Change (YoY),-0.02%,1.59%,-1.54%,-14.17%,0.73%,32.33%,33.90%,50.70%,33.26%,-0.18%,0.93%,-,-,-,-
29,EPS (Basic),0.21,0.27,0.21,0.29,0.18,0.31,0.17,0.26,0.32,0.15,0.28,0.30,0.37,0.29,0.29
30,EPS (Diluted),0.21,0.27,0.21,0.29,0.18,0.31,0.17,0.26,0.32,0.15,0.28,0.30,0.37,0.29,0.29
31,EPS Growth,16.51%,-11.39%,23.53%,11.15%,-43.83%,101.53%,-40.27%,-12.60%,-13.63%,-47.60%,-2.63%,-,-,-,-
32,Free Cash Flow,21.96,22.91,4.56,42.98,10,12.05,14.71,49.04,20.15,2.04,-19.88,19.99,32.68,18.1,18.1
33,Free Cash Flow Per Share,0.28,0.29,0.06,0.57,0.13,0.16,0.19,0.55,0.26,0.04,-0.34,0.34,0.56,0.31,0.31
34,Dividend Per Share,-,-,-,0.400,-,-,-,0.385,-,-,-,-,-,-,-
35,Dividend Growth,-,-,-,4.00%,-,-,-,-,-,-,-,-,-,-,-
36,Gross Margin,59.11%,63.46%,59.85%,58.90%,59.22%,61.28%,59.49%,58.92%,65.33%,58.18%,63.86%,62.36%,64.68%,60.80%,60.80%
37,Operating Margin,22.80%,32.94%,29.21%,28.00%,24.17%,39.93%,29.14%,36.05%,38.36%,29.17%,38.20%,31.92%,42.89%,38.76%,38.76%
38,Profit Margin,23.01%,26.81%,24.12%,30.52%,23.42%,31.76%,22.62%,38.47%,39.84%,26.55%,31.80%,31.78%,36.42%,32.76%,32.76%
39,Free Cash Flow Margin,31.03%,28.66%,6.74%,59.26%,16.76%,16.08%,24.82%,81.29%,32.50%,6.07%,-37.70%,36.06%,55.45%,34.75%,34.75%
40,EBITDA,21.33,32.42,24.95,25.5,17.72,35.31,20.57,25.04,26.59,13.04,22.93,20.5,28.02,22.93,22.93
41,EBITDA Margin,30.14%,40.56%,36.89%,35.15%,29.69%,47.12%,34.70%,41.51%,42.87%,38.80%,43.50%,36.96%,47.55%,44.03%,44.03%
42,D&A For EBITDA,5.19,6.09,5.19,5.19,3.3,5.39,3.3,3.3,2.8,3.24,2.8,2.8,2.74,2.74,2.74
43,EBIT,16.13,26.32,19.75,20.31,14.43,29.92,17.27,21.75,23.79,9.8,20.14,17.7,25.28,20.19,20.19
44,EBIT Margin,22.80%,32.94%,29.21%,28.00%,24.17%,39.93%,29.13%,36.05%,38.36%,29.17%,38.20%,31.92%,42.89%,38.76%,38.76%
45,Effective Tax Rate,12.03%,12.25%,10.79%,11.01%,4.16%,13.98%,17.65%,12.81%,13.59%,11.72%,14.29%,10.79%,13.70%,13.53%,13.53%
46,Revenue as Reported,70.77,79.92,67.62,72.54,59.68,74.94,59.28,60.33,62.02,33.61,52.72,55.45,58.94,52.08,52.08
