,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,690.4,676.53,688.92,703.69,672.21,669.08,697.07,686.36,659.06,654.19,-,230.65,-,-,-
1,Short-Term Investments,-,20,-,20.36,-,20.38,-,20.38,-,-,-,-,-,-,-
2,Trading Asset Securities,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-
3,Cash & Short-Term Investments,690.4,696.53,688.92,724.05,672.21,689.46,697.07,706.73,659.06,654.19,240.65,240.65,-,-,176.44
4,Cash Growth,2.71%,1.03%,-1.17%,2.45%,1.99%,5.39%,189.66%,193.67%,-,-,36.40%,-,-,-,-
5,Accounts Receivable,61.96,56.99,47.75,23.67,48.41,45.15,35.02,28,50.96,39.56,-,21.61,-,-,-
6,Other Receivables,0.43,2.88,0.34,0.27,0.44,2.27,0.46,0.35,0.38,2.91,-,1.05,-,-,-
7,Receivables,62.39,59.87,48.09,23.94,48.85,47.42,35.48,28.35,51.34,42.46,-,22.65,-,-,-
8,Inventory,7.78,6.18,7.16,5.32,6.48,5.14,6.95,6.52,6.09,5.76,-,7.15,-,-,-
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,7.74,-,-,-
10,Other Current Assets,36,3.38,23.89,11.32,13.8,0.94,26.81,3.23,1.88,0.35,-,0.41,-,-,-
11,Total Current Assets,796.58,765.96,768.05,764.62,741.34,742.96,766.31,744.84,718.37,702.77,-,278.61,-,-,-
12,"Property, Plant & Equipment",378.03,384.28,382.84,376.24,382.58,380.88,360.6,361.79,298.79,302.16,-,294.89,-,-,-
13,Long-Term Investments,-,20.07,-,10.07,-,-,-,-,-,10,-,-,-,-,-
14,Goodwill,2.44,2.44,2.44,2.44,2.44,2.44,2.44,2.44,-,-,-,-,-,-,-
15,Other Intangible Assets,36.25,36.13,35.99,36.25,36.52,36.36,36.63,36.89,19.51,19.69,-,20.03,-,-,-
16,Long-Term Deferred Tax Assets,4.67,4.76,4.39,4.22,4.21,4.45,4.45,4.29,4.43,3.87,-,3.36,-,-,-
17,Long-Term Deferred Charges,25,26.4,26.09,25.75,12.74,13.73,14.9,15.5,16.32,13.74,-,15.22,-,-,-
18,Other Long-Term Assets,6.79,8.01,25,4.23,13.33,3.96,5.26,2.96,12.15,1.42,-,0.67,-,-,-
19,Total Assets,1250,1248,1245,1224,1193,1185,1191,1169,1070,1054,-,612.77,-,-,-
20,Accounts Payable,15.26,19.05,16.93,14.48,13.38,13.18,13.71,17.04,19.3,29.69,-,43.28,-,-,-
21,Accrued Expenses,16.23,13.19,6.07,19.68,13.61,10.78,6.65,13.26,9.21,4.54,-,9.63,-,-,-
22,Short-Term Debt,3.44,3,2.86,-,-,-,-,-,-,-,-,-,-,-,-
23,Current Portion of Leases,15.84,16.83,16.64,14.73,13.26,13.62,11.35,10.75,11.01,10.89,-,9.71,-,-,-
24,Current Income Taxes Payable,7.49,3.74,2.65,3.61,5.92,5.79,5.23,3.8,4.69,1.67,-,2.7,-,-,-
25,Current Unearned Revenue,47.22,47.72,43.76,30.65,32.13,35.34,38.55,26.76,25.67,27.4,-,34.26,-,-,-
26,Other Current Liabilities,4.4,16.42,15.2,11.96,11.5,11.49,15.33,12.02,2.85,3.93,-,3.04,-,-,-
27,Total Current Liabilities,109.88,119.95,104.11,95.11,89.8,90.2,90.82,83.64,72.74,78.12,-,102.61,-,-,-
28,Long-Term Leases,95.47,99.45,103.59,103.84,101.49,106.9,107.78,110.68,109.01,112.4,-,100.86,-,-,-
29,Long-Term Unearned Revenue,9.14,9.79,10.45,11.1,10.78,11.08,11.37,11.67,11.19,11.19,-,11.68,-,-,-
30,Long-Term Deferred Tax Liabilities,3.92,3.92,3.92,3.92,3.33,3.44,3.55,3.67,3.04,3.04,-,3.35,-,-,-
31,Other Long-Term Liabilities,1.67,1.67,1.67,-,0,0,0,-,-,-,-,-,-,-,-
32,Total Liabilities,220.07,234.78,223.74,213.96,205.4,211.62,213.53,209.66,195.99,204.76,-,218.5,-,-,-
33,Common Stock,78,78,78,78,78,78,60,60,60,60,-,45,-,-,-
34,Additional Paid-In Capital,656.22,653.88,656.61,660.46,660.46,660.46,678.46,678.46,678.46,678.46,-,264.54,-,-,-
35,Retained Earnings,223.27,205.58,212.57,202.92,180.78,166.79,173.5,158.34,135.13,110.43,-,84.73,-,-,-
36,Comprehensive Income & Other,1.37,1.08,1.07,0.67,0.54,-,-,-,-,-,-,-,-,-,-
37,Total Common Equity,958.86,938.54,948.25,942.05,919.78,905.25,911.96,896.8,873.6,848.89,394.27,394.27,-,-,316.41
38,Minority Interest,70.82,74.73,72.81,67.79,67.97,67.91,65.08,62.24,-,-,-,-,-,-,-
39,Shareholders' Equity,1030,1013,1021,1010,987.76,973.16,977.04,959.05,873.6,848.89,394.27,394.27,-,-,316.55
40,Total Liabilities & Equity,1250,1248,1245,1224,1193,1185,1191,1169,1070,1054,-,612.77,-,-,-
41,Total Debt,114.75,119.28,123.09,118.57,114.76,120.52,119.13,121.44,120.02,123.29,110.57,110.57,-,-,4.78
42,Net Cash (Debt),575.66,577.25,565.83,605.48,557.46,568.94,577.94,585.3,539.04,530.89,130.09,130.09,-,-,171.66
43,Net Cash Growth,3.26%,1.46%,-2.10%,3.45%,3.42%,7.17%,344.27%,349.92%,-,-,-24.22%,-,-,-,-
44,Net Cash Per Share,7.38,7.37,7.29,7.97,7.15,7.38,7.33,6.61,6.96,9.11,2.21,2.22,-,-,2.94
45,Filing Date Shares Outstanding,78,78,78,78,78,78,78,78,77.44,78,58.91,58.5,58.11,58.37,58.37
46,Total Common Shares Outstanding,78,78,78,78,78,78,78,78,77.44,78,58.91,58.5,58.11,58.37,58.37
47,Working Capital,686.7,646,663.94,669.51,651.54,652.77,675.49,661.2,645.63,624.65,-,175.99,-,-,-
48,Book Value Per Share,12.29,12.03,12.16,12.08,11.79,11.61,11.69,11.50,11.28,10.88,6.74,6.74,-,-,5.41
49,Tangible Book Value,920.17,899.97,909.82,903.36,880.82,866.45,872.9,857.48,854.08,829.2,374.24,374.24,-,-,295.7
50,Tangible Book Value Per Share,11.80,11.54,11.66,11.58,11.29,11.11,11.19,10.99,11.03,10.63,6.40,6.40,-,-,5.05
51,Buildings,-,188.68,-,185.23,-,184.03,-,161.71,-,-,-,132.86,-,-,-
52,Machinery,-,230.91,-,201.57,-,189.96,-,180.89,-,-,-,134.32,-,-,-
53,Construction In Progress,-,2.63,-,2.97,-,10.37,-,12.06,-,-,-,2.15,-,-,-
