,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 10, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,3947,3522,3383,3605,4306,3998,2730,2658,2540,2647,2615,-,-,-,-,-
1,Market Cap Growth,-11.92%,-11.92%,23.91%,35.63%,69.52%,51.04%,4.41%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3442,3019,2890,3116,3817,3497,2217,2119,2001,2116,2485,-,-,-,-,-
3,Last Close Price,50.60,45.15,43.37,45.76,54.66,50.75,34.65,33.38,31.90,33.24,32.83,-,-,-,-,-
4,PE Ratio,50.78,46.24,45.80,47.29,58.73,53.74,32.07,37.84,34.51,38.92,40.36,-,-,-,-,-
5,PS Ratio,13.77,12.11,12.09,13.12,16.16,15.73,10.64,12.35,12.17,12.99,13.03,-,-,-,-,-
6,PB Ratio,4.12,3.42,3.34,3.53,4.26,4.05,2.81,2.72,2.65,3.03,3.08,-,-,-,-,-
7,P/TBV Ratio,3.83,3.83,3.76,3.96,4.77,4.54,3.15,3.05,2.96,3.10,3.15,-,-,-,-,-
8,P/FCF Ratio,43.72,38.11,42.05,51.80,54.00,46.60,28.45,30.93,49.46,118.65,75.06,-,-,-,-,-
9,P/OCF Ratio,25.81,25.40,26.06,28.86,31.80,27.41,17.87,23.14,25.78,37.54,-,-,-,-,-,-
10,EV/Sales Ratio,12.06,10.38,10.33,11.34,14.33,13.76,8.64,9.84,9.59,10.38,12.38,-,-,-,-,-
11,EV/EBITDA Ratio,27.87,28.98,28.73,30.11,38.52,35.45,20.62,24.86,22.84,25.48,29.41,-,-,-,-,-
12,EV/EBIT Ratio,41.84,36.59,35.76,36.91,46.59,41.95,23.91,29.18,26.51,29.63,34.07,-,-,-,-,-
13,EV/FCF Ratio,38.12,32.67,35.92,44.77,47.86,40.76,23.11,24.65,38.97,94.85,71.32,-,-,-,-,-
14,Debt / Equity Ratio,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.15,0.28,0.28,-,-,0.02
15,Debt / EBITDA Ratio,0.93,1.35,0.73,1.23,0.74,1.62,0.71,1.45,0.80,1.13,1.58,1.21,0.87,-,-,0.05
16,Debt / FCF Ratio,1.27,1.24,1.48,1.77,1.49,1.34,1.26,1.39,2.36,5.38,3.54,-,1.24,-,-,0.26
17,Asset Turnover,0.23,0.26,0.22,0.24,0.20,0.25,0.20,0.22,0.23,-,-,-,-,-,-,
18,Inventory Turnover,15.58,16.58,17.52,17.41,20.22,16.76,19.20,14.26,15.72,14.52,-,-,-,-,-,-
19,Quick Ratio,6.85,6.85,6.31,7.08,7.86,8.03,8.17,8.07,8.79,9.77,8.92,-,2.57,-,-,-
20,Current Ratio,7.25,7.25,6.39,7.38,8.04,8.26,8.24,8.44,8.91,9.88,9.00,-,2.72,-,-,-
21,Return on Equity (ROE),6.34%,9.17%,7.84%,8.79%,5.73%,11.02%,6.40%,10.13%,11.48%,5.74%,17.01%,-,-,-,-,
22,Return on Assets (ROA),3.23%,5.28%,4.00%,4.20%,3.03%,6.30%,3.66%,4.86%,5.60%,-,-,-,-,-,-,
23,Return on Capital (ROIC),3.54%,5.78%,4.35%,4.55%,3.28%,6.83%,3.97%,5.24%,6.05%,3.32%,9.97%,-,-,-,-,
24,Return on Capital Employed (ROCE),7.22%,7.24%,7.16%,7.40%,7.26%,7.56%,8.47%,6.60%,6.96%,7.17%,7.48%,-,16.34%,-,-,-
25,Earnings Yield,1.96%,2.16%,2.18%,2.11%,1.70%,1.86%,3.12%,2.64%,2.90%,2.57%,2.48%,-,-,-,-,-
26,FCF Yield,2.29%,2.62%,2.38%,1.93%,1.85%,2.15%,3.51%,3.23%,2.02%,0.84%,1.33%,-,-,-,-,-
27,Dividend Yield,0.79%,-,-,-,0.73%,-,-,-,1.21%,-,-,-,-,-,-,-
28,Payout Ratio,54.28%,73.90%,139.67%,1.20%,0.00%,0.25%,126.39%,0.19%,-,-,-,-,-,0.28%,-,-
29,Buyback Yield / Dilution,3.65%,0.02%,-1.59%,1.54%,14.17%,-0.73%,-32.33%,-33.90%,-50.70%,-33.26%,0.18%,-0.93%,-,-,-,-
30,Total Shareholder Return,4.44%,0.02%,-1.59%,1.54%,14.91%,-0.73%,-32.33%,-33.90%,-49.49%,-33.26%,0.18%,-0.93%,-,-,-,-
