,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,228,316,311,498,348,560,664,996,-,-
1,Market Cap Growth,-36.46%,-36.46%,-10.45%,-11.11%,-47.66%,-43.75%,-,-,-,-
2,Enterprise Value,-21,48,17,188,69,277,377,850,-,-
3,Last Close Price,0.44,0.61,0.58,0.93,0.62,1.01,1.16,1.74,-,-
4,PE Ratio,24.46,33.91,12.17,11.57,6.85,10.93,17.30,38.50,-,-
5,PS Ratio,1.41,1.95,1.64,2.50,1.77,2.71,3.22,6.03,-,-
6,PB Ratio,0.59,0.81,0.76,1.27,0.85,1.42,1.65,2.72,-,-
7,P/TBV Ratio,0.87,0.87,0.80,1.32,0.88,1.46,1.71,2.78,-,-
8,P/FCF Ratio,-,-11.83,-,9.39,5.68,29.64,-,-,-,-
9,P/OCF Ratio,-,-16.84,-,9.08,5.54,27.02,-120.94,-,-,-
10,EV/Sales Ratio,0.29,0.29,0.09,0.94,0.35,1.34,1.83,5.15,-,-
11,EV/EBITDA Ratio,9.17,-,0.82,4.19,1.29,5.53,7.58,19.79,-,-
12,EV/EBIT Ratio,16.44,-,0.88,4.40,1.34,5.88,8.13,21.51,-,-
13,EV/FCF Ratio,0.79,-1.79,-,3.54,1.12,14.68,-,-,-,-
14,Debt / Equity Ratio,0.03,0.03,0.01,0.01,0.01,0.02,0.03,0.02,0.01,-
15,Debt / FCF Ratio,-,-0.44,-,0.06,0.07,0.46,-,-,0.02,-
16,Return on Capital Employed (ROCE),0.75%,-,4.82%,10.86%,12.34%,11.86%,11.46%,10.76%,26.57%,-
17,Earnings Yield,4.09%,2.95%,8.22%,8.64%,14.60%,9.15%,5.78%,2.60%,-,-
18,FCF Yield,-11.72%,-8.45%,-5.10%,10.65%,17.61%,3.37%,-1.20%,2.16%,-,-
19,Buyback Yield / Dilution,-,-,-,0.12%,-16.37%,-38.50%,-18.88%,-,-,
20,Total Shareholder Return,4.47%,-,-,-,0.12%,-16.37%,-38.50%,-18.88%,-,-
