,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,65.73,85.34,87.06,97.46,75.91,100.71,67.16,70.19,86.6
1,Revenue Growth (YoY),-24.50%,-12.44%,14.69%,-3.22%,13.02%,43.49%,-22.44%,-,-
2,Cost of Revenue,44.41,53.97,51.44,46.02,36.73,53.66,27.5,29.37,40.35
3,Gross Profit,21.32,31.36,35.61,51.45,39.18,47.04,39.66,40.82,46.25
4,"Selling, General & Admin",15.38,17.38,15,15.24,11.91,11.96,16.09,12.9,11.89
5,Research & Development,9.03,7.27,9.01,8.5,9.75,10.35,9.28,8.7,5.94
6,Operating Expenses,24.97,25,24.09,23.47,22.04,23.91,24.98,22.64,17.84
7,Operating Income,-3.65,6.36,11.53,27.97,17.14,23.13,14.68,18.18,28.42
8,Interest Expense,-0.13,-0.06,-0.09,-0.1,-0.15,-0.15,-0.09,-0.05,-0.06
9,Interest & Investment Income,2.07,3.04,2.96,2,1.71,1.55,1.37,1.14,0.79
10,Currency Exchange Gain (Loss),0.47,-1.04,2.01,0.36,2.19,-,-,0.11,0.34
11,Other Non Operating Income (Expenses),1.66,1.5,1.17,0.55,2.73,3.5,-5.58,-2.26,-10.66
12,EBT Excluding Unusual Items,0.43,9.8,17.58,30.78,23.62,28.04,10.38,17.12,18.82
13,Other Unusual Items,-,-0.03,0.01,0.01,0.03,0.01,-,-,-
14,Pretax Income,0.43,9.77,17.58,30.79,23.65,28.05,10.38,17.12,18.82
15,Income Tax Expense,0.02,1.49,2.65,5.88,3.66,4.26,2.91,3.09,4.1
16,Net Income,0.41,8.28,14.93,24.91,19.99,23.79,7.47,14.04,14.72
17,Net Income to Common,0.41,8.28,14.93,24.91,19.99,23.79,7.47,14.04,14.72
18,Net Income Growth,-97.29%,-66.75%,-25.29%,4.70%,167.41%,69.50%,-49.21%,-,-
19,Shares Outstanding (Basic),519,519,519,519,519,519,446,375,375
20,Shares Outstanding (Diluted),519,519,519,519,519,519,446,375,375
21,Shares Change (YoY),-,-,-,-0.12%,16.37%,38.50%,18.88%,-,-
22,EPS (Basic),0.00,0.02,0.03,0.05,0.04,0.05,0.02,0.04,0.04
23,EPS (Diluted),0.00,0.02,0.03,0.05,0.04,0.05,0.02,0.04,0.04
24,EPS Growth,-97.29%,-66.76%,-25.29%,4.82%,129.81%,22.39%,-57.28%,-,-
25,Free Cash Flow,1.17,-26.06,11.65,37.43,16.71,-0.57,-5.93,23.78,47.05
26,Free Cash Flow Per Share,0.00,-0.05,0.02,0.07,0.03,-0.00,-0.01,0.06,0.13
27,Operating Margin,-5.55%,7.45%,13.24%,28.70%,22.58%,22.97%,21.86%,25.91%,32.82%
28,Profit Margin,0.62%,9.70%,17.15%,25.55%,26.33%,23.62%,11.13%,20.00%,16.99%
29,Free Cash Flow Margin,1.77%,-30.54%,13.39%,38.40%,22.01%,-0.57%,-8.82%,33.87%,54.33%
30,EBITDA,-0.88,5.74,13.58,27.9,19.02,23.83,16.71,19.01,29.91
31,D&A For EBITDA,2.77,-0.62,2.05,-0.07,1.88,0.7,2.03,0.83,1.5
32,EBIT,-3.65,6.36,11.53,27.97,17.14,23.13,14.68,18.18,28.42
