,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,230.85,183.83,273.11,277.13,244.41,238.35,244.61,123.47,-
1,Short-Term Investments,2.36,1.88,1.74,1.22,1.25,1.19,0.94,0.92,-
2,Trading Asset Securities,10,60,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,243.21,245.7,274.85,278.35,245.66,239.54,245.54,124.39,-
4,Cash Growth,-11.51%,-11.73%,11.88%,16.20%,0.05%,92.57%,-,-,-
5,Accounts Receivable,55.57,58.43,53.09,75.23,76.1,72.82,46.99,39.06,-
6,Other Receivables,5.37,3.74,2.78,0.11,0.1,0.08,0.02,0.02,-
7,Receivables,60.95,62.17,55.88,75.34,76.2,72.9,47.01,39.08,-
8,Inventory,40.42,40.45,27.14,20.59,21.39,17.6,12.82,11.58,-
9,Other Current Assets,19.28,16.15,11.58,9.5,12.97,10.87,8.08,10.01,-
10,Total Current Assets,363.85,364.48,369.44,383.78,356.2,340.91,313.46,185.06,-
11,"Property, Plant & Equipment",6.41,4.89,5.71,5.86,6.54,7.72,5.92,5.84,-
12,Other Intangible Assets,21.29,15.92,12.66,13.51,9.88,10.61,6.88,5.84,-
13,Long-Term Deferred Tax Assets,1.2,1.13,0.99,1.13,1.01,0.92,0.67,0.5,-
14,Other Long-Term Assets,2.62,3.79,-,-,-,-,-,-,-
15,Total Assets,395.36,390.21,388.8,404.27,373.64,360.16,326.92,197.24,-
16,Accounts Payable,13.37,6.19,14.14,11.71,7.81,8.13,8.03,6.45,-
17,Accrued Expenses,3.61,5.18,3.03,7.43,6.45,8.21,2.97,11.26,-
18,Short-Term Debt,10,-,-,1,4,5,5,-,-
19,Current Portion of Leases,0.81,1.41,1.87,1.8,1.56,1.72,1.52,1.4,-
20,Current Income Taxes Payable,-,0.18,0.84,8.06,5.22,2.98,0.57,1.35,-
21,Current Unearned Revenue,0.53,0.4,0.57,3.68,5.06,0.16,0.17,0.25,-
22,Other Current Liabilities,5.33,5.52,4.74,5.11,4,3.92,3.18,1.12,-
23,Total Current Liabilities,33.66,18.87,25.2,38.8,34.1,30.12,21.45,21.84,-
24,Long-Term Leases,0.25,0.47,1.06,1.17,1.88,2.37,0.68,0.19,-
25,Long-Term Deferred Tax Liabilities,-,0.65,-,0.51,0.52,0.49,-,1.34,-
26,Total Liabilities,33.91,19.99,26.26,40.48,36.5,32.98,22.12,23.37,-
27,Common Stock,4.33,4.33,4.33,4.33,4.33,4.33,4.33,0.07,-
28,Additional Paid-In Capital,132.64,141.92,159.87,159.87,159.87,159.87,159.87,34.29,-
29,Retained Earnings,210.87,210.47,184.24,187.26,162.35,155.51,131.72,129.99,-
30,Comprehensive Income & Other,13.62,13.5,14.1,12.34,10.59,7.48,8.88,9.53,-
31,Shareholders' Equity,361.46,370.22,362.54,363.79,337.14,327.18,304.8,173.87,-
32,Total Liabilities & Equity,395.36,390.21,388.8,404.27,373.64,360.16,326.92,197.24,-
33,Total Debt,11.06,1.88,2.93,3.97,7.44,9.08,7.2,1.59,-
34,Net Cash (Debt),232.15,243.82,271.92,274.38,238.21,230.46,238.34,122.8,-
35,Net Cash Growth,-14.63%,-11.14%,14.15%,19.06%,-0.06%,87.67%,-,-,-
36,Net Cash Per Share,0.45,0.47,0.52,0.53,0.46,0.44,0.53,0.33,-
37,Filing Date Shares Outstanding,518.75,518.75,518.75,518.75,518.75,518.75,518.75,375,375
38,Total Common Shares Outstanding,518.75,518.75,518.75,518.75,518.75,518.75,518.75,375,375
39,Working Capital,330.2,345.6,344.24,344.98,322.1,310.79,292.01,163.23,-
40,Book Value Per Share,0.70,0.71,0.70,0.70,0.65,0.63,0.59,0.46,-
41,Tangible Book Value,340.17,354.3,349.88,350.29,327.26,316.57,297.91,168.03,-
42,Tangible Book Value Per Share,0.66,0.68,0.67,0.68,0.63,0.61,0.57,0.45,-
43,Machinery,-,9.62,-,9.2,-,8.29,-,6.52,-
44,Leasehold Improvements,-,4.22,-,3.8,-,3.81,-,3.59,-
