,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,19830000,12150000,12180000,12090000,12240000,12510000,12090000,12150000,12120000,21450000,25050000,25200000,32040000,-,-,-
1,Market Cap Growth,-2.88%,-2.88%,0.74%,-0.49%,0.99%,-41.68%,-51.74%,-51.79%,-62.17%,-,-,-,-,-,-,-
2,PE Ratio,29.14,17.85,19.69,20.13,27.21,92.33,143.82,79.14,40.99,63.00,70.64,65.60,96.56,-,-,-
3,PS Ratio,8.52,5.22,5.08,5.24,7.78,37.17,1565.50,119.85,16.44,19.33,19.66,21.81,31.72,-,-,-
4,PB Ratio,3.95,1.76,1.53,1.52,1.60,1.72,1.72,1.73,1.78,3.17,3.72,3.83,5.02,-,-,-
5,P/FCF Ratio,5.72,3.51,-,-,59.61,-,10.93,-34.61,-,-,-,-,6.47,-,-,-
6,P/OCF Ratio,2.77,2.77,-,-,22.48,-,9.80,-39.88,-,-,-,-,6.13,-,-,-
7,Debt / Equity Ratio,0.14,0.14,0.20,0.21,0.32,0.37,0.31,0.33,0.12,0.13,0.20,0.24,0.29,-,-,-
8,Debt / FCF Ratio,0.27,0.27,-,-,12.05,-,1.98,-6.54,-,-,-,-,0.37,-,-,-
9,Quick Ratio,0.59,0.59,0.74,0.90,0.98,0.93,1.05,0.92,1.63,1.62,1.68,1.61,1.41,-,-,-
10,Current Ratio,0.94,0.94,1.14,1.41,1.68,1.61,1.51,1.40,2.63,2.60,2.57,2.45,2.08,-,-,-
11,Asset Turnover,0.06,0.03,0.16,0.26,0.08,0.01,-,-,0.01,0.04,0.20,-,-,-,-,
12,Return on Equity (ROE),8.94%,1.48%,10.22%,20.42%,5.93%,1.14%,1.70%,-,1.10%,8.30%,17.70%,-,-,-,-,
13,Return on Assets (ROA),3.33%,0.62%,4.35%,8.39%,2.41%,0.49%,0.83%,-,0.59%,4.35%,9.04%,-,-,-,-,
14,Earnings Yield,3.43%,5.60%,5.08%,4.97%,3.68%,1.08%,0.70%,1.26%,2.44%,1.59%,1.42%,1.52%,1.04%,-,-,-
15,Earnings Yield,3.43%,5.60%,5.08%,4.97%,3.68%,1.08%,0.70%,1.26%,2.44%,1.59%,1.42%,1.52%,1.04%,-,-,-
16,FCF Yield,17.48%,28.53%,-24.21%,-10.27%,1.68%,-9.63%,9.15%,-2.89%,-12.25%,11.43%,6.93%,11.64%,15.46%,-,-,-
17,Buyback Yield / Dilution,0.02%,0.05%,1.02%,-0.70%,0.20%,-0.46%,-0.63%,0.73%,-0.43%,-11.05%,-19.86%,-20.09%,-,-,-,-
18,Total Shareholder Return,0.02%,0.05%,1.02%,-0.70%,0.20%,-0.46%,-0.63%,0.73%,-0.43%,-11.05%,-19.86%,-20.09%,-,-,-,-
