,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Total Interest Expense,19132,34722,58003,30772,33368,16725,84752,83217,-,77580,13245,12310,32415,107465,91930
1,Net Interest Income,-19132,-34722,-58003,-30772,-33368,-16725,-84752,-83217,-,-77580,-13245,-12310,-32415,-107465,-91930
2,Other Revenue,295609,164747,777065,1232355,380378,56838,69100,48302,18177,211348,633284,349783,215489,122287,566729
3,Revenue Before Loan Losses,276477,130025,719062,1201583,347010,40113,-15652,-34914,18177,133769,620039,337473,183075,14822,474800
4,Revenue,276477,130025,719062,1201583,347010,40113,-15652,-34914,18177,133769,620039,337473,183075,14822,474800
5,Revenue Growth (YoY),-20.33%,224.15%,-,-,1809.10%,-70.01%,-,-,-90.07%,802.53%,30.59%,-,-,-,-
6,Cost of Services Provided,140885,139528,513860,764356,278766,53770,69109,56062,53209,112651,320220,240681,202856,171590,337108
7,Other Operating Expenses,114150,115914,130318,131517,111467,101741,3581,-,87256,1276,94924,2340,9207,18403,8997
8,Total Operating Expenses,255036,255442,644178,895873,390233,155511,72691,56062,140465,113927,415144,243021,212063,189993,346106
9,Operating Income,21441,-125417,74884,305710,-43223,-115398,-88343,-90976,-122288,19841,204895,94452,-28989,-175171,128694
10,Earnings From Equity Investments,22.8,-,-,-,-,-,-,-,-,-,-65.53,-,-17149,1057,-
11,EBT Excluding Unusual Items,172588,39477,254222,474975,135205,25966,36656,56129,28440,173066,358253,171167,61339,193484,135170
12,Gain (Loss) on Sale of Investments,36070,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Pretax Income,208658,39477,254222,474975,135205,25966,36656,56129,28440,173066,358253,171167,61339,193484,135170
14,Income Tax Expense,42379,9952,54727,93751,29182,6011,7414,12869,9842,35007,71598,34531,14300,69674,37522
15,Earnings From Continuing Ops.,166279,29525,199495,381223,106023,19955,29243,43260,18599,138059,286656,136636,47039,123810,97648
16,Minority Interest in Earnings,-24468,-2960,-21289,-47282,-26234,-11209,-1834,-23719,9766,-59844,-117094,-72278,-4559,-16047,19557
17,Net Income,141811,26566,178206,333941,79790,8746,27409,19541,28365,78215,169561,64358,42480,107763,117205
18,Net Income to Common,141811,26566,178206,333941,79790,8746,27409,19541,28365,78215,169561,64358,42480,107763,117205
19,Net Income Growth,77.73%,203.76%,550.17%,1608.92%,181.30%,-88.82%,-83.84%,-69.64%,-33.23%,-27.42%,44.67%,-,-,-,-
20,Shares Outstanding (Basic),300,298,300,300,300,302,298,301,299,300,300,299,269,250,250
21,Shares Outstanding (Diluted),300,298,300,300,300,302,298,301,299,300,300,299,269,250,250
22,Shares Change (YoY),-0.05%,-1.02%,0.70%,-0.20%,0.46%,0.63%,-0.73%,0.43%,11.05%,19.86%,20.09%,-,-,-,-
23,EPS (Basic),473.00,89.00,593.98,1113.00,266.00,29.00,92.00,65.00,95.00,261.00,565.00,215.00,158.00,431.00,469.00
24,EPS (Diluted),473.00,89.00,593.98,1113.00,266.00,29.00,92.00,65.00,95.00,261.00,565.00,215.00,158.00,431.00,469.00
25,EPS Growth,77.82%,206.90%,545.63%,1612.31%,180.00%,-88.89%,-83.72%,-69.77%,-39.87%,-39.44%,20.47%,-,-,-,-
26,Free Cash Flow,3935608,-832825,-915134,1278725,-2479089,873536,532168,-131336,-168296,-583562,-601639,3804497,-882596,614172,1416717
27,Free Cash Flow Per Share,13126.91,-2790.12,-3050.26,4261.89,-8264.70,2896.57,1786.25,-436.87,-563.66,-1947.32,-2004.74,12709.62,-3282.73,2456.39,5669.06
28,Operating Margin,7.76%,-96.46%,10.41%,25.44%,-12.46%,-287.69%,-,-,-672.78%,14.83%,33.05%,27.99%,-15.83%,-1181.86%,27.10%
29,Profit Margin,51.29%,20.43%,24.78%,27.79%,22.99%,21.80%,-,-,156.05%,58.47%,27.35%,19.07%,23.20%,727.07%,24.69%
30,Free Cash Flow Margin,1423.48%,-640.51%,-127.27%,106.42%,-714.41%,2177.72%,-,-,-925.89%,-436.25%,-97.03%,1127.35%,-482.10%,4143.76%,298.38%
31,Effective Tax Rate,20.31%,25.21%,21.53%,19.74%,21.58%,23.15%,20.23%,22.93%,34.60%,20.23%,19.99%,20.17%,23.31%,36.01%,27.76%
32,Revenue as Reported,295609,164747,777065,1232355,380378,56838,69100,48302,18177,211348,633284,349783,215489,122287,566729
