,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,385983,108138,247973,170626,171150,91457,72184,47711,99542,642836,521981,2942353,-,-,-
1,Long-Term Investments,4584280,2578158,2333570,2446228,2426788,2241345,2230246,1287770,1226131,1360269,1119296,1103903,-,-,-
2,Loans & Lease Receivables,278399,239562,238192,247196,238405,111554,111937,741217,813148,427552,483917,149754,-,-,-
3,Other Receivables,6358357,7574881,7075757,6193094,6315277,6215734,5071362,4255308,4170074,4146112,4584756,2537529,-,-,-
4,"Property, Plant & Equipment",3233972,3317953,3116362,3014794,2836216,4411079,4327044,2037139,2095597,1986294,1929083,1900928,-,-,-
5,Other Intangible Assets,16305,8256,10043,11941,13844,13817,15598,17396,19223,15737,17210,17830,-,-,-
6,Other Current Assets,3378716,3267164,3237574,3317868,2994023,2578196,2467140,2805690,2802163,2456261,2538740,2362505,-,-,-
7,Other Long-Term Assets,1496333,1319765,1315565,1344955,1348669,1122183,1121951,1136438,1110512,1218564,1220104,1271471,-,-,-
8,Total Assets,20596936,19368119,18597220,18114022,18246654,17001950,15653276,12632871,12601063,12595247,12767048,12608414,-,-,-
9,Accounts Payable,448862,298693,460020,345728,266091,222505,231436,144113,180613,164049,190638,181734,-,-,-
10,Accrued Expenses,1231230,890262,777053,703435,616281,546333,570850,528062,575645,576793,613497,532920,-,-,-
11,Short-Term Debt,270750,1422930,1572945,2251067,2472791,1824724,1847619,598643,659775,1146492,1416619,1624040,-,-,-
12,Current Portion of Long-Term Debt,466594,-,-,-,-,-,-,-,-,-,-,-,-,-,-
13,Long-Term Debt,209150,143823,93867,222646,222642,362224,446490,188899,188899,217449,179184,222145,-,-,-
14,Long-Term Unearned Revenue,38.8,38.8,38.8,5711,6831,8179,9156,10181,11671,15700,16797,17901,-,-,-
15,Current Income Taxes Payable,200445,370918,250027,127559,109880,83481,105671,114972,106714,106772,118888,114511,-,-,-
16,Other Current Liabilities,9323074,7698356,5293448,3294368,3772827,3415091,2918082,1538045,1401923,1016232,1013869,1437445,-,-,-
17,Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,6850,-,-,-3215,-,-,-,-
18,Other Long-Term Liabilities,1554157,553655,2188575,3501812,3501812,3501943,2501943,2533516,2501926,2507011,2538601,1991602,-,-,-
19,Total Liabilities,13707505,11383043,10641669,10453684,10970942,9972255,8645808,5841847,5838702,5853513,6194793,6226274,-,-,-
20,Common Stock,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,3000000,-,-,-
21,Retained Earnings,2033194,1805809,1779243,1602077,1267006,1187216,1176198,1148789,1129248,1098856,999307,829745,-,-,-
22,Comprehensive Income & Other,-18708,-23906,-23906,-291385,-291385,-203923,-203925,-215519,-215519,-215519,-215519,51960,-,-,-
23,Total Common Equity,5014485,4781903,4755337,4310692,3975621,3983293,3972273,3933270,3913729,3883336,3783788,3881705,-,-,-
24,Minority Interest,1874946,3203174,3200214,3349646,3300091,3046402,3035195,2857754,2848632,2858398,2788467,2500435,-,-,-
25,Shareholders' Equity,6889431,7985077,7955551,7660338,7275711,7029695,7007468,6791024,6762360,6741734,6572254,6382140,-,-,-
26,Total Liabilities & Equity,20596936,19368119,18597220,18114022,18246654,17001950,15653276,12632871,12601063,12595247,12767048,12608414,-,-,-
27,Total Debt,946495,1566753,1666813,2473712,2695433,2186948,2294109,787542,848674,1363941,1595803,1846185,-,-,-
28,Net Cash (Debt),-560512,-1458615,-1418839,-2303086,-2524283,-2095491,-2221925,-739831,-749132,-721105,-1073823,1096168,-,-,-
29,Net Cash Per Share,-1869.54,-4886.63,-4729.18,-7676.01,-8415.37,-6948.48,-7458.00,-2460.92,-2509.00,-2406.29,-3578.11,3661.95,-,-,-
30,Filing Date Shares Outstanding,299.81,300,300,300,300,301.58,297.92,300,298.58,300,300.11,299.34,268.86,250.03,249.9
31,Total Common Shares Outstanding,299.81,300,300,300,300,301.58,297.92,300,298.58,300,300.11,299.34,268.86,250.03,249.9
32,Working Capital,-678112,1458460,3462493,4572589,4381480,3113617,2270219,5051727,5013393,4901030,5017926,4319656,-,-,-
33,Book Value Per Share,16725.42,15939.68,15851.12,14368.97,13252.07,13208.28,13333.13,13110.90,13107.91,12944.45,12608.05,12967.55,-,-,-
34,Tangible Book Value,4998180,4773647,4745295,4298751,3961776,3969476,3956675,3915874,3894505,3867600,3766577,3863875,-,-,-
35,Tangible Book Value Per Share,16671.04,15912.16,15817.65,14329.17,13205.92,13162.46,13280.78,13052.91,13043.52,12892.00,12550.71,12907.98,-,-,-
