,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Revenue,473.34,474.5,492.76,727.11,659.48,492.47,438.2,461.88,429.51
1,Revenue Growth (YoY),-3.94%,-34.74%,-25.28%,47.64%,50.50%,6.62%,2.02%,-,-
2,Cost of Revenue,247.55,266.21,248.84,418.48,360.83,238.3,204.45,215.99,216.18
3,Gross Profit,225.79,208.29,243.92,308.63,298.66,254.17,233.75,245.89,213.34
4,"Selling, General & Admin",194.69,204.57,208.84,236.65,204.32,187.34,164.42,166.49,134.35
5,Research & Development,48.4,52.55,52.78,56.47,44.76,47.97,42.36,43.51,31.77
6,Other Operating Expenses,17.84,3.93,13.53,12.13,25.77,6.57,11.15,0.48,11.92
7,Operating Expenses,260.93,261.05,275.15,305.25,274.84,241.87,217.92,210.48,178.05
8,Operating Income,-35.14,-52.76,-31.23,3.38,23.81,12.3,15.83,35.41,35.29
9,Interest Expense,-4.68,-4.79,-3.25,-2.11,-0.41,-0.69,-1.12,-1.38,-0.95
10,Interest & Investment Income,-,44.44,-,27.69,23.61,8.7,3.8,2.86,0.62
11,Earnings From Equity Investments,-,-0.57,-,2.45,-,1.1,-,0.56,-
12,Currency Exchange Gain (Loss),-,-1.59,-,3.35,-,-0.04,-,-0.13,-
13,Other Non Operating Income (Expenses),54.89,-6.66,61.18,-8.01,25.72,18.16,-1496,-903.03,-119.85
14,EBT Excluding Unusual Items,15.07,-21.92,26.7,26.75,72.73,39.54,-1478,-865.7,-84.89
15,Impairment of Goodwill,-,-0.94,-,-,-,-,-,-,-
16,Gain (Loss) on Sale of Investments,-,14.57,-,-8.18,-,1.31,-,-0.06,-
17,Gain (Loss) on Sale of Assets,-,-0.22,-,-0.27,-,8.56,-,-0.23,-
18,Asset Writedown,-,-,-,-13.31,-,-,-,-,-
19,Other Unusual Items,-,5.14,20,5.59,-,-4.65,-20.82,-11.47,-
20,Pretax Income,15.07,-3.38,46.7,10.59,72.73,44.76,-1499,-877.46,-84.89
21,Income Tax Expense,4.54,3.66,3.21,-3.67,9.5,-0.36,0.61,1.83,5.94
22,Earnings From Continuing Operations,10.53,-7.04,43.49,14.26,63.23,45.12,-1499,-879.29,-90.83
23,Minority Interest in Earnings,1.37,4.35,0.49,-1.33,-0.69,2.15,-2.35,-2.53,-1.37
24,Net Income,11.9,-2.7,43.98,12.92,62.54,47.27,-1502,-881.81,-92.21
25,Net Income to Common,11.9,-2.7,43.98,12.92,62.54,47.27,-1502,-881.81,-92.21
26,Net Income Growth,-72.95%,-,-29.67%,-72.67%,-,-,-,-,-
27,Shares Outstanding (Basic),951,961,955,651,940,846,145,117,107
28,Shares Outstanding (Diluted),955,973,968,651,1012,846,145,117,107
29,Shares Change (YoY),-1.34%,49.58%,-4.30%,-23.09%,596.14%,620.97%,36.19%,-,-
30,EPS (Basic),0.01,-0.00,0.05,0.02,0.07,0.06,-10.33,-7.52,-0.86
31,EPS (Diluted),0.01,-0.01,0.05,0.02,0.06,0.06,-10.33,-7.52,-0.86
32,EPS Growth,-72.70%,-,-24.31%,-64.46%,-,-,-,-,-
33,Free Cash Flow,-165.47,-120.34,-63.19,-30.62,-67.64,-214,0.38,40.54,9.73
34,Free Cash Flow Per Share,-0.17,-0.12,-0.07,-0.05,-0.07,-0.25,0.00,0.35,0.09
35,Operating Margin,-7.42%,-11.12%,-6.34%,0.46%,3.61%,2.50%,3.61%,7.67%,8.22%
36,Profit Margin,2.51%,-0.57%,8.93%,1.78%,9.48%,9.60%,-342.70%,-190.92%,-21.47%
37,Free Cash Flow Margin,-34.96%,-25.36%,-12.82%,-4.21%,-10.26%,-43.45%,0.09%,8.78%,2.26%
38,EBITDA,-11.11,-30.06,-3.6,26.72,48.78,28.7,35.15,49.94,55.23
39,D&A For EBITDA,24.03,22.7,27.63,23.33,24.96,16.4,19.32,14.53,19.94
40,EBIT,-35.14,-52.76,-31.23,3.38,23.81,12.3,15.83,35.41,35.29
