,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Market Capitalization,1426,1421,1611,1719,2798,2157,5166,-,-,-
1,Market Cap Growth,-17.33%,-17.33%,-42.43%,-20.33%,-45.84%,-,-,-,-,-
2,Enterprise Value,116,-608,-484,-323,393,-581,9473,-,-,-
3,Last Close Price,1.38,1.50,1.65,1.73,2.81,2.13,5.63,-,-,-
4,PE Ratio,135.75,143.74,-,27.95,32.80,16.77,-2.89,-,-,-
5,Forward PE,11.68,12.69,14.52,19.55,26.63,20.40,37.34,-,-,-
6,PS Ratio,1.30,1.39,1.51,1.30,1.78,1.60,4.52,-,-,-
7,PB Ratio,0.42,0.45,0.51,0.54,0.87,0.65,1.54,-,-,-
8,P/TBV Ratio,0.46,0.46,0.52,0.55,0.89,0.66,1.56,-,-,-
9,P/OCF Ratio,-,-,-,-,115.61,-,61.87,-,-,-
10,EV/Sales Ratio,0.11,-,-,-,0.25,-,8.29,-,-,-
11,EV/EBITDA Ratio,-,-,-,-,4.60,-,120.86,-,-,-
12,EV/EBIT Ratio,-,-,-,-,12.78,-,274.36,-,-,-
13,Debt / Equity Ratio,0.12,0.12,0.07,0.08,0.07,0.01,0.01,-1.32,-1.60,-
14,Debt / FCF Ratio,-,-,-,-,-,-,-,107.11,58.49,-
15,Return on Capital Employed (ROCE),-,-,-,-,0.95%,1.26%,1.03%,4.92%,6.76%,-
16,Earnings Yield,0.69%,0.70%,2.82%,3.58%,3.05%,5.96%,-34.56%,-,-,-
17,FCF Yield,-21.53%,-21.62%,-12.55%,-5.90%,-3.97%,-15.29%,-5.08%,-,-,-
18,Buyback Yield / Dilution,-20.13%,1.34%,-49.58%,4.30%,23.09%,-596.14%,-620.97%,-36.19%,-,-
19,Total Shareholder Return,-18.07%,1.34%,-49.58%,4.30%,23.09%,-596.14%,-620.97%,-36.19%,-,-
