,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020"
0,Cash & Equivalents,591.15,1473,1205,680.36,577.75,1797,568.9,841.23,-
1,Short-Term Investments,1014,585.53,997.01,1303,1471,293.7,181.47,81.83,-
2,Trading Asset Securities,-,-,-,49.2,51.19,74.37,63.26,55,-
3,Cash & Short-Term Investments,1606,2058,2202,2033,2100,2165,813.62,978.06,-
4,Cash Growth,-27.08%,1.25%,4.83%,-6.09%,158.12%,121.33%,-,-,-
5,Accounts Receivable,610.12,580.04,593.84,635,542.37,339.14,336.3,311.18,-
6,Other Receivables,2.42,1.46,2.52,3.75,3.17,2.99,0.96,2.44,-
7,Receivables,612.54,581.5,596.36,638.75,545.54,342.13,337.26,313.62,-
8,Inventory,50.5,48.7,51.53,58.69,51.18,50.81,44.33,44.98,-
9,Prepaid Expenses,0.35,1.87,1.09,1.88,2.06,3.93,3.24,6.46,-
10,Other Current Assets,12.94,18.18,9.33,16.65,8.57,8.02,21.15,12.12,-
11,Total Current Assets,2282,2709,2860,2749,2708,2570,1220,1355,-
12,"Property, Plant & Equipment",631.27,478.3,474.43,399.32,386.89,372.58,156.78,157.62,-
13,Long-Term Investments,782.84,296.43,326.06,448.28,238.48,154.26,43.11,2.31,-
14,Goodwill,9.5,9.5,10.44,10.44,10.44,2.19,1.86,1.86,-
15,Other Intangible Assets,31.24,28.39,33.25,31.12,34.33,21.34,13.9,4.36,-
16,Long-Term Deferred Tax Assets,62.38,54.39,60.76,52.01,51.34,48.02,43.74,42.73,-
17,Long-Term Deferred Charges,-,2.94,-,1.62,-,4.27,-,6.13,-
18,Other Long-Term Assets,30.22,90.68,8.27,33.76,31.78,16.64,5.03,6.71,-
19,Total Assets,3829,3669,3773,3725,3461,3189,1484,1577,-
20,Accounts Payable,210.64,245.11,260.53,325.06,235.96,141.2,131.82,139.73,-
21,Accrued Expenses,266.76,277.11,287.04,275.87,272.11,230.93,250.09,228.73,-
22,Short-Term Debt,247.05,152.9,194.9,180,-,-,-,40,-
23,Current Portion of Leases,18.45,12.13,10.45,11,10.67,8.36,21.39,21.64,-
24,Current Income Taxes Payable,12.99,1.32,2.71,1.58,16.64,2.06,1.94,-,-
25,Current Unearned Revenue,8.86,11.92,11.01,11.79,4.47,6.02,6.84,5.24,-
26,Other Current Liabilities,44.33,37.5,26.22,50.9,51.54,63.29,30.72,95.32,-
27,Total Current Liabilities,813.33,743.77,800.53,861.55,593.83,452.41,442.81,530.66,-
28,Long-Term Debt,69,-,-,-,-,-,4344,2854,-
29,Long-Term Leases,29.44,29.26,30.7,8.86,10.38,9.83,16.84,23.75,-
30,Long-Term Unearned Revenue,0.89,1.2,1.45,1.2,1.88,1.91,4.14,2.57,-
31,Total Liabilities,912.66,774.23,832.67,871.62,606.09,464.15,4808,3411,-
32,Common Stock,1.59,1.54,1.55,1.56,1.6,1.47,0.24,0.24,-
33,Additional Paid-In Capital,6009,6023,6037,6050,6099,6118,53.78,53.78,-
34,Retained Earnings,-3249,-3261,-3259,-3303,-3316,-3378,-3425,-1924,-
35,Treasury Stock,-0.06,-,-,-,-,-,-,-,-
36,Comprehensive Income & Other,133.26,108.33,133.64,77.2,44.17,-20.85,35.49,25.84,-
37,Total Common Equity,2895,2872,2913,2827,2829,2720,-3336,-1844,-
38,Minority Interest,21.87,22.99,27.45,27.21,25.88,4.59,11.73,9.39,-
39,Shareholders' Equity,2917,2895,2940,2854,2855,2725,-3324,-1834,-
40,Total Liabilities & Equity,3829,3669,3773,3725,3461,3189,1484,1577,-
41,Total Debt,363.93,194.29,236.04,199.86,21.05,18.19,4383,2940,-
42,Net Cash (Debt),1242,1864,1966,1833,2079,2147,-3569,-1962,-
43,Net Cash Growth,-36.84%,1.69%,-5.46%,-14.61%,-,-,-,-,-
44,Net Cash Per Share,1.30,1.92,2.03,2.82,2.05,2.54,-24.55,-16.72,-
45,Filing Date Shares Outstanding,944.72,954.31,957.62,961.5,986.16,901.61,145.36,145.36,106.74
46,Total Common Shares Outstanding,944.72,954.31,957.62,961.5,986.16,901.61,145.36,145.36,106.74
47,Working Capital,1469,1965,2059,1887,2114,2117,776.79,824.57,-
48,Book Value Per Share,3.06,3.01,3.04,2.94,2.87,3.02,-22.95,-12.68,-
49,Tangible Book Value,2854,2834,2869,2785,2784,2697,-3352,-1850,-
50,Tangible Book Value Per Share,3.02,2.97,3.00,2.90,2.82,2.99,-23.06,-12.73,-
51,Buildings,411.26,232.96,232.15,232.15,220,220,-,-,-
52,Machinery,361.67,359.16,337.89,297.18,270.19,251.34,237.8,218.81,-
53,Construction In Progress,11.69,32.8,38.49,5.1,0.16,4.82,2.32,0.36,-
54,Leasehold Improvements,138.16,131.18,117.55,114.66,111.64,93.9,94.95,91.87,-
