,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Revenue,31131,30975,29408,32561,27948,27744,25217,28293,23128,21695,21067,24430,20493,19139,17019,18099,15357,12863,12458,11852
1,Revenue Growth (YoY),11.39%,11.65%,16.62%,15.09%,20.84%,27.88%,19.70%,15.81%,12.86%,13.36%,23.78%,34.98%,33.45%,48.79%,36.61%,52.70%,-,-,-,-
2,Cost of Revenue,14217,13840,13288,15269,13495,13810,13505,15417,12425,11925,12285,14282,11984,10754,10032,9595,8740,8427,8200,7219
3,Gross Profit,16914,17135,16120,17292,14453,13934,11712,12876,10703,9770,8782,10149,8509,8385,6988,8504,6616,4436,4258,4634
4,"Selling, General & Admin",11160,10832,9846,10950,9837,9581,9642,10774,10190,9719,10359,11149,11930,12134,12363,7377,6551,5959,8404,4579
5,Research & Development,3100,2805,2843,3296,2967,3155,2920,3446,3533,3282,3523,4016,4218,3911,2811,2430,1866,1312,939.46,894.71
6,Other Operating Expenses,-465,-12,-539,108,-562,-84,-80,-181,-739,-179,153,-205.45,-235.48,-171.09,-894.15,-439.91,-424.22,-129.06,46.38,-179.95
7,Operating Expenses,13795,13625,12150,14354,12242,12652,12482,14039,12984,12822,14035,14960,15912,15874,14280,9367,7993,7142,9390,5294
8,Operating Income,3119,3510,3970,2938,2211,1282,-770,-1163,-2281,-3052,-5253,-4811,-7404,-7489,-7292,-862.8,-1377,-2706,-5132,-660.14
9,Interest Expense,-,-,-,-495,-,-,-,-549,-,-,-11,-557.12,-,-,-17.22,-198.51,-25.8,-,-6.4,-40.72
10,Interest & Investment Income,37,66,114,712,135,158,111,673,69,1,-,497.41,23.42,11.99,-,210.06,-,5.63,-,23.57
11,Earnings From Equity Investments,-6,-19,-3,-23,-26,-18,-14,-27,-31,-44,-37,-24.77,-37,-24.89,-,-,-,-,-,-
12,Currency Exchange Gain (Loss),-,-5,-,8,-,29,-,33,-,48,-,-20.59,-,-16.83,-,35.88,-,9.16,-,0.39
13,Other Non Operating Income (Expenses),-,-,-,-82,-,-,-,-17,-,-,-,2.98,-,-,-,-20.27,-,-,-,-0.18
14,EBT Excluding Unusual Items,3150,3552,4081,3058,2320,1451,-673,-1050,-2243,-3047,-5301,-4913,-7417,-7519,-7309,-835.63,-1402,-2692,-5138,-677.07
15,Gain (Loss) on Sale of Investments,-,398,24,589,-,-14,72,-105,-332,-57,-390,-916.34,-,292.44,-,-550.7,-,157.21,106.02,-314.87
16,Gain (Loss) on Sale of Assets,-,3,-,87,-,-1,-,-8,-,2,-,-41.85,-,-1.53,-,0.09,-,0.01,-,-
17,Other Unusual Items,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-51276,-17695,-27907,-35358,-25886,-17053
18,Pretax Income,3150,3953,4105,3734,2320,1436,-601,-1163,-2575,-3102,-5691,-5872,-7417,-7228,-58585,-19082,-29309,-37892,-30918,-18045
19,Income Tax Expense,-120,-27,-15,122,138,-45,275,384,137,74,563,331.09,-330.27,-191.87,-834.1,182.05,-28.63,-292.86,-426.11,-10.88
