,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,12466,11437,11004,12905,11272,13218,12473,13274,14959,14391,15330,32612,34431,46773,57133,20392,7703,-,-,3996
1,Short-Term Investments,11421,10561,10608,10985,11146,13811,11587,9259,9501,8968,8211,4003,5947,233.94,376.14,2811,10711,-,-,1337
2,Trading Asset Securities,26846,31180,27630,25128,20294,14275,10885,13087,10895,9203,12870,8842,8036,5854,3064,3690,8546,-,-,8902
3,Cash & Short-Term Investments,50733,53178,49242,49018,42712,41304,34945,35620,35355,32563,36412,45457,48414,52861,60573,26893,26961,-,14236,14236
4,Cash Growth,18.78%,28.75%,40.91%,37.61%,20.81%,26.84%,-4.03%,-21.64%,-26.97%,-38.40%,-39.89%,69.03%,79.57%,-,325.50%,88.91%,-,-,-,-
5,Accounts Receivable,6215,6526,6008,6457,5687,5232,5117,6288,4443,3936,3952,4450,2999,3007,2446,2428,1813,-,-,1107
6,Other Receivables,-,2665,-,3543,-,2672,-,2850,-,2264,-,1503,-,1748,-,1596,1568,-,-,499.77
7,Receivables,6215,9191,6008,10000,5687,7904,5117,9138,4443,6216,3952,5970,2999,4772,2446,4057,3415,-,-,1642
8,Prepaid Expenses,-,717,-,707,-,478,-,508,-,572.7,-,647.88,-,356.31,-,440.63,408.76,-,-,1363
9,Restricted Cash,83,89,66,128,90,40,319,59,94.8,45.89,2.4,2.42,2.45,3.26,705.28,3.7,5.25,-,-,1.39
10,Other Current Assets,4599,826,3636,508,4433,387,3071,533,3609,346.74,3428,933.28,2678,681.11,2110,133.68,90.98,-,-,68.92
11,Total Current Assets,61630,64001,58952,60361,52922,50113,43452,45858,43502,39745,43794,53011,54094,58674,65834,31528,30880,-,-,17311
12,"Property, Plant & Equipment",23125,20779,21423,22755,22227,22421,22537,24021,21204,21940,22491,23612,19485,20634,18464,12406,12416,-,-,10585
13,Long-Term Investments,38896,27597,17429,15507,15628,12514,12831,12434,11736,12555,11790,8712,9376,9819,7189,4343,4609,-,-,2368
14,Goodwill,-,-,-,845,-,-,-,845,-,-,-,844.96,-,-,-,836.97,836.97,-,-,836.97
15,Other Intangible Assets,1064,1032,1014,228,1095,1121,1145,278,1131,1129,1156,326.8,1205,1241,1278,410.82,416.72,-,-,283.34
16,Long-Term Deferred Tax Assets,6264,5854,6313,6108,5647,5642,5223,5095,4774,4872,5196,5405,5029,4149,3499,2313,2152,-,-,860.19
17,Other Long-Term Assets,1116,536,560,492,402,413,415,776,479.13,574.95,644.49,603.37,2023,1181,374.51,308.98,208.83,-,-,169.59
18,Total Assets,132095,119799,105691,106296,97921,92224,85603,89307,82826,80816,85070,92515,91212,95698,96638,52147,51519,-,-,32414
19,Accounts Payable,26084,31667,23161,23601,20263,23191,18951,22868,17967,17427,18699,20021,17222,18475,14799,11544,10913,-,-,9055
20,Accrued Expenses,-,3716,-,5229,-,3377,-,4225,-,1863,-,3741,-,1771,-,2366,1737,-,-,1626
21,Short-Term Debt,-,-,-,3990,-,-,-,738,-,-,-,-,-,-,-,-,300,-,-,-
22,Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,122848,-,-,-
23,Current Portion of Leases,3896,3357,3381,3327,3257,3562,3485,3475,3496,3531,3503,3529,3347,3226,2756,2099,1871,-,-,1337
24,Current Income Taxes Payable,399,269,1220,1222,741,867,1233,936,404.97,476.08,1280,1080,733.73,443.77,651.28,487.84,435.14,-,-,424.41
25,Current Unearned Revenue,-,-,-,3965,-,-,-,3213,-,-,-,3480,-,-,-,3272,3018,-,-,1509
26,Other Current Liabilities,26737,12830,17906,7444,19577,9910,14016,5254,12831,8967,12137,5405,11145,7249,9806,3415,2369,-,-,1422
27,Total Current Liabilities,57116,51839,45668,48778,43838,40907,37685,40709,34698,32265,35621,37256,32448,31165,28012,23185,143492,-,-,15374
28,Long-Term Debt,9000,4500,-,-,-,-,-,-,-,-,-,-,-,-,-,185373,52390,-,-,69444
29,Long-Term Leases,7592,6985,7698,8405,8184,8196,8155,8721,7422,8128,8896,10080,8624,9711,8312,3608,3945,-,-,3288
30,Long-Term Deferred Tax Liabilities,15,16,17,18,19,21,22,23,24.63,25.91,27.2,28.48,29.76,31.04,32.48,31.6,33.59,-,-,37.5
31,Other Long-Term Liabilities,19,21,22,21,9,5,5,16,26.85,43.15,50.26,55.56,65.99,70.65,0.16,-,-,-,-,-
32,Total Liabilities,73742,63361,53405,57222,52050,49129,45867,49469,42172,40462,44594,47419,41168,40977,36357,212197,199860,-,-,88143
33,Common Stock,-,-,-,-,-,-,-,-,0.15,0.14,0.14,0.14,0.14,0.14,0.14,0.03,0.03,-,-,0.03
34,Additional Paid-In Capital,269745,271804,272264,273459,274206,274429,274521,274473,274448,274426,274422,274408,274377,274368,274382,-,-,-,-,-
35,Retained Earnings,-246125,-249393,-253372,-257226,-261094,-263275,-264755,-263622,-262316,-259603,-256427,-249932,-243933,-236847,-229812,-171859,-152595,-,-,-55223
36,Treasury Stock,-,-284,-113,-88,-45,-113,-,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,34718,34298,33495,32918,32797,32048,29965,28979,28514,25524,22474,20614,19596,17195,15704,11809,4253,-,-,-505.77
38,Total Common Equity,58338,56425,52274,49063,45864,43089,39731,39830,40646,40348,40470,45089,50040,54716,60275,-160050,-148341,-,-55729,-55729
39,Minority Interest,15,13,12,11,7,6,5,8,8.02,7.1,7.07,6.6,4.31,5.15,6.34,-,-,-,-,-
40,Shareholders' Equity,58353,56438,52286,49074,45871,43095,39736,39838,40654,40355,40477,45096,50045,54721,60281,-160050,-148341,-,-55729,-55729
41,Total Liabilities & Equity,132095,119799,105691,106296,97921,92224,85603,89307,82826,80816,85070,92515,91212,95698,96638,52147,51519,-,-,32414
42,Total Debt,20488,14842,11079,15722,11441,11758,11640,12934,10918,11659,12399,13609,11971,12937,11068,191080,181355,-,74069,74069
43,Net Cash (Debt),30245,38336,38163,33296,31271,29546,23305,22686,24437,20904,24013,31848,36443,39925,49506,-164187,-154394,-,-59833,-59833
44,Net Cash Growth,-3.28%,29.75%,63.75%,46.77%,27.96%,41.34%,-2.95%,-28.77%,-32.94%,-47.64%,-51.49%,-,-,-,-,-,-,-,-,-
45,Net Cash Per Share,6.90,8.70,8.67,7.44,7.05,6.71,5.42,5.33,5.73,4.92,5.68,8.31,8.79,9.68,17.41,-176.42,-165.90,-,-64.18,-64.05
46,Filing Date Shares Outstanding,4301,4318,4320,4326,4316,4311,4301,4294,4262,4276,4225,4227,4144,4159,2843,4159,930.67,930.67,932.26,930.67
47,Total Common Shares Outstanding,4301,4318,4320,4326,4316,4311,4301,4294,4262,4276,4225,4227,4144,4159,2843,930.67,930.67,930.67,932.26,930.67
48,Working Capital,4514,12162,13284,11583,9084,9206,5767,5149,8804,7480,8174,15755,21646,27509,37821,8343,-112612,-,-,1937
49,Book Value Per Share,13.56,13.07,12.10,11.34,10.63,10.00,9.24,9.28,9.59,9.44,9.58,10.67,12.09,13.16,21.20,-171.97,-159.39,-,-59.88,-59.88
50,Tangible Book Value,57274,55393,51260,47990,44769,41968,38586,38707,39516,39219,39314,43918,48836,53475,58997,-161298,-149595,-,-56849,-56849
51,Tangible Book Value Per Share,13.32,12.83,11.87,11.09,10.37,9.74,8.97,9.01,9.32,9.17,9.31,10.39,11.80,12.86,20.75,-173.31,-160.74,-,-61.08,-61.08
52,Buildings,-,-,-,3039,-,-,-,2741,-,-,-,2542,-,-,-,-,-,-,-,-
53,Machinery,-,-,-,24254,-,-,-,21563,-,-,-,16917,-,-,-,12345,11307,-,-,8417
54,Construction In Progress,-,-,-,102,-,-,-,824,-,-,-,467.04,-,-,-,25.17,23.52,-,-,34.03
55,Leasehold Improvements,-,-,-,965,-,-,-,574,-,-,-,488.6,-,-,-,253.48,205.96,-,-,122.73
