,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,277664,236566,199821,212791,229903,273658,232018,261967,305841,219040,373392,316550,304539,345969,810160,1122912,-,-,-,-,-
1,Market Cap Growth,-13.55%,-13.55%,-13.88%,-18.77%,-24.83%,24.94%,-37.86%,-17.24%,0.43%,-36.69%,-53.91%,-71.81%,-,-,-,-,-,-,-,-,-
2,Enterprise Value,244180,195388,158471,171904,196350,241739,205391,235737,278886,194562,343736,277682,260519,297959,751428,1317997,-,-,-,-,-
3,Last Close Price,64.90,54.85,46.15,49.05,52.95,62.85,53.55,60.45,71.05,50.95,87.40,74.20,72.05,82.70,194.80,270.00,-,-,-,-,-
4,PE Ratio,17.31,14.26,13.39,17.24,32.63,205.47,-58.78,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,Forward PE,13.65,10.09,9.74,12.04,15.51,23.35,34.82,158.91,-,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,2.04,1.72,1.54,1.67,1.84,2.34,2.06,2.33,2.87,2.20,3.64,3.01,3.06,3.83,9.68,14.94,-,-,-,-,-
7,PB Ratio,4.32,3.66,3.30,3.75,4.25,5.56,4.98,5.77,6.79,4.88,7.90,6.33,5.50,5.72,12.31,15.70,-,-,-,-,-
8,P/TBV Ratio,3.73,3.73,3.36,3.83,4.35,5.70,5.12,5.94,6.99,5.02,8.13,6.52,5.65,5.86,12.60,16.04,-,-,-,-,-
