,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Mar '21 Mar 31, 2021","Sep '20 Sep 30, 2020","Mar '20 Mar 31, 2020",+2 Quarters
0,Market Capitalization,9472,8537,7492,8276,10463,10153,14005,14169,10080,9642,9335,Upgrade
1,Market Cap Growth,3.16%,3.16%,-28.39%,-18.49%,-25.29%,-28.34%,38.94%,46.94%,7.98%,-1.29%,-29.24%,Upgrade
2,Enterprise Value,40606,38095,34393,34059,34483,34032,36588,35123,30049,27754,26408,Upgrade
3,PE Ratio,6.49,5.83,4.89,4.83,5.64,5.51,7.40,7.51,5.96,6.08,5.69,Upgrade
4,PS Ratio,0.79,0.71,0.58,0.58,0.74,0.77,1.08,1.21,0.97,1.02,1.07,Upgrade
5,PB Ratio,0.70,0.38,0.35,0.41,0.49,0.51,0.68,0.75,0.59,0.64,0.66,Upgrade
6,P/FCF Ratio,4.92,4.43,3.17,2.75,3.33,3.37,4.11,5.42,4.83,3.47,2.96,Upgrade
7,P/OCF Ratio,3.65,3.65,2.70,2.49,3.02,3.10,3.82,4.46,3.80,3.17,2.74,Upgrade
8,EV/Sales Ratio,3.39,3.18,2.67,2.39,2.43,2.57,2.83,3.01,2.90,2.93,3.04,Upgrade
9,EV/EBITDA Ratio,8.31,8.00,7.10,6.45,6.56,7.05,7.58,7.56,7.18,7.25,7.35,Upgrade
10,EV/EBIT Ratio,10.75,10.21,8.91,7.93,8.02,8.59,9.10,9.01,8.53,8.58,8.68,Upgrade
11,EV/FCF Ratio,21.07,19.77,14.54,11.33,10.96,11.29,10.74,13.43,14.39,9.98,8.37,Upgrade
12,Debt / Equity Ratio,1.21,1.21,1.22,1.21,1.19,1.20,1.15,1.13,1.15,1.32,1.31,Upgrade
13,Debt / FCF Ratio,14.13,14.13,11.07,8.17,8.03,7.92,6.91,8.13,9.31,7.14,5.85,Upgrade
14,Return on Capital Employed (ROCE),8.39%,8.39%,9.09%,10.91%,10.76%,10.92%,10.63%,10.67%,10.84%,10.07%,10.29%,Upgrade
15,Earnings Yield,15.45%,17.14%,20.47%,20.69%,17.75%,18.16%,13.52%,13.31%,16.79%,16.44%,17.56%,Upgrade
16,Earnings Yield,15.45%,17.14%,20.47%,20.69%,17.75%,18.16%,13.52%,13.31%,16.79%,16.44%,17.56%,Upgrade
17,FCF Yield,20.34%,22.57%,31.57%,36.31%,30.06%,29.70%,24.32%,18.46%,20.72%,28.85%,33.79%,Upgrade
18,Dividend Yield,4.81%,5.51%,6.49%,6.71%,6.02%,6.34%,4.72%,4.47%,6.03%,6.45%,6.70%,Upgrade
19,Buyback Yield / Dilution,-,-,-,-0.00%,-1.83%,-0.15%,0.14%,-1.61%,-1.73%,0.30%,Upgrade,
20,Total Shareholder Return,4.81%,5.51%,6.49%,6.71%,6.01%,4.52%,4.57%,4.62%,4.42%,4.73%,7.00%,Upgrade
