,Fiscal Quarter,Current,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q1 2019,Q4 2018,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters
0,Market Capitalization,287991,266392,345589,381588,395988,338389,323990,539983,496784,691178,633580,352789,367188,259192,230393,207686,179994,249223,242300,214609,242300,Upgrade
1,Market Cap Growth,-50.67%,-21.28%,6.67%,-29.33%,-20.29%,-51.04%,-48.86%,53.06%,35.29%,166.67%,175.00%,69.87%,104.00%,4.00%,-4.91%,-3.23%,-25.71%,-2.70%,-12.50%,-20.51%,-14.63%,Upgrade
2,Enterprise Value,176579,234388,570059,571616,622995,549169,534769,685706,603971,909124,851526,612889,522592,438200,412791,452115,367770,583788,593783,372153,467305,Upgrade
3,Last Close Price,4000.00,3700.00,4800.00,5300.00,5500.00,4700.00,4500.00,7500.00,6900.00,9600.00,8800.00,4900.00,5100.00,3600.00,3200.00,2884.62,2500.00,3461.54,3365.38,2980.77,3365.38,Upgrade
4,PE Ratio,-,-,-,-,39.01,16.14,15.42,34.88,39.52,372.46,344.68,203.53,238.46,169.06,24.78,16.55,11.62,7.63,9.35,9.51,12.39,Upgrade
5,PS Ratio,0.17,0.15,0.20,0.22,0.22,0.17,0.16,0.27,0.25,0.39,0.36,0.20,0.21,0.15,0.13,0.12,0.11,0.14,0.14,0.12,0.14,Upgrade
6,PB Ratio,0.33,0.31,0.37,0.41,0.41,-,0.33,-,0.52,0.73,-,0.37,0.39,0.27,0.24,-,0.19,0.26,0.26,0.23,0.26,Upgrade
7,P/TBV Ratio,0.31,0.31,0.37,0.41,0.41,-,0.33,-,0.52,0.73,-,0.37,0.39,0.27,0.24,-,0.19,0.26,0.26,0.23,0.26,Upgrade
8,P/FCF Ratio,3.65,-,11.69,-,-,-,-,-,-,-,-103.98,-8.99,-,9.03,-,1.38,-,6.33,-,-,6.02,Upgrade
9,P/OCF Ratio,1.84,-,7.38,-,-,-,-,-,-,-,21.09,-11.21,-,7.45,-,1.29,-,2.69,-,-,3.16,Upgrade
10,EV/Sales Ratio,0.10,0.13,0.34,0.33,0.35,0.27,0.26,0.34,0.31,0.51,0.48,0.35,0.30,0.26,0.24,0.27,0.22,0.33,0.35,0.21,0.27,Upgrade
11,EV/EBITDA Ratio,-,-,36.47,-,14.92,7.29,-,5.38,4.14,6.64,6.06,4.24,3.49,2.92,2.52,2.66,2.14,3.07,3.29,2.09,2.70,Upgrade
12,EV/EBIT Ratio,-,-,-,-,26.00,15.52,16.53,31.12,32.04,123.66,102.22,56.40,39.55,32.10,15.20,13.74,10.37,10.71,13.05,8.56,12.01,Upgrade
13,EV/FCF Ratio,2.24,-,19.28,-,-,-,-,-,-,-,-139.74,-15.62,-,15.26,-,3.00,-,14.83,-,-,11.60,Upgrade
14,Debt / Equity Ratio,0.31,0.11,0.19,0.27,0.23,-,0.15,-,0.19,0.17,-,0.26,0.30,0.21,0.20,-,0.24,0.24,0.42,0.40,0.30,Upgrade
15,Debt / EBITDA Ratio,-,-,6.40,-,4.32,-,-,-,0.99,1.27,-,1.83,1.93,1.40,1.25,-,1.51,1.14,2.31,2.33,1.26,Upgrade
16,Debt / FCF Ratio,3.40,-,5.99,-,-,-,-,-,-,-,-,-6.36,-,6.99,-,-,-,5.78,-,-,7.12,Upgrade
17,Asset Turnover,-,1.25,1.16,-,-,-,-,1.69,-,-,1.18,-,1.14,-,-,-,1.14,-,0.90,1.21,Upgrade,
18,Inventory Turnover,9.40,-,7.31,6.90,-,-,-,-,12.15,-,-,6.83,-,5.22,-,-,-,5.95,-,4.83,8.29,Upgrade
19,Quick Ratio,1.02,1.02,0.82,0.91,0.75,-,0.86,-,1.00,0.87,-,0.77,0.76,0.58,0.55,-,-,0.45,0.50,0.46,0.46,Upgrade
20,Current Ratio,1.37,1.37,1.31,1.28,1.28,-,1.35,-,1.31,1.28,-,1.23,1.18,1.21,1.13,-,-,1.01,0.95,0.90,0.87,Upgrade
21,Return on Equity (ROE),-,-2.28%,-11.18%,-,-,-,-,4.62%,-,-,0.25%,-,0.14%,-,-,0.13%,3.41%,-,1.43%,7.51%,Upgrade,
22,Return on Assets (ROA),-,-0.43%,-4.22%,-,-,-,-,2.51%,-,-,0.47%,-,0.31%,-,-,-,2.39%,-,1.13%,3.36%,Upgrade,
23,Return on Capital (ROIC),-,-0.57%,-5.65%,-,-,-,-,3.25%,-,-,0.59%,-,0.40%,-,-,0.76%,3.04%,-,1.52%,4.75%,Upgrade,
24,Return on Capital Employed (ROCE),-,-,-,-,2.47%,-,3.30%,-,1.95%,0.76%,-,1.12%,1.35%,1.40%,2.76%,-,-,5.47%,4.61%,4.43%,3.97%,Upgrade
25,Earnings Yield,-23.26%,-17.83%,-9.04%,-5.20%,2.56%,6.19%,6.48%,2.87%,2.53%,0.27%,0.29%,0.49%,0.42%,0.59%,4.04%,6.04%,8.61%,13.11%,10.69%,10.52%,8.07%,Upgrade
26,FCF Yield,27.37%,-,8.56%,-59.42%,-64.24%,-58.73%,-,-35.89%,-17.57%,-22.11%,-0.96%,-11.12%,-5.24%,11.08%,-,72.54%,-58.72%,15.80%,-,-6.68%,16.62%,Upgrade
27,Buyback Yield / Dilution,-4.31%,-0.21%,87.71%,-7.94%,2.85%,-,-676.62%,-10.50%,-5.20%,-,-10.44%,-2.09%,6.09%,3.29%,6.15%,11.10%,2.02%,8.86%,-2.17%,-4.29%,Upgrade,
28,Total Shareholder Return,-4.31%,-0.21%,87.71%,-7.94%,2.85%,-,-676.62%,-10.50%,-5.20%,-,-10.44%,-2.09%,6.09%,3.29%,6.15%,11.10%,2.02%,8.86%,-2.17%,-4.29%,Upgrade,
