,Fiscal Quarter,Q4 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,Q4 2019,Q3 2019,Q1 2019,Q4 2018,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020","Dec '19 Dec 31, 2019","Sep '19 Sep 30, 2019","Mar '19 Mar 31, 2019","Dec '18 Dec 31, 2018",+20 Quarters
0,Revenue,505894,469467,460516,358954,404091,534580,484281,618181,429344,471777,449950,431572,421209,436223,427371,404166,458964,395699,386986,509899,Upgrade
1,Revenue Growth (YoY),25.19%,-12.18%,-4.91%,-41.93%,-5.88%,13.31%,7.63%,43.24%,1.93%,8.15%,5.28%,6.78%,-8.23%,10.24%,10.44%,-20.74%,13.11%,-11.35%,3.98%,29.10%,Upgrade
2,Cost of Revenue,428068,382837,412957,294349,331202,439603,393764,494137,375063,416757,384917,378741,355592,385039,372597,363308,407893,359869,343715,434294,Upgrade
3,Gross Profit,77825,86630,47560,64605,72889,94977,90517,124044,54282,55020,65033,52831,65617,51184,54774,40857,51071,35830,43272,75605,Upgrade
4,"Selling, General & Admin",95789,89223,74296,61360,68999,84183,84481,109375,53421,54552,62177,49663,63777,48180,49571,37253,35724,27078,35513,52951,Upgrade
5,Operating Expenses,95789,89223,74296,61360,68999,84183,84481,109375,53421,54552,62177,49663,63777,48180,49571,37253,35724,27078,35513,52951,Upgrade
6,Operating Income,-17963,-2593,-26736,3245,3889,10794,6036,14669,860.92,467.45,2856,3168,1840,3004,5202,3604,15347,8752,7759,22655,Upgrade
7,Interest Expense,-996.37,-2945,-3004,-3937,-4177,-3929,-2878,-1805,-1537,-2346,-2773,-3268,-3051,-3134,-4639,-4560,-5972,-5525,-5158,-4772,Upgrade
8,Interest & Investment Income,1573,65.69,1011,351.43,549.13,1021,1965,1438,839.21,-,558.77,540.08,-,624.36,314.5,1120,406.04,290.77,283.34,391.31,Upgrade
9,Other Non Operating Income (Expenses),1450,156.19,1990,617.47,239.29,-2908,840.92,1439,281.7,2592,111.85,-31.24,1799,88.08,-505.38,155.96,395.54,196.64,473.07,262.04,Upgrade
10,Pretax Income,-15936,-5316,-26738,276.55,500.82,4977,5964,15741,444.73,713.07,753.86,408.01,588.17,582.03,372.15,319.74,10176,3714,3357,18536,Upgrade
11,Income Tax Expense,-,-,-265.66,42.95,189.74,-1117,2451,4700,88.95,142.61,150.77,81.6,249.96,116.41,-37.42,-,2073,-,-,1037,Upgrade
12,Net Income,-15936,-5316,-26473,233.6,311.08,6094,3513,11042,355.79,570.45,603.09,326.41,338.21,465.62,409.57,319.74,8103,3714,3357,17499,Upgrade
