,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Cash & Equivalents,90.32,82.16,86.26,89.3,93.67,90.91,107.43,77.46,73.97,19.29
1,Cash & Short-Term Investments,90.32,82.16,86.26,89.3,93.67,90.91,107.43,77.46,73.97,19.29
2,Cash Growth,4.71%,-7.99%,-7.92%,-1.77%,-12.81%,17.36%,45.24%,301.56%,-,-
3,Accounts Receivable,69.74,62.35,69.67,47.45,93.01,71.88,48.7,80.23,72.6,196.83
4,Other Receivables,4.4,1.34,11.74,4.62,8.26,2.01,2.45,1.72,3.08,0.67
5,Receivables,74.14,63.69,81.41,52.07,101.27,73.89,51.15,81.95,75.68,197.5
6,Inventory,19.89,18.49,15.04,23.99,32.55,39.79,28.91,22.37,27.03,35.77
7,Prepaid Expenses,3.64,8.09,3.6,3.86,6.51,6.61,5.34,4.28,3.08,4.24
8,Other Current Assets,-,-,-,-,-,-,-,-,-,4.64
9,Total Current Assets,187.98,172.43,186.31,169.21,234,211.2,192.84,186.07,179.76,261.44
10,"Property, Plant & Equipment",7.34,8.04,7.86,10.27,7.24,7.86,9.64,11.64,5.64,6.98
11,Other Long-Term Assets,1.08,2.86,2.35,2.87,3.27,5.15,3.98,2,0.01,0.51
12,Total Assets,196.4,183.33,196.51,182.35,244.5,224.21,206.46,199.71,185.42,268.92
13,Accounts Payable,30.29,22.97,23.14,10.54,32.73,33.09,20.5,26.01,22.09,23.22
14,Accrued Expenses,20.11,25.22,16.95,26.11,16.03,20.35,19.75,20.41,17.19,27.79
15,Short-Term Debt,-,-,-,-,-,-,-,-,9.02,21.07
16,Current Portion of Leases,1.82,3.6,2.68,5.36,1.81,3.64,3.59,3.55,1.54,3.07
17,Current Income Taxes Payable,1.18,0,2.39,1.32,5.41,1.29,2.37,1.33,13.27,10.93
18,Current Unearned Revenue,0.61,2.01,-,0.16,0.78,1.45,2.13,1.39,2.13,3.02
19,Total Current Liabilities,54.02,53.8,45.17,43.5,56.76,59.82,48.33,52.69,65.25,89.09
20,Long-Term Leases,-,-,-,-,-,-,1.82,3.61,-,-
21,Long-Term Deferred Tax Liabilities,0.27,0.27,0.14,0.14,-,-,-,-,-,-
22,Total Liabilities,54.28,54.07,45.3,43.63,56.76,59.82,50.15,56.3,65.25,89.09
23,Common Stock,20,20,20,20,20,20,20,20,20,-
24,Additional Paid-In Capital,95.63,95.63,95.63,95.63,95.63,95.63,95.63,95.63,95.63,8.25
25,Retained Earnings,74.55,61.59,83.83,70.81,119.15,94.44,86.78,74.13,52.43,173.23
26,Comprehensive Income & Other,-48.06,-47.96,-48.25,-47.73,-47.04,-45.68,-46.11,-46.35,-47.88,-1.65
27,Shareholders' Equity,142.11,129.26,151.21,138.72,187.74,164.4,156.31,143.4,120.17,179.83
28,Total Liabilities & Equity,196.4,183.33,196.51,182.35,244.5,224.21,206.46,199.71,185.42,268.92
29,Total Debt,1.82,3.6,2.68,5.36,1.81,3.64,5.41,7.17,10.56,24.14
30,Net Cash (Debt),88.5,78.56,83.57,83.94,91.86,87.27,102.02,70.3,63.41,-4.85
31,Net Cash Growth,5.89%,-6.40%,-9.02%,-3.82%,-9.96%,24.15%,60.89%,-,-,-
32,Net Cash Per Share,0.04,0.04,0.04,0.04,0.05,0.04,0.05,0.04,0.04,-0.00
33,Filing Date Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,2000
34,Total Common Shares Outstanding,2000,2000,2000,2000,2000,2000,2000,2000,2000,-
35,Working Capital,133.96,118.63,141.15,125.72,177.24,151.38,144.51,133.38,114.52,172.35
36,Book Value Per Share,0.07,0.06,0.08,0.07,0.09,0.08,0.08,0.07,0.06,-
37,Tangible Book Value,142.11,129.26,151.21,138.72,187.74,164.4,156.31,143.4,120.17,179.83
38,Tangible Book Value Per Share,0.07,0.06,0.08,0.07,0.09,0.08,0.08,0.07,0.06,-
39,Machinery,-,19.07,-,18.65,-,17.05,-,15.55,-,13.28
