,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,198,192,186,196,216,190,226,268,188,250,-
1,Market Cap Growth,-2.04%,-2.04%,-13.89%,3.16%,-4.42%,-29.10%,20.21%,7.20%,-,-,-
2,Enterprise Value,110,113,102,112,124,103,124,198,125,255,-
3,Last Close Price,0.10,0.09,0.08,0.08,0.08,0.06,0.07,0.09,0.06,0.08,-
4,PE Ratio,9.56,9.27,8.95,18.35,-,4.71,7.98,7.80,5.17,7.72,-
5,PS Ratio,0.83,0.81,0.80,0.93,0.85,0.66,0.98,1.13,0.75,1.03,-
6,PB Ratio,1.39,1.35,1.44,1.30,1.56,1.01,1.37,1.71,1.31,2.08,-
7,P/TBV Ratio,1.35,1.35,1.44,1.30,1.56,1.01,1.37,1.71,1.31,2.08,-
8,P/FCF Ratio,5.50,5.34,7.14,-,4.50,-75.85,-,5.91,9.07,6.89,-
9,P/OCF Ratio,5.18,5.18,6.69,-,4.42,2467.53,-,5.32,7.96,6.55,-
10,EV/Sales Ratio,0.46,0.48,0.44,0.53,0.49,0.36,0.54,0.83,0.50,1.05,-
11,EV/EBITDA Ratio,4.64,5.93,5.32,9.16,-,2.21,3.78,5.06,2.65,5.33,-
12,EV/EBIT Ratio,6.40,6.63,5.96,11.11,-,2.30,3.95,5.23,2.71,5.42,-
13,EV/FCF Ratio,3.04,3.15,3.93,-,2.58,-41.01,-,4.36,6.01,7.02,-
14,Debt / Equity Ratio,0.01,0.01,0.03,0.02,0.04,0.01,0.02,0.03,0.05,0.09,0.13
15,Debt / FCF Ratio,0.05,0.05,0.14,-,0.11,-0.72,-,0.12,0.35,0.29,2.46
16,Return on Capital Employed (ROCE),12.01%,12.01%,13.27%,6.67%,-,23.82%,19.08%,23.92%,31.26%,39.10%,33.22%
17,Earnings Yield,10.46%,10.79%,11.17%,5.45%,10.36%,21.24%,12.53%,12.82%,19.34%,12.96%,-
18,FCF Yield,18.17%,18.74%,14.01%,21.51%,22.24%,-1.32%,10.92%,16.92%,11.03%,14.52%,-
19,Dividend Yield,10.10%,10.95%,11.90%,17.76%,35.51%,31.77%,-,-,-,-,-
20,Buyback Yield / Dilution,-,-,-,-,-,0.06%,-13.07%,-16.02%,-2.54%,-,
21,Total Shareholder Return,10.10%,10.95%,11.90%,17.76%,35.51%,31.77%,0.06%,-13.07%,-16.02%,-2.54%,-
