,Fiscal Quarter,Current,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Market Capitalization,316,338,314,330,360,590,-,-
1,Market Cap Growth,2.40%,2.40%,-12.88%,-44.07%,-,-,-,-
2,Enterprise Value,127,135,125,150,180,553,-,-
3,Last Close Price,0.64,0.66,0.59,0.62,0.65,1.06,-,-
4,PE Ratio,13.79,14.58,14.06,21.18,57.12,29.91,-,-
5,PS Ratio,0.38,0.41,0.37,0.41,0.42,0.66,-,-
6,PB Ratio,1.17,1.25,1.14,1.25,1.36,2.29,-,-
7,P/TBV Ratio,1.25,1.25,1.14,1.25,1.36,2.29,-,-
8,P/FCF Ratio,23.83,-,9.11,16.76,-,-,-,-
9,P/OCF Ratio,23.83,-,9.09,12.57,-33.45,-,-,-
10,EV/Sales Ratio,0.15,0.16,0.15,0.19,0.21,0.62,-,-
11,EV/EBITDA Ratio,3.80,5.83,5.64,9.76,8.16,13.78,-,-
12,EV/EBIT Ratio,6.41,6.81,6.68,12.81,9.43,14.50,-,-
13,EV/FCF Ratio,9.61,-,3.63,7.62,-,-,-,-
14,Debt / Equity Ratio,0.09,0.09,0.10,0.11,0.11,0.12,1.13,-
15,Debt / FCF Ratio,1.91,-,0.78,1.46,-,-,2.54,-
16,Return on Capital Employed (ROCE),6.94%,6.94%,6.39%,4.13%,6.62%,13.66%,34.06%,-
17,Earnings Yield,7.34%,6.86%,7.11%,4.72%,1.75%,3.34%,-,-
18,FCF Yield,4.20%,3.92%,10.98%,5.97%,-5.20%,2.81%,-,-
19,Dividend Yield,4.69%,2.26%,-,-,-,-,-,-
20,Buyback Yield / Dilution,8.33%,0.53%,14.97%,-32.12%,8.21%,-107.71%,-,-
21,Total Shareholder Return,13.02%,2.79%,14.97%,-32.12%,8.21%,-107.71%,-,-
