,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Cash & Equivalents,130.39,127.94,134.86,129.23,211.6,126.26,-
1,Short-Term Investments,83.42,101.65,82.64,80.71,-,-,-
2,Cash & Short-Term Investments,213.81,229.59,217.5,209.94,211.6,126.26,-
3,Cash Growth,-1.69%,9.36%,2.79%,66.28%,-,-,-
4,Accounts Receivable,3.78,9.79,7.37,7.02,5.68,7.7,-
5,Other Receivables,12.61,12.04,9.65,10.34,8.33,11.49,-
6,Receivables,16.39,21.83,17.02,17.36,14.01,19.2,-
7,Inventory,96.78,84.35,70.28,75.14,81.72,66.28,-
8,Other Current Assets,1.31,1.3,1.3,1.32,1.31,-,-
9,Total Current Assets,328.29,337.07,306.1,303.76,308.63,211.73,-
10,"Property, Plant & Equipment",27.44,29.78,33.34,37.69,35.39,24.25,-
11,Other Intangible Assets,0.21,0.21,-,-,-,-,-
12,Long-Term Deferred Tax Assets,0.19,0.09,-,-,-,-,-
13,Other Long-Term Assets,6.59,5.5,4.3,5.48,8.8,4.31,-
14,Total Assets,362.73,372.65,343.74,346.94,352.82,240.29,-
15,Accounts Payable,40.47,49.97,33.97,31.34,38.4,38.09,-
16,Accrued Expenses,-,2.91,-,2.83,-,-,-
17,Current Portion of Long-Term Debt,-,-,-,-,-,68.79,-
18,Current Portion of Leases,10.42,8.94,8.7,7.18,9.66,7.58,-
19,Current Income Taxes Payable,2.2,0.35,-,-,1.98,1.49,-
20,Current Unearned Revenue,11.58,11.81,9.81,12.97,9.54,14.97,-
21,Other Current Liabilities,12.09,6.01,7.59,4.75,13.96,17.66,-
22,Total Current Liabilities,76.76,80,60.07,59.07,73.53,148.58,-
23,Long-Term Leases,14.92,17.85,20.12,22.84,21.57,12.72,-
24,Long-Term Deferred Tax Liabilities,-,-,0.17,0.17,0.15,0.15,-
25,Other Long-Term Liabilities,-,-,-,-,-,0.09,-
26,Total Liabilities,91.68,97.85,80.36,82.07,95.24,161.54,-
27,Common Stock,0.39,0.39,0.39,0.39,0.39,0.14,-
28,Additional Paid-In Capital,175.52,176.14,177.58,177.58,177.58,-,-
29,Retained Earnings,42.19,45.95,33.93,35.65,30.35,29.35,-
30,Comprehensive Income & Other,52.95,52.32,51.48,51.25,49.26,49.26,-
31,Shareholders' Equity,271.05,274.81,263.38,264.86,257.58,78.75,-
32,Total Liabilities & Equity,362.73,372.65,343.74,346.94,352.82,240.29,-
33,Total Debt,25.34,26.8,28.82,30.01,31.22,89.09,-
34,Net Cash (Debt),188.47,202.79,188.68,179.93,180.38,37.16,-
35,Net Cash Growth,-0.11%,12.71%,4.60%,384.15%,-,-,-
36,Net Cash Per Share,0.38,0.41,0.38,0.31,0.48,0.06,-
37,Filing Date Shares Outstanding,496.95,497.82,500,500,500,325.62,182.2
38,Total Common Shares Outstanding,496.95,497.82,500,500,500,325.62,182.2
39,Working Capital,251.53,257.07,246.03,244.69,235.11,63.15,-
40,Book Value Per Share,0.55,0.55,0.53,0.53,0.52,0.24,-
41,Tangible Book Value,270.84,274.6,263.38,264.86,257.58,78.75,-
42,Tangible Book Value Per Share,0.54,0.55,0.53,0.53,0.52,0.24,-
43,Machinery,-,6.59,-,6.52,-,3.76,-
44,Leasehold Improvements,-,9.95,-,10.04,-,4.82,-
