,Fiscal Quarter,H1 2025,H2 2024,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022
,Period Ending,"Sep '24 Sep 30, 2024","Mar '24 Mar 31, 2024","Sep '23 Sep 30, 2023","Mar '23 Mar 31, 2023","Sep '22 Sep 30, 2022","Mar '22 Mar 31, 2022","Sep '21 Sep 30, 2021"
0,Revenue,386.99,444.87,396.28,406.88,448.2,445.35,344.7
1,Revenue Growth (YoY),-2.34%,9.34%,-11.58%,-8.64%,30.03%,-,-
2,Cost of Revenue,328.01,381.97,337.34,343.52,380.36,372.54,294.76
3,Gross Profit,58.99,62.9,58.94,63.36,67.84,72.81,49.94
4,"Selling, General & Admin",50.02,52.01,51.12,59.47,52.68,49.83,41.68
5,Operating Expenses,50.02,52.01,51.12,59.47,52.68,49.83,41.68
6,Operating Income,8.97,10.89,7.82,3.89,15.16,22.98,8.26
7,Interest Expense,-0.56,-0.63,-0.58,-0.59,-0.28,-0.2,-0.22
8,Interest & Investment Income,0.2,8.83,-,4,-,0.03,0
9,Currency Exchange Gain (Loss),-,-0,-,0.12,-,0.04,-
10,Other Non Operating Income (Expenses),4.31,-4.22,4.25,-3.08,-9.4,-6.82,-14.89
11,EBT Excluding Unusual Items,12.91,14.88,11.49,4.34,5.48,16.03,-6.85
12,Gain (Loss) on Sale of Investments,-,-,-,-,-2.26,6.22,-10.9
13,Other Unusual Items,-,-,-,2.24,-,-,-
14,Pretax Income,12.91,14.88,11.49,6.58,3.22,22.25,-17.75
15,Income Tax Expense,1.76,2.86,1.21,1.28,2.21,3.53,1.2
16,Net Income,11.15,12.02,10.28,5.3,1.01,18.72,-18.95
17,Net Income to Common,11.15,12.02,10.28,5.3,1.01,18.72,-18.95
18,Net Income Growth,8.46%,126.98%,921.15%,-71.71%,-,-,-
19,Shares Outstanding (Basic),497,500,500,587,378,640,182
20,Shares Outstanding (Diluted),497,500,500,587,378,640,182
21,Shares Change (YoY),-0.53%,-14.97%,32.12%,-8.21%,107.71%,-,-
22,EPS (Basic),0.02,0.02,0.02,0.01,0.00,0.03,-0.10
23,EPS (Diluted),0.02,0.02,0.02,0.01,0.00,0.03,-0.10
24,EPS Growth,8.92%,166.23%,673.16%,-69.18%,-,-,-
25,Free Cash Flow,-1.48,14.73,19.71,-0.02,-18.72,35.32,-0.29
26,Free Cash Flow Per Share,-0.00,0.03,0.04,-0.00,-0.05,0.06,-0.00
27,Dividend Per Share,0.015,-,-,-,-,-,-
28,Operating Margin,2.32%,2.45%,1.97%,0.96%,3.38%,5.16%,2.40%
29,Profit Margin,2.88%,2.70%,2.59%,1.30%,0.22%,4.20%,-5.50%
30,Free Cash Flow Margin,-0.38%,3.31%,4.97%,-0.00%,-4.18%,7.93%,-0.09%
31,EBITDA,10.69,12.5,9.66,5.72,16.29,23.82,8.94
32,D&A For EBITDA,1.72,1.61,1.84,1.83,1.14,0.84,0.68
33,EBIT,8.97,10.89,7.82,3.89,15.16,22.98,8.26
