,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,1591,1217,1089,1251,1740,1652,1579,1606,1613,1503,1771,1953,2285,2095,-,-,-,-,-,-
1,Market Cap Growth,-26.36%,-26.36%,-31.04%,-22.11%,7.86%,9.91%,-10.85%,-17.77%,-29.43%,-28.25%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,2073,1643,1523,1406,1895,1747,1537,1484,1492,1302,1563,1734,2066,2202,-,-,-,-,-,-
3,Last Close Price,22.40,17.09,15.24,17.37,24.16,22.95,21.93,22.30,22.40,20.88,24.09,26.56,31.09,28.01,-,-,-,-,-,-
4,PE Ratio,273.60,193.00,62.96,-386.65,-,-66.57,-,-58.72,-,-,26.24,26.69,32.51,24.97,-,-,-,-,-,-
5,PS Ratio,1.37,0.96,0.90,1.12,1.72,1.64,1.61,1.68,1.69,1.50,1.81,1.99,2.34,2.22,-,-,-,-,-,-
6,PB Ratio,1.85,1.42,1.27,1.43,1.99,1.87,1.83,1.82,1.84,1.67,1.87,2.10,2.46,2.36,-,-,-,-,-,-
7,P/TBV Ratio,1.59,1.59,1.42,1.62,2.26,2.06,1.97,1.95,1.97,1.78,1.98,2.23,2.61,2.46,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-,-,-,-,-,-,-,-25.09,-,-,-,-,-,-,-,-,-
