,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,322.14,300.29,305.33,329.19,272.25,205.74,198.6,324.18,240.19,187.6,198.18,370.01,220.34,191.19,191.19,338.83,206.21,143.42,143.42
1,Other Revenue,-2.66,2.66,-,5,-9.47,9.47,-,5.11,-2.52,2.52,-,2.97,-0.97,0.49,0.49,2.08,-0.35,0.17,0.17
2,Revenue,319.48,302.96,305.33,334.19,262.78,215.21,198.6,329.29,237.67,190.12,198.18,372.98,219.37,191.68,191.68,340.91,205.87,143.59,143.59
3,Revenue Growth (YoY),21.58%,40.77%,53.74%,1.49%,10.56%,13.20%,0.22%,-11.71%,8.34%,-0.81%,3.39%,9.41%,6.56%,33.49%,33.49%,-,-,-,-
4,Cost of Revenue,204.67,222.27,203.18,249.09,162.8,156.02,123.56,240.13,156.45,125.14,126.05,240.07,139.58,119.79,119.79,212.54,129.7,90.03,90.03
5,Gross Profit,114.82,80.68,102.15,85.09,99.98,59.19,75.05,89.16,81.22,64.98,72.13,132.91,79.79,71.89,71.89,128.37,76.17,53.56,53.56
6,"Selling, General & Admin",96.02,80.26,78.92,99.41,74.62,71.77,70.5,88.54,92.32,54.55,58.79,78.48,60.7,50.03,50.03,53.58,47.18,35.1,35.1
7,Research & Development,6.66,3.74,4.46,5.81,5.67,6.8,6.2,9.59,7.88,6.63,5.97,7.92,9.16,7.33,7.33,9.38,6.46,5.8,5.8
8,Other Operating Expenses,-5.98,6.73,-2.91,8.89,0.14,0.24,-5.46,12.79,-0.79,-1.73,-4.66,2.92,1.01,0.67,0.67,8.14,-3.35,0.52,0.52
9,Operating Expenses,97.13,88.74,81.04,124.42,77.7,78.81,68,123.62,101.23,57.6,58.15,89.28,73.21,57.17,57.17,75.92,50.04,40.11,40.11
10,Operating Income,17.69,-8.06,21.11,-39.32,22.28,-19.62,7.05,-34.46,-20.01,7.39,13.98,43.63,6.58,14.71,14.71,52.45,26.13,13.44,13.44
11,Interest Expense,-5.21,-2.73,-5.87,-2.06,-5.72,-2.03,-3.57,-3.39,-1.31,-,-2.83,-2,-1.3,-1.62,-1.62,-1.97,-2.89,-2.12,-2.12
12,Interest & Investment Income,0.55,-,0.14,2.8,-,0.21,0.28,0.93,1.46,2.04,0.98,1.33,0.96,0.02,0.02,0.02,0.02,0.05,0.05
13,Currency Exchange Gain (Loss),-2.81,2.81,-,-0.25,-0.42,0.42,-,1.36,-1.09,1.09,-,-1.87,0.39,-0.2,-0.2,-1.3,-0.38,0.19,0.19
14,Other Non Operating Income (Expenses),4.77,-1.5,0.8,-2.64,2.09,0.73,-0.74,-4.57,3.46,-0.27,0.62,-5.95,-0.09,0.4,0.4,-1.29,-0.3,0.14,0.14
15,EBT Excluding Unusual Items,14.98,-9.49,16.19,-41.47,18.24,-20.29,3.02,-40.13,-17.48,10.25,12.74,35.14,6.55,13.31,13.31,47.91,22.58,11.71,11.71
16,Gain (Loss) on Sale of Investments,-,-,-0.01,1.55,-0.74,-3.1,0.59,-2.43,1.68,-0.36,0.63,2.33,-0.01,-0.01,-0.01,-0.02,-,-0.02,-0.02
17,Gain (Loss) on Sale of Assets,-0.69,0.05,-0.15,0.32,-,-0,0.01,0.13,-2.39,-0,0.07,0.21,-0.2,-0.53,-0.53,-0.06,-0.01,0,0
18,Asset Writedown,-7.93,4.02,-4.03,3.13,-3.15,1.3,-1.3,-1.1,1.1,-2.52,2.52,-2.74,2.53,-,-,3.02,-2.81,-0.16,-0.16
19,Legal Settlements,-,-,-,-0.51,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Other Unusual Items,-8.12,8.12,-,18.38,-,-,-,12.73,-,-,-,5.95,0.01,-0.01,-0.01,9.38,-,-,-
21,Pretax Income,-1.76,2.71,11.99,-18.59,14.35,-22.09,2.32,-30.81,-17.08,7.37,15.96,40.89,8.88,12.77,12.77,60.23,19.76,11.54,11.54
22,Income Tax Expense,-2.57,0.04,1.31,-11.46,3.37,-4.18,0.23,-10,-3.14,2.06,2.14,0.87,0.53,1.81,1.81,6.59,2.27,2.22,2.22
23,Earnings From Continuing Operations,0.81,2.66,10.68,-7.13,10.98,-17.91,2.09,-20.81,-13.94,5.31,13.82,40.02,8.35,10.96,10.96,53.64,17.49,9.32,9.32
24,Minority Interest in Earnings,-,-0.04,0.04,-0.72,0.82,-,-,-,-,-,-,-,-,-,-,-,-,-,-
