,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Mar '21 Mar 31, 2021"
0,Operating Revenue,640.26,586.24,586.24,594.93,349.58
1,Other Revenue,29.47,47.45,47.45,91.87,0.04
2,Revenue,669.74,633.69,633.69,686.8,349.62
3,Revenue Growth (YoY),91.56%,-,-,-,-
4,Cost of Revenue,590.49,557.06,557.06,594.97,284.16
5,Gross Profit,79.24,76.63,76.63,91.84,65.46
6,"Selling, General & Admin",12.52,14.89,14.89,13.78,12.72
7,Research & Development,20.4,22.47,22.47,15.49,13.06
8,Other Operating Expenses,2.47,-2.59,-2.59,1.94,1.14
9,Operating Expenses,35.28,35.23,35.23,30.32,27.7
10,Operating Income,43.96,41.4,41.4,61.52,37.76
11,Interest Expense,-5.95,-6.95,-6.95,-6.1,-1.15
12,Interest & Investment Income,0.83,1.32,1.32,0.64,0.34
13,Currency Exchange Gain (Loss),0.53,0.65,0.65,-1.41,-0.53
14,Other Non Operating Income (Expenses),-0.3,-0.08,-0.08,-0.65,-0.16
15,EBT Excluding Unusual Items,39.06,36.34,36.34,54,36.25
16,Gain (Loss) on Sale of Assets,0.07,-1.81,-1.81,-0.08,-0.06
17,Asset Writedown,-0.02,-0,-0,-0,-
18,Other Unusual Items,5.33,-,-,5.04,1.24
19,Pretax Income,44.45,34.53,34.53,58.95,37.43
20,Income Tax Expense,3.49,1.74,1.74,6.02,4.02
21,Net Income,40.96,32.79,32.79,52.93,33.41
22,Net Income to Common,40.96,32.79,32.79,52.93,33.41
23,Net Income Growth,22.62%,-,-,-,-
24,Shares Outstanding (Basic),194,199,199,195,197
25,Shares Outstanding (Diluted),194,199,199,195,197
26,Shares Change (YoY),-1.04%,-,-,-,-
27,EPS (Basic),0.21,0.17,0.17,0.27,0.17
28,EPS (Diluted),0.21,0.17,0.17,0.27,0.17
29,EPS Growth,23.91%,-,-,-,-
30,Free Cash Flow,-61.38,67.72,67.72,27.03,-28.03
31,Free Cash Flow Per Share,-0.32,0.34,0.34,0.14,-0.14
32,Gross Margin,11.83%,12.09%,12.09%,13.37%,18.72%
33,Operating Margin,6.56%,6.53%,6.53%,8.96%,10.80%
34,Profit Margin,6.12%,5.17%,5.17%,7.71%,9.56%
35,Free Cash Flow Margin,-9.16%,10.69%,10.69%,3.94%,-8.02%
36,EBITDA,58.83,56.12,56.12,75.27,46.82
37,EBITDA Margin,8.78%,8.86%,8.86%,10.96%,13.39%
38,D&A For EBITDA,14.87,14.72,14.72,13.75,9.06
39,EBIT,43.96,41.4,41.4,61.52,37.76
40,EBIT Margin,6.56%,6.53%,6.53%,8.96%,10.80%
41,Effective Tax Rate,7.85%,5.04%,5.04%,10.22%,10.75%
42,Revenue as Reported,1937,-,-,686.8,349.62
43,Advertising Expenses,-,-,-,-,0.13
