,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q1 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,86.97,217.49,217.49,378.99,95.92
1,Cash & Short-Term Investments,86.97,217.49,217.49,378.99,95.92
2,Cash Growth,-9.33%,-,-,-,-
3,Accounts Receivable,774.93,707.03,707.03,678.75,555.28
4,Other Receivables,7.32,7.9,7.9,8.31,33.23
5,Receivables,782.24,714.93,714.93,687.06,588.51
6,Inventory,1340,1382,1382,1215,532.45
7,Other Current Assets,48.96,35.63,35.63,66.7,13.22
8,Total Current Assets,2258,2350,2350,2348,1230
9,"Property, Plant & Equipment",580.06,574.61,574.61,562.01,410.63
10,Long-Term Investments,2,2,2,2,2
11,Other Intangible Assets,35.43,35.22,35.22,36.1,36.25
12,Long-Term Deferred Tax Assets,21.38,21.2,21.2,20.65,4.08
13,Long-Term Deferred Charges,12.4,12.12,12.12,11.96,6.07
14,Other Long-Term Assets,2.17,5.47,5.47,12.44,18.26
15,Total Assets,2911,3000,3000,2993,1707
16,Accounts Payable,379.84,459.02,459.02,699.01,627.73
17,Accrued Expenses,55.75,54.05,54.05,16.29,10.86
18,Short-Term Debt,378.73,459.32,459.32,300.13,95.16
19,Current Portion of Long-Term Debt,140.22,8.79,8.79,476.32,72.25
20,Current Portion of Leases,4.83,4.73,4.73,4.29,16.26
21,Current Income Taxes Payable,0.63,-,-,6.02,3.82
22,Current Unearned Revenue,292.79,280.42,280.42,160.06,53.23
23,Other Current Liabilities,51.23,32.37,32.37,6.07,5.93
24,Total Current Liabilities,1304,1299,1299,1668,885.24
25,Long-Term Debt,161.03,298,298,-,-
26,Long-Term Leases,20.07,21.13,21.13,23.85,33.1
27,Long-Term Unearned Revenue,122.52,119.87,119.87,103.44,95.62
28,Long-Term Deferred Tax Liabilities,3.51,3.67,3.67,4.05,-
29,Total Liabilities,1611,1741,1741,1800,1014
30,Common Stock,198.21,198.21,198.21,198.21,198.21
31,Additional Paid-In Capital,259,258.84,258.84,258.75,256.32
32,Retained Earnings,842.99,802.03,802.03,736.46,238.87
33,Comprehensive Income & Other,-0.05,-0.15,-0.15,-0.08,0.02
34,Shareholders' Equity,1300,1259,1259,1193,693.43
35,Total Liabilities & Equity,2911,3000,3000,2993,1707
36,Total Debt,704.87,791.99,791.99,804.58,216.77
37,Net Cash (Debt),-617.9,-574.5,-574.5,-425.59,-120.85
38,Net Cash Per Share,-3.18,-2.89,-2.89,-2.18,-0.61
39,Filing Date Shares Outstanding,198.21,198.21,198.21,198.21,198.21
40,Total Common Shares Outstanding,198.21,198.21,198.21,198.21,198.21
41,Working Capital,953.83,1051,1051,679.5,344.86
42,Book Value Per Share,6.56,6.35,6.35,6.02,3.50
43,Tangible Book Value,1265,1224,1224,1157,657.18
44,Tangible Book Value Per Share,6.38,6.17,6.17,5.84,3.32
45,Buildings,226.26,226.26,226.26,226.26,162.59
46,Machinery,551.13,539.94,539.94,534.95,307.02
47,Construction In Progress,90.05,81.18,81.18,50.34,102.94
