,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Mar '21 Mar 31, 2021"
0,Debt / Equity Ratio,0.54,0.54,0.63,0.63,0.67,0.31
1,Debt / EBITDA Ratio,2.80,2.93,3.45,3.45,2.63,1.16
2,Debt / FCF Ratio,6.97,-,5.89,11.87,-800.06,-
3,Asset Turnover,0.91,0.84,0.85,-,-,
4,Inventory Turnover,-,1.74,1.61,1.72,-,-
5,Quick Ratio,0.67,0.67,0.72,0.72,0.64,0.77
6,Current Ratio,1.73,1.73,1.81,1.81,1.41,1.39
7,Return on Equity (ROE),12.81%,10.42%,10.70%,-,-,
8,Return on Assets (ROA),3.72%,3.45%,3.45%,-,-,
9,Return on Capital (ROIC),5.42%,5.05%,5.11%,-,-,
10,Return on Capital Employed (ROCE),11.71%,11.71%,10.70%,8.27%,7.49%,4.59%
11,Payout Ratio,18.21%,13.86%,22.29%,22.29%,16.53%,6.07%
12,Buyback Yield / Dilution,0.56%,1.04%,-,-,-,-
13,Total Shareholder Return,0.95%,1.04%,-,-,-,-
