,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019,+2 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019",+2 Quarters
0,Market Capitalization,210,251,339,383,361,449,449,828,872,1230,1394,Upgrade
1,Market Cap Growth,-34.48%,-34.48%,-6.10%,-14.71%,-19.61%,-45.74%,-48.48%,-32.70%,-37.46%,65.13%,80.82%,Upgrade
2,Enterprise Value,-301,-274,-143,-68,-38,-92,-149,189,328,698,880,Upgrade
3,Last Close Price,0.24,0.28,0.39,0.43,0.41,0.51,0.51,0.92,0.97,1.37,1.56,Upgrade
4,PS Ratio,0.26,0.31,0.41,0.46,0.44,0.55,0.54,1.02,1.06,1.19,1.10,Upgrade
5,PB Ratio,0.13,0.15,0.20,0.23,0.21,0.26,0.24,0.43,0.44,0.63,0.70,Upgrade
6,P/TBV Ratio,0.15,0.15,0.20,0.23,0.21,0.26,0.24,0.43,0.44,0.63,0.70,Upgrade
7,P/FCF Ratio,25.26,30.13,-,-,-,-,-,28.05,27.28,15.03,17.38,Upgrade
8,P/OCF Ratio,10.19,10.19,27.78,-,-4.51,-,-,17.44,17.47,10.88,12.52,Upgrade
9,EV/Sales Ratio,-,-,-,-,-,-,-,0.23,0.40,0.68,0.70,Upgrade
10,EV/EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,16.66,Upgrade
11,EV/FCF Ratio,-36.12,-,-,-,-,-,-,6.41,10.26,8.54,10.98,Upgrade
12,Debt / Equity Ratio,0.01,0.01,0.01,0.02,0.02,0.01,0.01,0.01,0.01,0.02,0.02,Upgrade
13,Debt / FCF Ratio,2.42,2.42,-,-,-,-,-,0.85,0.90,0.37,0.56,Upgrade
14,Earnings Yield,-25.28%,-21.20%,-14.47%,-18.83%,-38.44%,-41.41%,-31.13%,-10.00%,-9.28%,-6.20%,-1.63%,Upgrade
15,FCF Yield,3.96%,3.32%,-1.21%,-0.96%,-27.62%,-46.41%,-21.99%,3.57%,3.67%,6.65%,5.75%,Upgrade
16,Buyback Yield / Dilution,-,-,-,-,-,-0.02%,-0.27%,-1.36%,-1.39%,-0.29%,Upgrade,
17,Total Shareholder Return,-,-,-,-,-,-0.02%,-0.27%,-1.36%,-1.39%,-0.29%,Upgrade,
