,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,1211080,1046680,835700,915160,865840,843920,813780,789120,676780,695960,734320,706920,1326160,1476860,871320,843920,1041200,849400,767200,794600,1335600,Upgrade
1,Market Cap Growth,24.03%,24.03%,2.69%,15.97%,27.94%,21.26%,10.82%,11.63%,-48.97%,-52.88%,-15.72%,-16.23%,27.37%,73.87%,13.57%,6.21%,-22.04%,-41.12%,-50.29%,-46.10%,-15.54%,Upgrade
2,Enterprise Value,3638175,3499894,3350747,3519513,3519023,3549562,3575059,3626586,3514246,3602964,3571045,3753734,4310606,4510214,3824114,3709566,3859480,3596807,3465108,3491649,4017614,Upgrade
3,Last Close Price,22100.00,19100.00,15250.00,16700.00,15800.00,15400.00,14850.00,14400.00,12350.00,12700.00,13400.00,12900.00,24200.00,26950.00,15900.00,14529.94,17926.55,14624.29,12189.69,12625.04,17286.70,Upgrade
4,PE Ratio,11.35,9.81,8.02,12.01,9.30,11.45,12.57,9.44,8.91,7.84,21.05,161.70,-148.52,-,-,14.24,10.87,9.86,7.88,7.89,18.38,Upgrade
5,Forward PE,-,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,7.38,Upgrade
6,PS Ratio,1.08,0.94,0.80,0.96,0.97,1.04,1.10,0.98,0.80,0.78,0.74,0.85,1.68,1.95,0.94,0.84,1.09,0.93,1.14,1.12,1.76,Upgrade
7,PB Ratio,0.93,0.68,0.56,0.62,0.60,0.60,0.58,0.57,0.50,0.52,0.55,0.54,1.04,1.18,0.68,0.65,0.77,0.63,0.56,0.60,0.91,Upgrade
8,P/FCF Ratio,8.56,-,4.14,4.36,3.82,4.32,2.00,2.60,4.08,5.63,-,-,-,-10.73,-,-,-,-4.30,-,-,-,Upgrade
