,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,331387,273430,256511,257338,255801,178805,203029,176754,182524,242395,247224,221820,281062,81597,202661,193532,446847,157732,157513,152774,Upgrade
1,Revenue Growth (YoY),29.55%,52.92%,26.34%,45.59%,40.15%,-26.23%,-17.88%,-20.32%,-35.06%,197.06%,21.99%,14.62%,-37.10%,-48.27%,28.66%,26.68%,117.03%,-17.98%,-24.45%,-19.56%,Upgrade
2,Cost of Revenue,219060,168422,159275,145540,147577,86951,77635,91350,96805,117038,134545,109761,201250,60980,117540,110620,358390,83903,118028,74576,Upgrade
3,Gross Profit,112327,105007,97236,111798,108224,91854,125394,85404,85720,125357,112679,112059,79812,20617,85122,82912,88457,73830,39485,78198,Upgrade
4,"Selling, General & Admin",31384,27052,24254,26313,27172,22252,26493,20628,19896,29017,24135,27243,25343,12544,19570,21027,24892,16876,12160,21454,Upgrade
5,Operating Expenses,31384,27052,24254,26313,27172,22252,26493,20628,19896,29017,24135,27243,25343,12544,19570,21027,24892,16876,12160,21454,Upgrade
6,Operating Income,80943,77955,72982,85485,81052,69602,98901,64776,65824,96341,88544,84816,54469,8073,65551,61884,63565,56954,27325,56743,Upgrade
7,Interest Expense,-50401,-38551,-46849,-50172,-61339,-49926,-56536,-54964,-79532,-30680,-65525,-45902,-98967,-14249,-45049,-36741,-49647,-43288,-44932,-39070,Upgrade
8,Interest & Investment Income,196.79,149.3,121.64,376.39,-,1881,-,1023,111.74,46.59,185.7,281.83,-,4315,3120,-,2974,8400,2071,967.06,Upgrade
