,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Cash & Equivalents,51.49,51.49,-,-
1,Short-Term Investments,3.18,3.18,-,-
2,Cash & Short-Term Investments,54.67,54.67,-,21.93
3,Accounts Receivable,647.46,647.46,-,-
4,Other Receivables,16.92,16.92,-,-
5,Receivables,664.38,664.38,-,-
6,Inventory,10.42,10.42,-,-
7,Other Current Assets,259.43,259.43,-,-
8,Total Current Assets,988.89,988.89,-,-
9,"Property, Plant & Equipment",104.55,104.55,-,-
10,Long-Term Investments,27.2,27.2,-,-
11,Goodwill,39.17,39.17,-,-
12,Other Intangible Assets,142.05,142.05,-,-
13,Long-Term Deferred Tax Assets,25.29,25.29,-,-
14,Other Long-Term Assets,307.13,307.13,-,-
15,Total Assets,1634.0,1634.0,-,-
16,Accounts Payable,12.21,12.21,-,-
17,Accrued Expenses,10.37,10.37,-,-
18,Current Portion of Long-Term Debt,606.29,606.29,-,-
19,Current Portion of Leases,9.26,9.26,-,-
20,Current Income Taxes Payable,4.24,4.24,-,-
21,Current Unearned Revenue,47.69,47.69,-,-
22,Other Current Liabilities,1499.0,1499.0,-,-
23,Total Current Liabilities,2189.0,2189.0,-,-
24,Long-Term Debt,10.0,10.0,-,-
25,Long-Term Leases,11.12,11.12,-,-
26,Long-Term Unearned Revenue,1.93,1.93,-,-
27,Long-Term Deferred Tax Liabilities,2.61,2.61,-,-
28,Total Liabilities,2215.0,2215.0,-,-
29,Common Stock,31.06,31.06,-,-
30,Retained Earnings,-624.11,-624.11,-,-
31,Comprehensive Income & Other,-11.62,-11.62,-,-
32,Total Common Equity,-604.67,-604.67,-,19.94
33,Minority Interest,24.39,24.39,-,-
34,Shareholders' Equity,-580.28,-580.28,-,34.64
35,Total Liabilities & Equity,1634.0,1634.0,-,-
36,Total Debt,636.67,636.67,-,234.37
37,Net Cash (Debt),-582.0,-582.0,-,-212.44
38,Net Cash Per Share,-33.78,-33.78,-,-12.35
39,Filing Date Shares Outstanding,17.23,17.23,17.2,17.2
40,Total Common Shares Outstanding,17.23,17.23,17.2,17.2
41,Working Capital,-1200.0,-1200.0,-,-
42,Book Value Per Share,-35.09,-35.09,-,1.16
43,Tangible Book Value,-785.88,-785.88,-,-130.18
44,Tangible Book Value Per Share,-45.61,-45.61,-,-7.57
