,Fiscal Quarter,Q2 2024,Q1 2024,Q2 2023,Q1 2023
,Period Ending,"Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023"
0,Revenue,185.59,185.59,140.42,140.42
1,Cost of Revenue,100.49,100.49,68.14,68.14
2,Gross Profit,85.1,85.1,72.29,72.29
3,"Selling, General & Admin",24.7,24.7,19.99,19.99
4,Research & Development,32.17,32.17,25.36,25.36
5,Other Operating Expenses,-2.87,-2.87,-8.92,-8.92
6,Operating Expenses,59.84,59.84,36.84,36.84
7,Operating Income,25.26,25.26,35.45,35.45
8,Interest Expense,-3.89,-3.89,-2.67,-2.67
9,Interest & Investment Income,0.01,0.01,0.01,0.01
10,Earnings From Equity Investments,-0.01,-0.01,-0.1,-0.1
11,Other Non Operating Income (Expenses),-316.41,-316.41,-34.44,-34.44
12,EBT Excluding Unusual Items,-295.04,-295.04,-1.76,-1.76
13,Gain (Loss) on Sale of Investments,-1.15,-1.15,4.22,4.22
14,Gain (Loss) on Sale of Assets,0,0,0.02,0.02
15,Pretax Income,-296.18,-296.18,2.48,2.48
16,Income Tax Expense,-1.3,-1.3,1.52,1.52
17,Earnings From Continuing Operations,-294.89,-294.89,0.95,0.95
18,Minority Interest in Earnings,-1.57,-1.57,-1.67,-1.67
19,Net Income,-296.45,-296.45,-0.71,-0.71
20,Preferred Dividends & Other Adjustments,-132,-132,-0.28,-0.28
21,Net Income to Common,-164.46,-164.46,-0.43,-0.43
22,Shares Outstanding (Basic),17,17,17,17
23,Shares Outstanding (Diluted),17,17,17,17
24,EPS (Basic),-9.54,-9.54,-0.03,-0.03
25,EPS (Diluted),-9.54,-9.54,-0.03,-0.03
26,Free Cash Flow,-122.7,-122.7,-85.17,-85.17
27,Free Cash Flow Per Share,-7.12,-7.12,-4.95,-4.95
28,Gross Margin,45.85%,45.85%,51.48%,51.48%
29,Operating Margin,13.61%,13.61%,25.24%,25.24%
30,Profit Margin,-88.61%,-88.61%,-0.31%,-0.31%
31,Free Cash Flow Margin,-66.12%,-66.12%,-60.65%,-60.65%
32,EBITDA,39.44,39.44,41.88,41.88
33,EBITDA Margin,21.25%,21.25%,29.82%,29.82%
34,D&A For EBITDA,14.18,14.18,6.43,6.43
35,EBIT,25.26,25.26,35.45,35.45
36,EBIT Margin,13.61%,13.61%,25.24%,25.24%
37,Effective Tax Rate,-,-,61.49%,61.49%
