,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,142.74,81.13,106.32,81.61,102.17,68.72,107.33,86.64,95.09,90.04,97.39,61.99,94.1,52.71,73.94,112.08,155.85,149.44,368.41,368.41
1,Other Revenue,-,-0.08,0.08,-,5.04,-0.32,0.32,-,0.67,-0.26,0.26,-,0.74,-0.31,0.31,-,-,-,-,-
2,Revenue,142.74,81.05,106.4,81.61,107.21,68.4,107.65,86.64,95.77,89.78,97.64,61.99,94.84,52.41,74.25,112.08,155.85,149.44,368.41,368.41
3,Revenue Growth (YoY),33.14%,18.50%,-1.16%,-5.80%,11.95%,-23.82%,10.25%,39.76%,0.98%,71.33%,31.50%,-44.69%,-39.14%,-64.93%,-79.85%,-69.58%,-,-,-,-
4,Cost of Revenue,-185.68,52.44,74.83,58.41,75.3,42.62,83.3,66.44,66.58,65.96,78.18,43.44,87.7,27.22,42.92,61.48,82.7,68.52,160.68,160.68
5,Gross Profit,328.42,28.62,31.57,23.2,31.91,25.78,24.35,20.2,29.19,23.82,19.46,18.55,7.14,25.19,31.33,50.6,73.15,80.92,207.73,207.73
6,"Selling, General & Admin",-31.24,11.75,9.94,9.55,14.02,11.58,10.45,9.66,11.9,9.43,9.71,8.62,13.43,11.62,8.69,8.67,23.66,10.26,91.67,91.67
7,Research & Development,-26.34,9.76,8.31,8.27,10.78,8.74,11,8.49,10.58,8.43,8.02,6.67,11.21,6.18,6.01,7.9,11.65,5.28,12.46,12.46
8,Other Operating Expenses,354.56,-3.14,1.38,-0.17,3.53,0.24,0.23,-0.47,34.47,-22.46,0.51,-9.71,10.6,0.59,0.47,-8.46,6.83,1.12,0.55,0.55
