,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,363.48,467.21,570.66,614.29,503.34,583.93,647,655.85,600.49,587.51,697.15,634.93,149.37,262.76,-,330.55,-,318.01,318.01
1,Short-Term Investments,-,-,150.36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2,Trading Asset Securities,-,806.2,744.99,645.74,613.8,740.33,689.6,686.95,712.57,904.29,908.64,807.49,845.47,320.92,220.69,-,180.15,-,140.06,140.06
3,Cash & Short-Term Investments,1170,1170,1363,1216,1228,1244,1274,1334,1368,1505,1496,1505,1480,470.29,483.45,510.7,510.7,458.06,458.06,458.06
4,Cash Growth,-4.76%,-5.95%,6.99%,-8.81%,-10.26%,-17.35%,-14.88%,-11.34%,-7.56%,219.97%,209.47%,194.63%,189.88%,2.67%,5.54%,11.49%,-,-,-,-
5,Accounts Receivable,-,120.1,122.55,116.54,140.86,114.06,142.91,125.06,134.12,122.26,124.54,107.29,129.76,117.47,125.63,-,100.04,-,119.79,119.79
6,Other Receivables,-,0.54,2.77,0.39,2.39,0.65,1.13,0.35,0.75,0.27,0.26,0.19,2.83,0.37,0.26,-,0.17,-,0.29,0.29
7,Receivables,-,120.63,125.32,116.93,143.25,114.71,144.05,125.41,134.87,122.53,124.8,107.48,132.59,117.83,125.88,-,100.21,-,120.08,120.08
8,Inventory,-,153.9,144.12,134.72,134.51,160.38,162.55,166.49,167.54,165.68,151.06,141.42,132.84,133.23,135.73,-,161.01,-,243.96,243.96
9,Prepaid Expenses,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,-,-,-,-,-
10,Other Current Assets,-,177.83,1.35,15.66,31.01,4.17,1.63,2.15,1.9,1.84,1.05,9.68,7.01,10.39,6.56,-,4.44,-,4.32,4.32
11,Total Current Assets,-,1622,1633,1484,1537,1523,1582,1628,1673,1795,1773,1763,1753,731.75,751.64,-,776.36,-,826.42,826.42
12,"Property, Plant & Equipment",-,723.87,662.75,529.69,518.46,469.73,435.37,394.67,371.97,337.44,323.32,316.19,319.15,292.67,257.02,-,234.68,-,210.49,210.49
13,Long-Term Investments,-,4.46,4.46,142.93,152.51,151.32,139.68,138.47,137.38,4.36,4.37,4.37,4.3,4.29,4.28,-,4.23,-,4.23,4.23
14,Other Intangible Assets,-,97.54,98.75,99.54,100.55,99.34,100.26,100.87,101.33,101.17,101.25,101.98,102.72,102.46,103.04,-,102.6,-,8.18,8.18
15,Long-Term Deferred Tax Assets,-,12.53,12.29,11.98,12.41,11.94,15.05,14.17,14.21,12.13,11.91,11.44,11.42,8.72,8.7,-,7.78,-,1.93,1.93
16,Long-Term Deferred Charges,-,39.26,35.41,28.5,28.21,24.67,12.09,12.19,10.1,11.01,11.6,11.66,10.82,10.25,9.16,-,10.02,-,7.15,7.15
17,Other Long-Term Assets,-,3,3,1.79,1.32,6.55,13.8,7.65,9.92,10.47,4.19,-,0.49,9.15,9.91,-,4.23,-,16.4,16.4
18,Total Assets,-,2503,2450,2298,2350,2286,2298,2296,2318,2271,2230,2209,2202,1159,1144,-,1140,-,1075,1075
19,Accounts Payable,-,315.24,278.57,129.37,57.01,144.82,148,129.42,83.85,128.18,75.33,98.34,56.43,68.58,33.51,-,62.31,-,185.85,185.85
20,Accrued Expenses,-,9.67,11.32,9.73,26.2,8.11,13.16,9.33,26.43,9.44,19.41,8.04,20.27,7.28,12.41,-,20.47,-,12.44,12.44
21,Short-Term Debt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.19,-,25.19,-,-,-
22,Current Income Taxes Payable,-,2.3,2.62,1.03,1.78,7.63,2.73,8.3,9.15,16.49,6.37,7.64,3.96,2.51,1.34,-,27.17,-,26.72,26.72
23,Current Unearned Revenue,-,1.04,0.96,0.59,0.14,1.48,0.07,0.12,0.24,0.28,1.13,0.28,0.1,0.17,0.22,-,0.15,-,0.2,0.2
24,Other Current Liabilities,-,3.69,3.62,1.92,126.17,3.03,2.5,2.49,64.66,3.44,50.39,2.42,50.34,6.9,11.61,-,7.45,-,2.46,2.46
25,Total Current Liabilities,-,331.94,297.09,142.64,211.3,165.07,166.46,149.66,184.33,157.83,152.63,116.72,131.1,85.44,84.27,-,142.72,-,227.67,227.67
26,Long-Term Unearned Revenue,-,4.12,4.25,4.39,3.62,2.75,22.88,23.01,23.14,23.28,23.41,23.54,23.67,23.73,23.87,-,24.2,-,4.46,4.46
27,Total Liabilities,-,336.07,301.34,147.02,214.91,167.82,189.34,172.67,207.47,181.1,176.04,140.26,154.77,109.17,108.14,-,166.92,-,232.13,232.13
28,Common Stock,-,400,400,400,400,400,400,400,400,400,400,400,400,300,300,-,300,-,300,300
