,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,12020,7152,6040,5296,6752,7112,8836,10092,6648,4592,4704,5892,6080,9652,-,-,-,-,-,-,-
1,Market Cap Growth,0.56%,0.56%,-31.64%,-47.52%,1.56%,54.88%,87.84%,71.28%,9.34%,-52.42%,-,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,10849,5981,4676,4078,5510,5870,7566,8762,5147,3091,3212,4387,5610,9182,-,-,-,-,-,-,-
3,Last Close Price,30.05,17.88,15.10,13.24,16.81,17.71,22.00,25.13,16.51,11.40,11.68,14.63,15.00,23.81,-,-,-,-,-,-,-
4,PE Ratio,214.64,128.42,90.11,89.34,132.08,152.18,191.24,140.60,94.56,58.42,59.28,99.16,88.97,110.31,-,-,-,-,-,-,-
5,PS Ratio,29.03,17.37,16.05,14.56,18.51,19.23,24.65,26.57,17.98,13.30,13.66,19.20,21.45,28.93,-,-,-,-,-,-,-
6,PB Ratio,5.54,3.30,2.79,2.46,3.14,3.33,4.17,4.79,3.13,2.18,2.25,2.87,2.94,4.72,-,-,-,-,-,-,-
7,P/TBV Ratio,3.45,3.45,2.92,2.58,3.29,3.49,4.38,5.03,3.29,2.29,2.37,3.02,3.09,4.96,-,-,-,-,-,-,-
8,P/FCF Ratio,-,-,-,-106.11,-,-74.89,-,-,-,-,-,84.90,95.26,607.18,-,-,-,-,-,-,-
9,P/OCF Ratio,-,-,48.81,44.34,87.70,213.19,240.33,194.12,-,49.08,38.61,54.99,56.17,135.12,-,-,-,-,-,-,-
10,EV/Sales Ratio,26.34,14.52,12.43,11.22,15.10,15.87,21.11,23.07,13.92,8.95,9.33,14.30,19.79,27.52,-,-,-,-,-,-,-
11,EV/EBITDA Ratio,120.06,65.24,76.04,69.57,115.34,134.12,562.59,250.08,153.26,-,73.28,242.74,166.53,-,-,-,-,-,-,-,-
12,EV/EBIT Ratio,183.34,101.07,161.22,155.40,348.84,493.29,-413.24,1942.41,1392.20,-,195.83,-,614.75,-,-,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,-,-81.71,-,-61.82,-,-,-,-,-,63.22,87.89,577.59,-,-,-,-,-,-,-
14,Debt / Equity Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.02,0.03,0.03,-,-,-
15,Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.27,0.13,0.17,-,-,-
16,Debt / FCF Ratio,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2.24,-,-,-,-,-
17,Asset Turnover,-,0.13,0.18,0.14,0.18,0.12,0.19,0.15,0.17,0.16,0.18,0.11,0.23,0.18,-,-,-,-,1.37,-,
18,Inventory Turnover,-,-,1.41,2.15,1.74,2.04,1.06,2.03,1.59,1.60,1.67,2.14,1.27,2.64,0.81,-,-,-,-,2.63,-
19,Quick Ratio,-,-,3.89,5.01,9.35,6.49,8.23,8.52,9.75,8.16,10.31,10.62,13.81,12.30,6.88,7.23,-,4.28,-,2.54,2.54
20,Current Ratio,-,-,4.89,5.50,10.40,7.27,9.23,9.50,10.88,9.07,11.37,11.62,15.11,13.37,8.56,8.92,-,5.44,-,3.63,3.63
21,Return on Equity (ROE),1.50%,2.78%,3.53%,2.54%,2.76%,1.31%,1.96%,1.90%,3.09%,6.47%,1.93%,3.59%,4.44%,5.28%,7.52%,15.48%,10.40%,44.19%,35.51%,-,
22,Return on Assets (ROA),-,1.08%,1.13%,0.79%,0.02%,0.86%,0.03%,0.37%,-3.27%,3.42%,-0.06%,1.60%,-4.16%,1.34%,-,-,-,-,24.12%,-,
23,Return on Capital (ROIC),3.51%,1.24%,1.25%,0.85%,0.03%,0.94%,0.04%,0.41%,-3.57%,3.71%,-0.06%,1.71%,-4.51%,1.46%,4.08%,10.57%,8.35%,19.71%,30.76%,-,
24,Return on Capital Employed (ROCE),-,-,1.34%,1.22%,0.73%,0.56%,-0.86%,0.21%,0.17%,-,0.78%,-,0.44%,-,8.93%,14.74%,-,30.54%,-,24.48%,12.24%
25,Earnings Yield,0.46%,0.78%,1.11%,1.12%,0.76%,0.66%,0.52%,0.71%,1.06%,1.71%,1.69%,1.01%,1.12%,0.91%,-,-,-,-,-,-,-
26,FCF Yield,-,-0.93%,-0.94%,-1.52%,-1.34%,-1.28%,-0.89%,-0.60%,0.30%,1.25%,1.18%,1.05%,0.16%,-,-,-,-,-,-,-,
27,Dividend Yield,0.19%,-,-,-,-,0.33%,-,-,-,0.61%,-,-,-,0.34%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,119.94%,-,-,-,244.81%,-,-,-,321.00%,-,-,3.88%,-,0.59%,0.94%,0.13%,160.54%,160.54%
29,Buyback Yield / Dilution,-2.14%,-54.18%,3.47%,24.84%,-7.28%,30.43%,-16.34%,-18.52%,8.16%,-22.14%,-9.47%,-45.11%,-27.67%,-11.76%,-7.07%,-2.09%,3.20%,-,-,-,-
30,Total Shareholder Return,-1.95%,-54.18%,3.47%,24.84%,-7.28%,30.76%,-16.34%,-18.52%,8.16%,-21.52%,-9.47%,-45.11%,-27.67%,-11.42%,-7.07%,-2.09%,3.20%,-,-,-,-
