,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,181549,164919,176006,177392,164919,189864,160761,178777,185707,184321,210652,133045,151187,154967,116414,123218,136068,140604,128509,184448,104319,Upgrade
1,Market Cap Growth,-13.14%,-13.14%,9.48%,-0.78%,-11.19%,3.01%,-23.68%,34.37%,22.83%,18.94%,80.95%,7.98%,11.11%,10.22%,-9.41%,-33.20%,30.43%,12.73%,14.09%,15.09%,-35.21%,Upgrade
2,Enterprise Value,190825,155083,166170,167094,154534,177397,148855,166182,171117,169037,194767,113811,138389,147281,108632,54364,67215,71751,-40123,49861,-45035,Upgrade
3,Last Close Price,13100.00,11900.00,12700.00,12800.00,11900.00,13700.00,11600.00,12611.19,13100.00,13002.24,14859.70,15641.79,17774.76,18219.13,13686.57,14486.43,15997.29,16171.17,14468.94,20767.19,11745.38,Upgrade
4,PE Ratio,101.59,80.71,138.16,203.58,181.93,163.57,36.21,32.94,28.24,23.29,15.81,9.58,8.81,9.08,7.69,8.19,8.87,9.46,8.59,13.21,10.49,Upgrade
5,PS Ratio,12.15,10.31,9.95,10.75,10.00,13.97,5.48,4.63,2.98,2.26,2.27,1.33,1.23,1.27,0.68,0.73,0.87,0.97,1.00,1.46,0.97,Upgrade
6,PB Ratio,0.63,0.57,0.61,0.62,0.57,0.66,0.56,0.62,0.63,0.63,-,0.46,0.52,0.54,0.42,0.44,0.48,0.49,0.46,0.67,0.37,Upgrade
7,P/TBV Ratio,0.59,0.59,0.63,0.64,0.59,0.68,0.58,0.64,0.65,0.65,-,0.48,0.54,0.56,0.43,0.46,0.50,0.52,0.48,0.70,0.38,Upgrade
8,P/FCF Ratio,-,-,-,-,79.77,-165.45,-53.65,-,-,-,-,-,12.67,-24.94,-,-,-,-,-,9.91,-,Upgrade
9,P/OCF Ratio,-,-,-,-,79.77,-165.45,-53.65,-,-,-,-,-,12.67,-24.94,-,-,-,-,-,9.91,-,Upgrade
10,EV/Sales Ratio,12.77,9.69,9.40,10.13,9.37,13.05,5.08,4.30,2.75,2.08,2.10,1.14,1.12,1.21,0.63,0.32,0.43,0.50,-,0.39,-,Upgrade
11,EV/EBIT Ratio,-,329.70,-344.61,-,-,-,-,-,21.48,16.76,19.06,9.97,10.04,10.83,7.95,4.37,5.76,7.62,-,4.36,-,Upgrade
12,EV/FCF Ratio,-,-,-,-,74.75,-154.59,-49.68,-,-,-,-,-,11.60,-23.71,-,-,-,-,-,2.68,-,Upgrade
13,Debt / Equity Ratio,-,0.05,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Upgrade
14,Asset Turnover,0.04,0.03,0.02,0.04,0.05,0.02,0.02,0.02,-,-,0.20,0.16,0.23,0.13,-,-,0.48,0.08,0.21,0.05,Upgrade,
15,Inventory Turnover,0.08,0.08,0.06,0.05,0.17,0.21,0.04,0.04,0.03,-,-,0.61,0.46,0.64,0.32,-,-,1.14,0.14,0.36,0.09,Upgrade
16,Quick Ratio,1.12,1.12,1.12,1.19,1.20,1.19,1.16,1.15,1.19,1.19,-,1.04,0.96,0.79,0.69,0.65,-,0.63,0.57,0.57,0.52,Upgrade
17,Current Ratio,1.71,1.71,1.71,1.65,1.66,1.66,1.64,1.63,1.69,1.68,-,1.57,1.52,1.43,1.35,1.32,-,1.28,1.28,1.28,1.31,Upgrade
18,Return on Equity (ROE),1.19%,0.84%,0.57%,0.24%,0.12%,0.28%,0.61%,0.59%,-,-,2.21%,2.45%,12.39%,2.51%,-,2.33%,9.74%,2.38%,7.38%,1.75%,Upgrade,
19,Return on Assets (ROA),0.43%,0.14%,-0.19%,-0.15%,-0.06%,-0.06%,-0.14%,0.06%,-,-,1.37%,1.03%,1.80%,0.94%,-,-,1.52%,0.35%,1.55%,-0.07%,Upgrade,
20,Return on Capital (ROIC),0.72%,0.24%,-0.32%,-0.24%,-0.09%,-0.09%,-0.23%,0.10%,-,-,2.43%,1.94%,3.65%,2.00%,-,1.80%,3.73%,0.91%,3.93%,-0.19%,Upgrade,
21,Return on Capital Employed (ROCE),-,0.16%,-0.16%,-,-,-,-,-,2.72%,3.45%,-,3.97%,4.76%,4.73%,4.89%,4.49%,-,3.31%,4.56%,4.13%,-,Upgrade
22,Earnings Yield,0.98%,1.24%,0.72%,0.49%,0.55%,0.61%,2.76%,3.04%,3.54%,4.29%,6.33%,10.44%,11.36%,11.01%,13.00%,12.21%,11.27%,10.57%,11.65%,7.57%,9.53%,Upgrade
23,FCF Yield,-10.03%,-10.03%,-3.56%,1.47%,1.25%,-0.60%,-1.86%,-2.50%,-3.93%,-,5.73%,6.08%,7.89%,-4.01%,-25.98%,-,-66.39%,-67.37%,-63.17%,10.09%,-7.02%,Upgrade
24,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,2.31%,-,-,-,-,-,-,-,-,-,1.75%,-,Upgrade
25,Payout Ratio,0.00%,-,-,-,-,4638.18%,-,-,-,-,-,-,-,57.40%,-,-,-,73.54%,-,97.34%,-,Upgrade
26,Total Shareholder Return,-,-,-,-,-,-,-,-,2.31%,-,-,-,-,-,-,-,-,-,1.75%,-,Upgrade,
