,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,5586,5586,6957,7373,6552,8703,7762,8593,10917,-,11846,15155,8684,3335,4683,-,14517,6739,78868,73322,Upgrade
1,Short-Term Investments,-,-,2879,2925,3832,3765,4144,4002,3672,-,4040,4078,4115,4351,3100,-,37872,62114,89764,61200,Upgrade
2,Cash & Short-Term Investments,5586,5586,9836,10298,10385,12468,11906,12596,14589,-,15886,19233,12798,7686,7783,52390,52390,68853,168632,134522,Upgrade
3,Cash Growth,-46.21%,-55.20%,-17.38%,-18.24%,-28.82%,-,-25.05%,-34.51%,13.99%,-,104.12%,-63.29%,-75.57%,-88.84%,-95.38%,-61.05%,-64.91%,74.37%,286.30%,248.17%,Upgrade
4,Accounts Receivable,78381,78381,78788,76140,77599,76080,75996,76035,76026,-,75428,74146,74004,73738,72023,-,68189,65842,65257,66661,Upgrade
5,Other Receivables,129848,129848,130486,133340,130019,130078,130491,130108,129603,-,129863,130089,130197,130444,130875,-,121622,110734,18620,15503,Upgrade
6,Receivables,208229,208229,209274,209480,207617,206158,206487,206143,205629,-,205291,204235,204201,204182,202899,-,189810,176576,83878,82164,Upgrade
7,Inventory,111072,111072,83981,84071,86775,90578,90578,90578,90578,-,113845,131565,146802,171276,184387,-,219772,281401,286448,303099,Upgrade
8,Other Current Assets,1534,1534,25,43.2,-,-,30.66,-,83.05,-,-,-,30029,30029,30029,-,30000,30680,30561,30922,Upgrade
9,Total Current Assets,326421,326421,303116,303892,304778,309203,309001,309317,310879,-,335021,355033,393831,413173,425098,-,491972,557510,569519,550707,Upgrade
10,"Property, Plant & Equipment",84419,84419,83102,81818,80773,80616,80660,83226,82107,-,81580,81627,81488,81673,81720,-,82631,79209,79276,83281,Upgrade
11,Long-Term Investments,5330,5330,5330,5330,5330,5330,5364,5364,5364,-,5364,5864,5864,5864,5864,-,4384,4384,4384,4384,Upgrade
12,Other Intangible Assets,7814,7814,7932,7991,8050,8109,8168,8227,8286,-,8405,8464,8523,8582,8641,-,12556,12641,12725,12810,Upgrade
13,Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,87.56,Upgrade
14,Other Long-Term Assets,69151,69151,71067,71566,72086,72607,73127,69657,70202,-,69892,72348,73551,76562,78726,-,75858,58866,55920,53171,Upgrade
15,Total Assets,493135,493135,470547,470597,471017,475866,476320,475791,476839,-,500261,523335,563256,585854,600049,-,667402,712610,721825,704440,Upgrade
16,Accounts Payable,10116,10116,3214,2923,2734,3647,3897,3278,3124,-,3129,3546,4929,6030,6030,-,12112,18909,22593,20047,Upgrade
17,Accrued Expenses,15559,170311,170001,169299,169602,169802,169802,168694,169865,-,170071,166808,197357,203854,204146,-,201494,170426,170673,166271,Upgrade
18,Current Income Taxes Payable,-,110.39,138.19,126.26,472.81,148.28,86.27,91.21,302.97,-,374.18,875.48,1643,1174,990.61,-,415.38,2924,3215,132.52,Upgrade
19,Current Unearned Revenue,52.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,224758,231698,223904,Upgrade
20,Other Current Liabilities,165032,10222,10887,10689,10822,14972,15438,11254,11419,-,39198,62643,71630,95789,111623,-,169022,17039,16745,9625,Upgrade
