,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Cash & Equivalents,104.86,274,312.07,397.95,315.91,22.15,-
1,Short-Term Investments,-,17.74,16.36,9.72,7.01,0.42,-
2,Cash & Short-Term Investments,104.86,291.74,328.43,407.67,322.91,22.56,-
3,Cash Growth,-68.07%,-28.44%,1.71%,1706.95%,-,-,-
4,Receivables,304.44,367.05,308.01,350.96,276.5,46.6,-
5,Inventory,1419,1824,1384,1684,1153,209.88,-
6,Prepaid Expenses,-,259.7,-,146.18,-,-,-
7,Other Current Assets,228.87,0.21,226.87,5.99,172.43,19.41,-
8,Total Current Assets,2057,2743,2247,2595,1925,298.46,-
9,"Property, Plant & Equipment",4710,4880,4886,4532,3890,577.56,-
10,Long-Term Investments,-,-,8.83,8.51,5.47,0.82,-
11,Other Intangible Assets,4.29,5.1,6.04,3.3,4.23,0.78,-
12,Other Long-Term Assets,3339,3550,3570,3517,3461,497.62,-
13,Total Assets,10111,11177,10718,10740,9285,1375,-
14,Accounts Payable,707.11,785.31,792.55,1058,504.76,79.64,-
15,Accrued Expenses,-,105.5,99.46,121.24,94.18,15.4,-
16,Short-Term Debt,1382,1560,599.91,467.35,383.08,25.06,-
17,Current Portion of Long-Term Debt,455.82,456.2,493.49,400.75,395.93,46.8,-
18,Current Portion of Leases,152.95,70.51,141.87,75.71,92.11,5.45,-
19,Current Income Taxes Payable,3.12,7.79,5.77,4.06,3.18,1.08,-
20,Current Unearned Revenue,8.64,14.6,7.64,23.91,19.54,3.47,-
21,Other Current Liabilities,375.12,252.53,291.22,337.05,185.38,25.73,-
22,Total Current Liabilities,3085,3253,2432,2488,1678,202.62,-
23,Long-Term Debt,1209,1384,1575,1304,1244,221.66,-
24,Long-Term Leases,1342,1435,1415,1255,1021,145.71,-
25,Long-Term Unearned Revenue,28.08,26.09,26.9,23.56,27.29,4.81,-
26,Long-Term Deferred Tax Liabilities,4.34,4.34,4.34,4.18,4.02,0.6,-
27,Other Long-Term Liabilities,-,-,-,91.34,88.91,13.65,-
28,Total Liabilities,5669,6102,5453,5167,4063,589.04,-
29,Common Stock,2436,2436,2436,2432,2067,308.5,-
30,Retained Earnings,2028,2664,2842,3153,3225,451.59,-
31,Treasury Stock,-1.92,-1.83,-3.17,-,-,-,-
32,Comprehensive Income & Other,-19.82,-22.13,-9.7,-11.24,-69.83,26.1,-
33,Shareholders' Equity,4442,5076,5265,5574,5222,786.19,-
34,Total Liabilities & Equity,10111,11177,10718,10740,9285,1375,-
35,Total Debt,4542,4906,4225,3503,3136,444.67,-
36,Net Cash (Debt),-4438,-4614,-3897,-3095,-2813,-422.11,-
37,Net Cash Per Share,-6.34,-6.59,-5.56,-,-,-0.68,-
38,Filing Date Shares Outstanding,700.46,700.41,699.32,700.46,621.81,621.81,621.81
39,Total Common Shares Outstanding,700.46,700.41,699.32,699.86,621.81,621.81,621.81
40,Working Capital,-1028,-509.87,-184.41,106.86,246.47,95.84,-
41,Book Value Per Share,6.34,7.25,7.53,7.96,8.40,1.26,-
42,Tangible Book Value,4438,5071,5259,5571,5218,785.41,-
43,Tangible Book Value Per Share,6.34,7.24,7.52,7.96,8.39,1.26,-
44,Buildings,-,2472,-,1983,1907,295.48,-
45,Machinery,-,2484,-,2010,1935,289.42,-
46,Construction In Progress,-,15.99,-,524.14,113.1,5.61,-
