,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Revenue,1828,2079,1846,1992,1811,280.76,241.17
1,Revenue Growth (YoY),-0.96%,4.33%,1.94%,609.66%,650.73%,-,-
2,Cost of Revenue,1556,2330,1550,1730,1374,195.77,169.84
3,Gross Profit,271.91,-251.38,295.59,262.69,436.47,84.99,71.32
4,"Selling, General & Admin",114.71,117.05,111.4,201.39,135.95,26.9,16.67
5,Other Operating Expenses,-,-,-,-,-,-0.59,0.59
6,Operating Expenses,114.71,117.05,111.4,201.39,135.95,26.31,17.26
7,Operating Income,157.2,-368.43,184.19,61.3,300.52,58.68,54.06
8,Interest Expense,-143.94,-143.11,-125.84,-126.03,-93.77,-12.92,-8.71
9,Interest & Investment Income,1.08,2.47,1.55,1.68,1.62,0.29,0.32
10,Currency Exchange Gain (Loss),-2.35,3.07,-6.08,-9.78,-13.94,0.64,0.18
11,Other Non Operating Income (Expenses),12.46,-72.96,28.82,17.59,15.43,-3.27,1.54
12,EBT Excluding Unusual Items,24.45,-578.96,82.64,-55.25,209.87,43.41,47.4
13,Gain (Loss) on Sale of Assets,-5.2,-2.09,-4.43,-2.61,-3.68,-0.5,-0.33
14,Asset Writedown,-658.47,394.11,-397.73,6.19,19.46,-17.73,26.01
15,Other Unusual Items,0.81,12.58,10.52,17.04,-29.57,-,7.16
16,Pretax Income,-628.34,-166.37,-303.58,-29.11,201.04,26.11,80.89
17,Income Tax Expense,7.67,11.94,6.9,6.96,6.89,1.58,0.85
18,Net Income,-636.01,-178.31,-310.48,-36.07,194.15,24.53,80.04
19,Net Income to Common,-636.01,-178.31,-310.48,-36.07,194.15,24.53,80.04
20,Net Income Growth,-,-,-,-,142.55%,-,-
21,Shares Outstanding (Basic),700,700,700,-,-,622,622
22,Shares Outstanding (Diluted),700,700,700,-,-,625,622
23,Shares Change (YoY),0.01%,-,-,-,-,-,-
24,EPS (Basic),-0.91,-0.25,-0.44,-,-,0.04,0.13
25,EPS (Diluted),-0.91,-0.26,-0.44,-,-,0.04,0.13
26,Free Cash Flow,-26.76,-919.28,-712.01,-568.12,-119.18,-85.99,-0.3
27,Free Cash Flow Per Share,-0.04,-1.31,-1.02,-,-,-0.14,-0.00
28,Operating Margin,8.60%,-17.72%,9.98%,3.08%,16.60%,20.90%,22.42%
29,Profit Margin,-34.79%,-8.58%,-16.82%,-1.81%,10.72%,8.74%,33.19%
30,Free Cash Flow Margin,-1.46%,-44.22%,-38.58%,-28.51%,-6.58%,-30.63%,-0.13%
31,EBITDA,248.12,-280.12,260.31,137.33,369.97,68.57,62.86
32,D&A For EBITDA,90.92,88.31,76.12,76.03,69.44,9.89,8.8
33,EBIT,157.2,-368.43,184.19,61.3,300.52,58.68,54.06
34,Advertising Expenses,-,-,-,-,-,-,0.03
