,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021"
0,Market Capitalization,874,804,1294,2143,4458,-,-,-
1,Market Cap Growth,-62.48%,-62.48%,-70.98%,-,-,-,-,-
2,Enterprise Value,5642,5887,5504,5609,7753,-,-,-
3,Last Close Price,1.25,1.15,1.85,3.06,6.37,-,-,-
4,PS Ratio,0.21,0.19,0.30,0.52,1.04,-,-,-
5,PB Ratio,0.18,0.17,0.23,0.38,0.71,-,-,-
6,P/TBV Ratio,0.17,0.17,0.23,0.38,0.71,-,-,-
7,P/OCF Ratio,1.11,1.11,-,3.45,3.93,-,-,-
8,EV/Sales Ratio,1.34,1.40,1.27,1.35,1.80,-,-,-
9,EV/EBITDA Ratio,-,-171.18,-,13.05,13.52,-,-,-
10,EV/EBIT Ratio,-,-25.94,-,21.14,18.95,-,-,-
11,Debt / Equity Ratio,1.02,1.02,0.97,0.80,0.63,0.60,0.57,-
12,Return on Capital Employed (ROCE),-,-3.01%,-,2.96%,4.38%,4.72%,9.61%,-
13,Earnings Yield,-100.10%,-108.80%,-41.62%,-17.47%,4.01%,-,-,-
14,FCF Yield,-116.29%,-126.40%,-138.91%,-64.53%,-17.43%,-,-,-
15,Buyback Yield / Dilution,-0.00%,-0.01%,-,-,-,-,-,-
16,Total Shareholder Return,-0.00%,-0.01%,-,-,-,-,-,-
