,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,13.52,18.94,62.4,140.08,238.04,368.77,662.59,945.83,301.73,889.18
1,Revenue Growth (YoY),-78.33%,-86.48%,-73.78%,-62.01%,-64.07%,-61.01%,119.59%,6.37%,-54.88%,6.22%
2,Cost of Revenue,12.73,16.19,58.04,130.36,224.1,371.79,581.88,834.4,264.57,779.82
3,Gross Profit,0.8,2.75,4.37,9.72,13.94,-3.02,80.72,111.43,37.17,109.36
4,"Selling, General & Admin",9.77,21.08,6.19,5.14,33.21,52.21,21.59,42.92,36.29,41.78
5,Other Operating Expenses,-,-1.93,-,-3.25,-,-2.64,-,-1.99,-1.53,-5.6
6,Operating Expenses,9.77,49.46,6.19,59.87,103.33,973.4,39.35,85.24,56.87,91.69
7,Operating Income,-8.97,-46.71,-1.82,-50.15,-89.39,-976.42,41.37,26.19,-19.7,17.67
8,Interest Expense,-7.01,-10.09,-5.6,-5.81,-6.5,-6.56,-6.94,-8.68,-7.95,-5.89
9,Interest & Investment Income,0.02,4.4,0.03,6.6,0.08,0.75,0.61,1.06,0.82,0.05
10,Currency Exchange Gain (Loss),-,-,-,-,-,-,-,-2.67,2.67,-
11,Other Non Operating Income (Expenses),0,0.49,2.51,-37.96,0.8,-179.34,2.47,-,-,-
12,EBT Excluding Unusual Items,-15.97,-51.92,-4.89,-87.31,-95.01,-1162,37.5,15.91,-24.17,11.82
13,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,22.11,-,16.1
14,Gain (Loss) on Sale of Assets,-,-,0.2,1.67,-0.2,-0.03,-,-10.09,-,-
15,Asset Writedown,-,-2.22,-,-9.03,-,-1.04,-,-,-,-
16,Legal Settlements,-5.73,-4.47,-,-3.31,-0.37,-29.36,-1.97,-12.09,-1.44,-1.38
17,Other Unusual Items,-,-0.23,-,0.15,-,-6.38,-,42.3,-,8.9
18,Pretax Income,-21.69,-58.84,-4.69,-97.84,-95.58,-1198,35.52,58.13,-25.61,35.44
19,Income Tax Expense,-,-,-,-,0.17,34.04,9.27,14.66,-3.2,10.36
20,Earnings From Continuing Operations,-21.69,-58.84,-4.69,-97.84,-95.75,-1232,26.26,43.48,-22.41,25.09
21,Minority Interest in Earnings,0.01,0.06,-,0.23,-,-,-,-,-,-
22,Net Income,-21.69,-58.78,-4.69,-97.61,-95.75,-1232,26.26,43.48,-22.41,25.09
23,Preferred Dividends & Other Adjustments,-,-,-,-,-,1.69,-,-,-,-
24,Net Income to Common,-21.69,-58.78,-4.69,-97.61,-95.75,-1234,26.26,43.48,-22.41,25.09
25,Net Income Growth,-,-,-,-,-,-,-,73.31%,-,-36.06%
26,Shares Outstanding (Basic),594,594,594,594,594,594,594,594,583,445
27,Shares Outstanding (Diluted),594,594,594,594,594,594,594,594,583,445
28,Shares Change (YoY),-0.01%,-,-,-,-,-0.09%,1.89%,33.43%,30.87%,-1.10%
29,EPS (Basic),-0.04,-0.10,-0.01,-0.16,-0.16,-2.08,0.04,0.07,-0.04,0.06
30,EPS (Diluted),-0.04,-0.10,-0.01,-0.16,-0.16,-2.08,0.04,0.07,-0.04,0.06
31,EPS Growth,-,-,-,-,-,-,-,29.89%,-,-35.35%
32,Free Cash Flow,1.24,-,6.5,-20.16,41.25,-37.71,17.59,80.79,-183.83,-53.27
33,Free Cash Flow Per Share,0.00,-,0.01,-0.03,0.07,-0.06,0.03,0.14,-0.32,-0.12
34,Operating Margin,-66.36%,-246.66%,-2.92%,-35.80%,-37.55%,-264.78%,6.24%,2.77%,-6.53%,1.99%
35,Profit Margin,-160.34%,-310.38%,-7.51%,-69.68%,-40.22%,-334.66%,3.96%,4.60%,-7.43%,2.82%
36,Free Cash Flow Margin,9.13%,-,10.41%,-14.39%,17.33%,-10.23%,2.65%,8.54%,-60.92%,-5.99%
37,EBITDA,-8.88,-48.33,-1.69,-50.03,-87.1,-974.75,42.25,29.11,-16.46,20.55
38,D&A For EBITDA,0.09,-,0.13,0.13,2.29,1.67,0.89,2.92,3.24,2.88
39,EBIT,-8.97,-46.71,-1.82,-50.15,-89.39,-976.42,41.37,26.19,-19.7,17.67
