,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,37,30,428,428,428,428,606,606,986,594,-
1,Market Cap Growth,-92.92%,-92.92%,0%,0%,-29.41%,-29.41%,-38.55%,2.00%,-,-,-
2,Enterprise Value,210,202,582,587,587,587,740,753,1240,772,-
3,Last Close Price,0.06,0.05,0.72,0.72,0.72,0.72,1.02,1.02,1.66,1.00,-
4,PE Ratio,-,-,-,-,-,-,-,7.22,39.41,-,-
5,PS Ratio,1.06,0.87,4.77,1.95,1.00,0.60,0.48,0.31,0.67,0.45,-
6,PB Ratio,-0.03,-0.03,-0.46,-0.51,-0.49,-0.54,-0.85,0.77,1.33,0.93,-
7,P/TBV Ratio,-,-,-,-,-,-,-,0.77,1.33,0.93,-
8,P/FCF Ratio,-,22.83,-,-28.98,-,103.08,-,5.12,-8.06,-,-
9,P/OCF Ratio,-,22.83,-,-28.98,-,74.65,-,5.08,-8.28,-,-
10,EV/Sales Ratio,6.02,5.78,6.49,2.68,1.37,0.83,0.58,0.39,0.84,0.59,-
11,EV/EBITDA Ratio,-,-,-,-,-,-,-,8.78,82.55,-,-
12,EV/EBIT Ratio,-,-,-,-,-,-,-,9.27,160.85,-,-
13,EV/FCF Ratio,-,151.94,-,-39.76,-,141.42,-,6.37,-10.13,-,-
14,Debt / Equity Ratio,-0.19,-0.19,-0.18,-0.18,-0.19,-0.22,-0.31,0.30,0.32,0.48,0.48
15,Debt / FCF Ratio,-,129.97,-,-10.51,-,41.83,-,1.97,-1.96,-,-
16,Return on Capital Employed (ROCE),-,-,-,-,-,-,-,10.14%,1.01%,-,13.82%
17,Earnings Yield,-234.77%,-285.41%,-16.35%,-25.85%,-51.11%,-363.78%,-244.37%,13.84%,2.54%,0.49%,-
18,FCF Yield,-72.19%,4.38%,-,-3.45%,5.58%,0.97%,-4.08%,19.53%,-12.41%,-43.79%,-
19,Buyback Yield / Dilution,0.01%,0.01%,-,-,-,-,0.09%,-1.89%,-33.43%,-30.87%,1.10%
20,Total Shareholder Return,0.01%,0.01%,-,-,-,-,0.09%,-1.89%,-33.43%,-30.87%,1.10%
