,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Mar '25 Mar 12, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Market Capitalization,4647,4517,4379,3692,3790,4978,5136,5780,6582,7593,4660,-,-,-,-,-,-
1,Market Cap Growth,-9.26%,-9.26%,-14.74%,-36.12%,-42.42%,-34.45%,10.21%,-,-,-,-,-,-,-,-,-,-
2,Enterprise Value,3900,3769,3631,2954,3006,4194,4340,5004,5760,6771,4238,-,-,-,-,-,-
3,Last Close Price,10.35,10.06,9.73,8.20,8.30,10.90,11.25,12.59,14.34,16.54,10.15,-,-,-,-,-,-
4,PE Ratio,36.96,35.22,39.97,39.94,49.70,81.49,73.47,76.54,81.89,81.71,33.05,-,-,-,-,-,-
5,PS Ratio,9.25,8.81,9.75,9.07,10.27,16.60,18.74,25.08,29.02,30.67,17.18,-,-,-,-,-,-
6,PB Ratio,3.76,3.65,3.54,3.05,3.16,4.11,4.30,4.93,5.55,6.45,4.05,-,-,-,-,-,-
7,P/TBV Ratio,3.78,3.78,3.66,3.16,3.28,4.28,4.48,5.14,5.80,6.74,4.18,-,-,-,-,-,-
8,P/FCF Ratio,-,-,893.42,127.12,-203.38,-,-98.84,-,-96.72,-,97.96,-,-,-,-,-,-
9,P/OCF Ratio,-,-,69.08,54.05,163.72,-,90.68,-,79.91,103.76,32.75,-,-,-,-,-,-
10,EV/Sales Ratio,7.61,7.35,8.09,7.26,8.15,13.99,15.84,21.71,25.40,27.35,15.63,-,-,-,-,-,-
11,EV/EBITDA Ratio,24.24,23.39,30.55,30.30,36.19,62.58,70.55,81.03,82.19,80.34,39.41,-,-,-,-,-,-
12,EV/EBIT Ratio,27.05,26.14,35.65,37.74,48.05,94.67,118.62,136.41,130.46,116.32,52.12,-,-,-,-,-,-
13,EV/FCF Ratio,-,-,740.82,101.70,-161.32,-,-83.52,-,-84.63,-,89.08,-,-,-,-,-,-
14,Debt / Equity Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,-,-,-
15,Debt / EBITDA Ratio,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.04,0.04,0.05,0.04,0.03,-,-,-
16,Debt / FCF Ratio,-,-,0.00,0.00,0.00,-,0.00,-,-0.02,-,0.09,-,-,0.03,-,-,-
17,Asset Turnover,-,0.41,0.31,0.33,0.25,0.30,0.20,0.13,0.18,0.21,-,-,-,-,-,-,
18,Inventory Turnover,-,-,2.74,2.55,2.94,1.57,3.43,2.49,2.32,2.51,1.75,-,-,-,-,-,-
19,Quick Ratio,-,-,7.75,10.29,8.69,9.13,8.19,7.30,10.09,9.76,10.78,5.20,-,6.21,-,-,-
20,Current Ratio,-,-,8.91,11.70,9.94,10.49,9.25,8.30,11.70,10.59,11.29,5.72,-,6.91,-,-,-
21,Return on Equity (ROE),11.53%,12.56%,10.37%,7.60%,5.66%,7.20%,5.12%,2.61%,8.88%,11.35%,11.00%,11.49%,-,-,-,-,
22,Return on Assets (ROA),-,8.01%,4.28%,4.49%,1.77%,3.90%,1.40%,1.14%,0.36%,4.78%,-,-,-,-,-,-,
23,Return on Capital (ROIC),10.49%,9.13%,4.81%,5.05%,2.00%,4.46%,1.59%,1.29%,0.40%,5.56%,5.14%,7.10%,-,-,-,-,
24,Return on Capital Employed (ROCE),-,-,7.73%,6.11%,4.97%,3.49%,2.93%,2.98%,3.54%,4.69%,6.69%,10.11%,-,12.25%,-,-,-
25,Earnings Yield,2.76%,2.84%,2.50%,2.50%,2.01%,1.23%,1.36%,1.31%,1.22%,1.22%,3.03%,-,-,-,-,-,-
26,FCF Yield,-,0.11%,0.79%,-0.49%,-0.52%,-1.01%,-0.76%,-1.03%,-1.36%,1.02%,-,-,-,-,-,-,
27,Dividend Yield,0.48%,-,-,0.80%,-,0.38%,-,-,-,0.37%,-,-,-,-,-,-,-
28,Payout Ratio,0.00%,-,-,58.91%,-,-,132.02%,-,-,-,-,-,-,-,-,-,-
29,Buyback Yield / Dilution,2.52%,8.54%,-2.22%,15.44%,-18.68%,-29.09%,9.54%,-31.85%,4.79%,-3.84%,-13.88%,2.85%,1.28%,-,-,-,-
30,Total Shareholder Return,3.00%,8.54%,-2.22%,16.25%,-18.68%,-28.72%,9.54%,-31.85%,4.79%,-3.46%,-13.88%,2.85%,1.28%,-,-,-,-
