,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Operating Revenue,150.08,145.03,106.17,111.41,86.04,103.97,66.97,42.42,59.78,59.28,64.45,63.18,83.2,75.03,78.08,78.08
1,Other Revenue,-,-0.42,0.42,-,0.46,-1.38,1.38,-,0.87,-0.23,0.23,-,1.09,-,-,-
2,Revenue,150.08,144.61,106.58,111.41,86.51,102.6,68.35,42.42,60.66,59.05,64.67,63.18,84.29,75.03,78.08,78.08
3,Revenue Growth (YoY),73.49%,40.95%,55.94%,162.65%,42.61%,73.75%,5.68%,-32.86%,-28.03%,-21.29%,-17.17%,-19.08%,-,-,-,-
4,Cost of Revenue,-176.82,64.45,51.6,60.77,28.13,54.74,32.08,18.56,19.01,14.29,21.02,14.13,18.28,24.91,13.62,13.62
5,Gross Profit,326.9,80.17,54.98,50.64,58.38,47.86,36.27,23.86,41.65,44.76,43.66,49.05,66.01,50.12,64.46,64.46
6,"Selling, General & Admin",-34.55,12.53,11.99,10.04,12.19,11.32,11.6,8.82,12.11,8.8,13.06,9.93,9.56,8.94,13.61,13.61
7,Research & Development,-56.47,22.41,18.61,15.45,30.59,15.81,16.72,10.89,24.61,16.12,16.69,18.61,30.83,19.68,26.56,26.56
8,Other Operating Expenses,369.44,-2.09,0.78,0.39,4.34,-0.92,-0.07,-0.32,2.56,-1.52,-1.42,-0.24,0.54,-0.88,0.56,0.56
9,Operating Expenses,274.99,35.47,31.77,26.28,48.78,26.78,28.75,17.76,39.76,23.58,28.67,28.9,41.02,27.95,40.48,40.48
10,Operating Income,51.91,44.69,23.21,24.36,9.6,21.09,7.52,6.09,1.89,21.18,14.99,20.15,24.99,22.16,23.97,23.97
11,Interest Expense,-10.2,-0,-0,-0,-0,-0,-0.02,-0.02,-0.06,-0.05,-0.05,-0.05,-0.07,-0.05,-0.05,-0.05
12,Interest & Investment Income,0,1.56,6.54,2.09,4.62,2.91,6.66,3.26,13.7,4.59,3.26,3.47,3.46,1.34,0.43,0.43
13,Currency Exchange Gain (Loss),-,-1.63,1.63,-,1.26,-1.45,1.45,-,5.52,-3.42,3.42,-,-4,3.11,-1.55,-1.55
14,Other Non Operating Income (Expenses),-1.15,-0.61,-0.23,0.2,-1.55,1.52,1.1,-1.12,-4.93,5.68,0.32,-1.13,6.52,-6.55,0.23,0.23
15,EBT Excluding Unusual Items,40.57,44.01,31.16,26.65,13.93,24.07,16.7,8.22,16.13,27.98,21.94,22.44,30.89,20.01,23.03,23.03
16,Gain (Loss) on Sale of Investments,-,-,-,-,-,-,-,-,-,-,-,-,-,-0.03,0.25,0.25
17,Gain (Loss) on Sale of Assets,-,0.02,-0.02,-,-0.19,0.04,0.04,-,0.12,0.03,-0.03,-,-0.02,-,-,-
18,Asset Writedown,-0.12,0.21,-0.03,-0.06,-0.43,-1.18,0.39,-0.39,-0.99,0.13,-0.22,0.22,0.6,-0.71,-0,-0
19,Other Unusual Items,-,-1.56,1.74,-0.18,4.8,-0.1,0.1,-,9.73,-,-,-,51.72,2.11,-1.06,-1.06
20,Pretax Income,40.44,42.68,32.85,26.4,18.11,22.83,17.23,7.82,24.99,28.14,21.69,22.66,83.2,21.38,22.21,22.21
21,Income Tax Expense,4.78,4.26,1.6,3.51,1.11,1.54,2.16,0.11,-0.84,1.24,1.75,2.39,9.28,-2.66,3.74,3.74
22,Net Income,35.66,38.42,31.26,22.9,17,21.29,15.08,7.72,25.83,26.9,19.94,20.26,73.93,24.04,18.47,18.47
23,Net Income to Common,35.66,38.42,31.26,22.9,17,21.29,15.08,7.72,25.83,26.9,19.94,20.26,73.93,24.04,18.47,18.47
24,Net Income Growth,109.76%,80.46%,107.34%,196.71%,-34.18%,-20.85%,-24.40%,-61.92%,-65.06%,11.88%,7.94%,9.69%,-,-,-,-
25,Shares Outstanding (Basic),509,420,445,458,557,411,526,386,431,454,399,405,416,399,411,411
26,Shares Outstanding (Diluted),509,420,445,458,557,411,526,386,431,454,399,405,416,399,411,411
27,Shares Change (YoY),-8.54%,2.22%,-15.44%,18.68%,29.09%,-9.54%,31.85%,-4.79%,3.84%,13.88%,-2.85%,-1.28%,-,-,-,-
28,EPS (Basic),0.07,0.09,0.07,0.05,0.03,0.05,0.03,0.02,0.06,0.06,0.05,0.05,0.18,0.06,0.04,0.04
29,EPS (Diluted),0.07,0.09,0.07,0.05,0.03,0.05,0.03,0.02,0.06,0.06,0.05,0.05,0.18,0.06,0.04,0.04
30,EPS Growth,129.35%,76.54%,145.21%,150.00%,-49.01%,-12.51%,-42.66%,-60.00%,-66.35%,-1.76%,11.11%,11.11%,-,-,-,-
31,Free Cash Flow,-,0.24,25.84,20.15,-41.34,24.39,-21.83,12.79,-67.31,32.31,-45.85,-22.31,83.42,8.8,18.77,18.77
32,Free Cash Flow Per Share,-,0.00,0.06,0.04,-0.07,0.06,-0.04,0.03,-0.16,0.07,-0.11,-0.06,0.20,0.02,0.05,0.05
33,Dividend Per Share,-,-,0.025,-,0.041,-,-,-,0.062,-,-,-,-,-,-,-
34,Dividend Growth,-,-,-,-,-33.87%,-,-,-,-,-,-,-,-,-,-,-
35,Gross Margin,217.82%,55.43%,51.59%,45.45%,67.49%,46.65%,53.07%,56.24%,68.66%,75.80%,67.50%,77.64%,78.31%,66.80%,82.55%,82.55%
36,Operating Margin,34.59%,30.90%,21.78%,21.86%,11.10%,20.55%,11.00%,14.37%,3.12%,35.87%,23.18%,31.89%,29.65%,29.54%,30.70%,30.70%
37,Profit Margin,23.76%,26.57%,29.33%,20.55%,19.65%,20.75%,22.06%,18.19%,42.58%,45.55%,30.83%,32.07%,87.71%,32.04%,23.66%,23.66%
38,Free Cash Flow Margin,-,0.17%,24.25%,18.09%,-47.79%,23.77%,-31.94%,30.15%,-110.96%,54.72%,-70.90%,-35.31%,98.97%,11.73%,24.04%,24.04%
39,EBITDA,56.08,48.86,27.7,28.53,13.77,27.47,13.29,12.48,8.28,27.71,21.62,26.68,31.52,28.57,30.38,30.38
40,EBITDA Margin,37.37%,33.79%,25.99%,25.61%,15.92%,26.78%,19.45%,29.42%,13.64%,46.92%,33.42%,42.23%,37.39%,38.08%,38.91%,38.91%
41,D&A For EBITDA,4.17,4.17,4.49,4.17,4.17,6.39,5.77,6.39,6.39,6.53,6.63,6.53,6.53,6.41,6.41,6.41
42,EBIT,51.91,44.69,23.21,24.36,9.6,21.09,7.52,6.09,1.89,21.18,14.99,20.15,24.99,22.16,23.97,23.97
43,EBIT Margin,34.59%,30.90%,21.78%,21.86%,11.10%,20.55%,11.00%,14.37%,3.12%,35.87%,23.18%,31.89%,29.65%,29.54%,30.70%,30.70%
44,Effective Tax Rate,11.82%,9.98%,4.86%,13.29%,6.11%,6.74%,12.51%,1.37%,-,4.41%,8.07%,10.57%,11.15%,-,16.84%,16.84%
45,Revenue as Reported,-,144.61,106.58,111.41,86.51,102.6,68.35,42.42,60.66,59.05,64.67,63.18,84.29,75.03,78.08,78.08
