,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021"
0,Cash & Equivalents,-,297.64,267.07,229.42,641.78,141.81,382.17,449.79,763.15,756.67,166.66,-,511.66,-,-,-
1,Short-Term Investments,-,-,-,-,107.21,-,-,-,44.09,-,-,-,-,-,-,-
2,Trading Asset Securities,-,450,481,509,-,642,415,328,-,70,260,-,-,-,-,-
3,Cash & Short-Term Investments,747.64,747.64,748.07,738.42,748.99,783.81,797.17,777.79,807.23,826.67,426.66,511.66,511.66,-,-,434.17
4,Cash Growth,-0.18%,-4.62%,-6.16%,-5.06%,-7.21%,-5.18%,86.84%,52.01%,57.77%,-,-,17.85%,-,-,-,-
5,Accounts Receivable,-,118.5,82.75,86.08,78.47,54.23,44.41,40.47,71.27,79.81,60.78,-,44.09,-,-,-
6,Other Receivables,-,4.86,0.71,2.57,0.57,2.34,0.25,1.8,-,1.26,35.02,-,-,-,-,-
7,Receivables,-,123.37,83.46,88.65,79.04,56.57,44.67,42.27,71.27,81.08,95.81,-,44.09,-,-,-
8,Inventory,-,107.25,80.95,80.95,84.61,59.08,68.5,34.62,29.38,31.24,33.97,-,40.43,-,-,-
9,Other Current Assets,-,22.87,32.65,37.42,39.37,49.76,46.77,96.23,45.83,11.55,19.01,-,22.66,-,-,-
10,Total Current Assets,-,1001,945.13,945.45,952.01,949.23,957.1,950.92,953.71,950.54,575.45,-,618.83,-,-,-
11,"Property, Plant & Equipment",-,280.54,272.01,270.22,271.41,260.48,258.16,256.56,255.92,110.85,107.5,-,115.09,-,-,-
12,Long-Term Investments,-,63.76,65.19,63.63,64.2,68.54,56.54,49.1,49.1,63.58,48.99,-,69.99,-,-,-
13,Goodwill,-,18.39,18.39,18.39,18.39,18.39,18.39,18.39,18.39,-,-,-,-,-,-,-
14,Other Intangible Assets,-,22.51,24.16,25.87,27.59,27.71,29.25,30.83,32.47,34.25,36.58,-,41.16,-,-,-
15,Long-Term Deferred Tax Assets,-,17.62,16.24,15.48,14.29,14.17,15.66,16.33,16.45,14.58,14.43,-,16.08,-,-,-
16,Long-Term Deferred Charges,-,0.88,1.03,1.2,1.21,1.38,1.55,1.74,1.99,2.13,2.37,-,3.15,-,-,-
17,Other Long-Term Assets,-,24.65,19.22,13.06,12.54,13.13,10.64,5.02,4.3,124.45,129.49,-,1.5,-,-,-
18,Total Assets,-,1429,1361,1353,1362,1353,1347,1329,1332,1300,914.8,-,865.81,-,-,-
19,Accounts Payable,-,21.75,16.01,13.85,13.34,14.24,17.03,13.21,8.42,5.55,12.05,-,8.01,-,-,-
20,Accrued Expenses,-,11.04,11.91,8.59,14.69,9.61,8.84,6.52,11.58,6.66,8.08,-,14.19,-,-,-
21,Current Portion of Leases,-,0.02,0.05,0.06,0.06,0.06,0.22,0.33,0.32,0.81,0.8,-,0.78,-,-,-
22,Current Income Taxes Payable,-,8.71,1.61,4.55,1.28,0.38,0.02,0.24,0.45,0.5,-,-,7.85,-,-,-
23,Current Unearned Revenue,-,42.66,35.85,53.32,48.01,66.17,48.4,48.01,56.8,58.29,65.87,-,46.78,-,-,-
24,Other Current Liabilities,-,28.19,15.37,14.77,13.33,12.14,40.82,12.98,12.47,12.39,13.75,-,11.92,-,-,-
25,Total Current Liabilities,-,112.37,80.81,95.14,90.72,102.6,115.33,81.29,90.05,84.21,100.56,-,89.52,-,-,-
26,Long-Term Leases,-,-,-,0.01,0.02,0.04,0.75,1.12,1.2,3.26,3.28,-,3.66,-,-,-
27,Long-Term Unearned Revenue,-,77.62,67.11,54.82,58.09,54.52,56.57,58.85,61.12,60.5,62.73,-,64.62,-,-,-
28,Long-Term Deferred Tax Liabilities,-,2.43,2.46,2.5,2.53,2.57,2.61,2.64,2.68,2.71,2.75,-,2.82,-,-,-
29,Total Liabilities,-,192.42,150.39,152.47,151.36,159.73,175.25,143.9,155.05,150.68,169.32,-,160.62,-,-,-
30,Common Stock,-,453.34,453.34,453.34,453.34,453.34,453.34,453.34,453.34,453.34,408,-,408,-,-,-
31,Additional Paid-In Capital,-,512.87,512.87,512.87,512.89,512.89,512.89,512.89,512.89,511.11,179.23,-,179.23,-,-,-
32,Retained Earnings,-,307.09,279.9,267.06,244.16,227.17,205.87,218.92,211.19,185.36,158.47,-,118.26,-,-,-
33,Treasury Stock,-,-36.13,-35.01,-32.31,-,-,-,-,-,-,-,-,-,-,-,-
34,Comprehensive Income & Other,-,-0.12,-0.13,-0.13,-0.13,-0.1,-0.08,-0.17,-0.15,-0.11,-0.22,-,-0.31,-,-,-
35,Shareholders' Equity,1237,1237,1211,1201,1210,1193,1172,1185,1177,1150,745.48,705.19,705.19,-,-,562.38
