,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Cash & Equivalents,233.05,255.87,182.18,341.62,532.92,268.16,237.34,292.96,160.65,-,-,320.33
1,Trading Asset Securities,503.11,504.46,513.66,377.69,195.79,527.07,509.33,490.67,60.13,-,-,8.21
2,Cash & Short-Term Investments,736.17,760.32,695.84,719.32,728.71,795.23,746.67,783.63,220.79,-,328.54,328.54
3,Cash Growth,1.02%,-4.39%,-6.81%,-8.21%,230.05%,-,127.27%,138.52%,-,-,-,-
4,Accounts Receivable,104.93,81.58,132.59,61.96,86.16,77.02,123.54,98.53,133.13,-,-,156.59
5,Other Receivables,0.66,0.65,0.47,4.47,0.46,0.59,1.17,7.96,0.96,-,-,6.13
6,Receivables,105.59,82.23,133.06,66.43,86.62,77.6,124.71,106.49,134.1,-,-,162.71
7,Inventory,159.52,124.08,104.46,119.5,118.92,111.38,117.45,123.3,100.74,-,-,163.11
8,Prepaid Expenses,-,9.23,-,-,-,-,-,-,12,-,-,-
9,Other Current Assets,28.06,13.31,23.35,14.1,14.77,20.65,15.18,18.47,8.47,-,-,16.86
10,Total Current Assets,1029,989.18,956.71,919.35,949.02,1005,1004,1032,476.09,-,-,671.22
11,"Property, Plant & Equipment",136.7,141.39,145.33,148.17,151.41,154.94,150.79,152.86,134.83,-,-,128.68
12,Long-Term Investments,30,30,30,40.12,30,-,-,-,-,-,-,-
13,Other Intangible Assets,50.96,52.89,55.15,57.48,60.35,61.79,62.14,64.05,68.45,-,-,67.05
14,Long-Term Deferred Tax Assets,33.97,34.02,32.97,31.58,17.32,13.29,9.62,11.52,6.42,-,-,11.27
15,Long-Term Deferred Charges,0.11,0.14,0.18,0.21,1.1,-,-,-,-,-,-,6.9
16,Other Long-Term Assets,3.08,1.03,1.53,2.35,0.82,1.66,6.23,2.87,8.81,-,-,1.88
17,Total Assets,1284,1249,1222,1199,1210,1237,1233,1263,694.61,-,-,887.01
18,Accounts Payable,139.71,120.32,111.64,89.27,55.21,69.66,81.95,89.84,134.83,-,-,234.52
19,Accrued Expenses,8.84,10.34,7.79,13.6,5.32,6.95,5.5,14.74,8.73,-,-,19.99
20,Short-Term Debt,34.88,19.86,10,22.2,11.9,9.89,9.95,19.8,-,-,-,196.54
21,Current Portion of Long-Term Debt,3.52,3.04,3.84,1.52,4.2,1.52,4,1.52,-,-,-,-
22,Current Portion of Leases,-,1.9,-,2.36,-,2.67,-,2.51,-,-,-,2.28
23,Current Income Taxes Payable,3.39,0.17,5.91,0.05,2.87,0.77,1.31,0.09,3.12,-,-,8.51
