,Fiscal Quarter,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Operating Revenue,133.18,108.77,157.9,38.71,103.27,84.39,102.8,34.41,127.02,147.68,252.8,205.15
1,Other Revenue,-1.45,1.45,-,2.97,-0.97,0.97,-,5.22,-3.39,3.39,-,4.89
2,Revenue,131.72,110.22,157.9,41.68,102.29,85.36,102.8,39.63,123.63,151.07,252.8,210.04
3,Revenue Growth (YoY),28.77%,29.12%,53.59%,5.18%,-17.26%,-43.49%,-59.33%,-81.13%,-,-,-,-
4,Cost of Revenue,101.16,85.03,118.57,76.6,76.38,58.57,81.68,46.57,82.06,108.88,176.91,169.58
5,Gross Profit,30.56,25.19,39.32,-34.91,25.91,26.8,21.12,-6.93,41.57,42.2,75.89,40.46
6,"Selling, General & Admin",23.43,21.26,20.63,36.76,17.84,25.12,13.53,22.81,22.28,17.46,16.05,17.77
7,Research & Development,6.84,6.57,5.74,6.95,5.29,6.34,4.16,5.76,6.04,5.31,6.47,15.37
8,Other Operating Expenses,1,0.98,0.83,0.09,0.71,0.42,0.7,16.06,-5.35,-5.57,-0.53,6.52
9,Operating Expenses,31.8,26.08,30.96,42.18,24.66,29.42,19.72,44.27,23.42,9.78,26.22,38.83
10,Operating Income,-1.23,-0.89,8.36,-77.1,1.25,-2.62,1.4,-51.2,18.15,32.42,49.67,1.62
11,Interest Expense,-0.11,-0.16,-0.17,-0.28,-,-0.37,-0.04,-0.49,-0.16,-2.73,-1.68,-1.39
12,Interest & Investment Income,6.1,5.41,4.36,2.71,4.97,4.96,4.2,1.16,0.19,0.05,0.43,0.96
13,Currency Exchange Gain (Loss),-0.94,0.94,-,0.48,-2.13,2.13,-,25.38,-17.96,17.96,-,-7.93
14,Other Non Operating Income (Expenses),-3.35,-0.63,-0.09,-1.79,1,0.22,-0.83,-19.13,18.67,0.87,-1.65,1.43
15,EBT Excluding Unusual Items,0.46,4.66,12.46,-75.98,5.1,4.32,4.73,-44.28,18.89,48.57,46.77,-5.3
16,Gain (Loss) on Sale of Investments,-0.31,-0.14,0.58,2.34,-0.33,0.08,-0.21,-11.73,1.18,-8.2,0.66,-0.02
17,Gain (Loss) on Sale of Assets,0.11,0.01,-0.07,0.97,-,-0.49,0.01,-0.04,-,-0.04,-,0.03
18,Asset Writedown,-0.74,-,-,-0.76,-0.56,-0.25,0.04,-0.33,0.11,-0.38,-,-0.63
