,Fiscal Quarter,Current,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021
,Period Ending,"Mar '25 Mar 13, 2025","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022"
0,Market Capitalization,3096,2972,2772,4027,4944,2884,3096,3520,3779,-,-,-,-
1,Market Cap Growth,3.04%,3.04%,-10.47%,14.40%,30.84%,-,-,-,-,-,-,-,-
2,Enterprise Value,2401,2238,2094,3321,4237,2109,2371,3302,3561,-,-,-,-
3,Last Close Price,12.71,12.19,11.37,16.52,20.28,11.83,12.64,14.37,15.43,-,-,-,-
4,PE Ratio,-,-86.48,-83.34,-116.60,-,-168.15,977.13,117.25,-,-,-,-,-
5,PS Ratio,7.03,6.73,6.73,10.40,14.88,8.74,8.81,8.44,6.66,-,-,-,-
6,PB Ratio,2.93,2.82,2.63,3.84,4.77,2.64,2.80,3.22,3.46,-,-,-,-
7,P/TBV Ratio,2.96,2.96,2.77,4.05,5.05,2.79,2.97,3.42,3.68,-,-,-,-
8,P/FCF Ratio,-,-,-200.56,-,-258.32,-,-34.22,-,-,-,-,-,-
9,P/OCF Ratio,-,-,151684.57,-,1068.73,-,-65.60,-,-,-,-,-,-
10,EV/Sales Ratio,5.44,5.07,5.08,8.58,12.76,6.39,6.75,7.92,6.28,-,-,-,-
11,EV/EBITDA Ratio,-,-51.23,-50.21,-76.15,-,-82.15,-251.57,133.85,-,-,-,-,-
12,EV/EBIT Ratio,-,-,-,-47.37,-,-41.22,-,4295.44,-,-,-,-,-
13,EV/FCF Ratio,-91.77,-,-151.54,-,-221.41,-,-26.21,-,-,-,-,-,-
14,Debt / Equity Ratio,0.04,0.04,0.03,0.02,0.03,0.02,0.02,0.02,0.03,0.01,-,0.51,0.51
15,Debt / EBITDA Ratio,-,1.87,0.90,0.31,-,0.75,1.19,0.72,-,0.03,-,0.92,7.14
16,Debt / FCF Ratio,-,-,-1.96,-,-1.64,-,-0.23,-,-,-,-,-,99.03
17,Asset Turnover,0.42,0.36,0.52,0.14,0.33,0.28,0.33,0.16,-,-,-,-,
18,Inventory Turnover,2.74,2.85,2.98,4.24,2.57,2.65,2.05,2.71,1.66,-,-,-,-
19,Quick Ratio,4.03,4.03,4.87,5.52,5.65,9.00,8.22,7.57,6.15,2.28,-,-,1.06
20,Current Ratio,4.92,4.92,5.72,6.38,6.61,10.48,9.47,8.72,7.12,3.06,-,-,1.44
21,Return on Equity (ROE),0.83%,2.38%,4.69%,-20.68%,1.20%,1.81%,1.40%,-14.51%,-,-,39.29%,-,
22,Return on Assets (ROA),-0.24%,-0.18%,1.73%,-16.00%,0.26%,-0.53%,0.28%,-13.08%,-,-,-,-,
23,Return on Capital (ROIC),-0.28%,-0.21%,1.96%,-17.65%,0.28%,-0.59%,0.31%,-15.52%,-,-,20.48%,-,
24,Return on Capital Employed (ROCE),-,-,-,-6.54%,-,-4.57%,-,0.07%,-,18.89%,-,-,0.39%
25,Earnings Yield,-1.11%,-1.16%,-1.20%,-0.86%,-0.87%,-0.59%,0.10%,0.85%,1.74%,-,-,-,-
26,FCF Yield,-0.84%,-0.88%,-0.50%,-0.51%,-0.39%,-4.02%,-2.92%,0.48%,0.37%,-,-,-,-
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,0.39%,-,-,-,-
28,Payout Ratio,0.00%,0.12%,0.10%,-,-,444.01%,3.75%,0.35%,-,1.70%,6.77%,4.76%,202.43%
29,Buyback Yield / Dilution,-2.31%,-0.48%,0.20%,-0.14%,-9.42%,-32.74%,-33.63%,-33.28%,-23.23%,-,-,-,-
30,Total Shareholder Return,-2.31%,-0.48%,0.20%,-0.14%,-9.42%,-32.74%,-33.63%,-33.28%,-22.84%,-,-,-,-
