,Fiscal Quarter,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Revenue,18.15,16.46,23.43,16.28,31.46,31.68,35.48,47,20.96,49.21
1,Revenue Growth (YoY),-22.53%,1.11%,-25.53%,-48.61%,-11.33%,-32.61%,69.24%,-4.48%,-52.62%,-
2,Cost of Revenue,14.72,14.25,17.08,15.35,21.09,22.01,22.48,23.68,14.49,18.14
3,Gross Profit,3.43,2.21,6.35,0.93,10.37,9.66,13,23.32,6.47,31.06
4,"Selling, General & Admin",7.24,7.91,7.61,9.83,8.73,11.35,8.44,10.16,10.78,6.65
5,Operating Expenses,7.24,7.91,7.61,9.83,8.73,11.35,8.44,10.16,10.78,6.65
6,Operating Income,-3.81,-5.7,-1.26,-8.89,1.63,-1.69,4.56,13.16,-4.31,24.42
7,Interest Expense,-1.85,-1.94,-2.29,-2.25,-2.34,-2.04,-1.86,-2.05,-1.88,-2.27
8,Interest & Investment Income,0.2,0.21,0.22,0.3,0.31,0.33,0.33,0.3,0.32,1.61
9,Currency Exchange Gain (Loss),-0.02,0.02,-0.02,-0.04,-0.05,-0.04,-0.16,-0.4,-0.01,-1.04
10,Other Non Operating Income (Expenses),0.26,0.38,0.83,0.51,0.75,0.64,1.57,-1.23,0.29,-9.19
11,EBT Excluding Unusual Items,-5.22,-7.03,-2.52,-10.38,0.31,-2.79,4.43,9.78,-5.59,13.53
12,Gain (Loss) on Sale of Assets,-0.04,-0.04,-0.17,-0.13,-0.05,-0.02,-0.01,-0.09,-,-
13,Other Unusual Items,-,-,-,-,-,-,-,5.55,-,-
14,Pretax Income,-5.26,-7.07,-2.68,-10.5,0.26,-2.81,4.43,15.24,-5.59,13.53
15,Income Tax Expense,-2.91,-1.88,0.57,-1.78,0.2,4.68,0.39,5.53,-2.71,6.32
16,Net Income,-2.35,-5.19,-3.25,-8.73,0.06,-7.49,4.04,9.71,-2.88,7.21
17,Net Income to Common,-2.35,-5.19,-3.25,-8.73,0.06,-7.49,4.04,9.71,-2.88,7.21
18,Net Income Growth,-,-,-,-,-98.54%,-,-,34.69%,-,-
19,Shares Outstanding (Basic),420,400,400,400,400,400,400,400,400,338
20,Shares Outstanding (Diluted),420,400,400,400,400,400,400,400,400,338
21,Shares Change (YoY),5.09%,-,-,-,-,-,-,18.41%,33.33%,-
22,EPS (Basic),-0.01,-0.01,-0.01,-0.02,0.00,-0.02,0.01,0.02,-0.01,0.02
23,EPS (Diluted),-0.01,-0.01,-0.01,-0.02,0.00,-0.02,0.01,0.02,-0.01,0.02
24,EPS Growth,-,-,-,-,-98.54%,-,-,13.99%,-,-
25,Free Cash Flow,3.47,-21.15,-3.46,6.83,-8.05,-7.69,12.37,14.25,-16.83,6.8
26,Free Cash Flow Per Share,0.01,-0.05,-0.01,0.02,-0.02,-0.02,0.03,0.04,-0.04,0.02
27,Operating Margin,-21.01%,-34.63%,-5.37%,-54.63%,5.19%,-5.32%,12.85%,28.00%,-20.56%,49.62%
28,Profit Margin,-12.94%,-31.54%,-13.88%,-53.60%,0.19%,-23.65%,11.39%,20.65%,-13.74%,14.64%
29,Free Cash Flow Margin,19.14%,-128.47%,-14.79%,41.94%,-25.58%,-24.29%,34.87%,30.32%,-80.28%,13.83%
30,EBITDA,1.72,-0.69,3.45,-3.98,6.87,3.55,9.68,18,-0.71,28.11
31,D&A For EBITDA,5.54,5.01,4.71,4.91,5.24,5.23,5.12,4.84,3.6,3.7
32,EBIT,-3.81,-5.7,-1.26,-8.89,1.63,-1.69,4.56,13.16,-4.31,24.42
