,Fiscal Quarter,Current,H1 2024,H2 2023,H1 2023,H2 2022,H1 2022,H2 2021,H1 2021,H2 2020,H1 2020,H2 2019
,Period Ending,"Mar '25 Mar 13, 2025","Jun '24 Jun 30, 2024","Dec '23 Dec 31, 2023","Jun '23 Jun 30, 2023","Dec '22 Dec 31, 2022","Jun '22 Jun 30, 2022","Dec '21 Dec 31, 2021","Jun '21 Jun 30, 2021","Dec '20 Dec 31, 2020","Jun '20 Jun 30, 2020","Dec '19 Dec 31, 2019"
0,Market Capitalization,92,108,89,98,91,94,102,130,97,110,180
1,Market Cap Growth,9.88%,9.88%,-1.76%,4.68%,-10.98%,-27.69%,4.94%,18.18%,-46.00%,-,-
2,Enterprise Value,-17,4,-38,-41,-48,-67,-67,-21,-32,-45,147
3,Last Close Price,0.21,0.25,0.21,0.23,0.21,0.22,0.24,0.30,0.23,0.26,0.42
4,PE Ratio,-,-,-,-,-,-10.80,-,7.86,11.99,-,8.43
5,PS Ratio,2.33,2.91,2.03,2.29,1.68,1.27,1.24,1.31,1.20,1.43,1.72
6,PB Ratio,0.44,0.52,0.43,0.47,0.41,0.39,0.40,0.50,0.39,0.50,0.79
7,P/TBV Ratio,0.52,0.52,0.43,0.47,0.41,0.39,0.40,0.50,0.39,0.50,0.79
8,P/FCF Ratio,-,-5.69,-,-,-65.94,-,-,4.06,-31.75,-,7.99
9,P/OCF Ratio,26.99,26.99,-26.00,-,-489.75,-,-,3.56,4.53,5.76,5.26
10,EV/Sales Ratio,0.10,0.10,-,-,-,-,-,-,-,-,1.40
11,EV/EBITDA Ratio,3.46,3.46,-,-,-,-,-,-,-,-,2.32
12,EV/EBIT Ratio,-,-,-,-,-,-,-,-,-,-,2.69
13,EV/FCF Ratio,0.89,-0.20,-,-,-,-,-,-,-,-,6.52
14,Debt / Equity Ratio,0.26,0.26,0.30,0.30,0.30,0.29,0.21,0.19,0.19,0.21,0.26
15,Debt / FCF Ratio,-,-2.79,-,-,-48.42,-,-,1.49,-15.62,-,2.58
16,Return on Capital Employed (ROCE),-,-,-,-,-,-0.02%,-,8.20%,4.10%,-,18.81%
17,Earnings Yield,-8.81%,-7.49%,-10.43%,-13.15%,-10.79%,-9.26%,-4.15%,12.72%,8.34%,4.31%,11.86%
18,FCF Yield,-20.64%,-17.56%,-30.39%,3.69%,-1.52%,-19.61%,5.63%,24.63%,-3.15%,-10.00%,12.51%
19,Buyback Yield / Dilution,-2.54%,-5.09%,-,-,-,-,-,-,-18.41%,-33.33%,-
20,Total Shareholder Return,-2.54%,-5.09%,-,-,-,-,-,-,-18.41%,-33.33%,-
