,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Operating Revenue,276.81,293.57,276.1,283.86,233.35,240.18,305.59,237.74,185.31,180.55,200.15,315.06,160.04,198.48,213.85,264.63,170.18,194.53,304.44,208.89
1,Other Revenue,-,-3.77,3.77,-,3.29,-1.1,1.1,-,10.36,-5.71,5.71,-,5.15,-8.33,8.33,-,7.51,-3.5,3.5,-
2,Revenue,276.81,289.8,279.88,283.86,236.64,239.08,306.69,237.74,195.66,174.84,205.86,315.06,165.19,190.15,222.18,264.63,177.69,191.03,307.94,208.89
3,Revenue Growth (YoY),16.98%,21.21%,-8.74%,19.40%,20.94%,36.74%,48.98%,-24.54%,18.45%,-8.05%,-7.35%,19.06%,-7.04%,-0.46%,-27.85%,26.68%,-,-,-,-
4,Cost of Revenue,-470.96,157.95,155.23,157.78,132.11,132.31,179.26,139.61,123.62,106.74,137.29,205.27,110.2,129.65,144.42,173.32,120.48,120.04,189.6,118.6
5,Gross Profit,747.77,131.85,124.65,126.08,104.53,106.78,127.43,98.13,72.04,68.11,68.57,109.79,54.98,60.5,77.77,91.31,57.21,71,118.34,90.29
6,"Selling, General & Admin",-134.78,48.05,46.21,40.52,50.89,39.81,45.08,32.68,34.89,32.21,32.55,28.33,37.09,21.13,31.56,26.67,43.8,23.76,32.96,17.01
7,Research & Development,-80.07,26.37,31.24,22.47,33.02,25.42,26.09,18.67,20.42,19.02,17.25,14.83,22.59,14.82,12.41,9.37,9.68,10.53,9.41,12.23
8,Other Operating Expenses,926.02,-1.56,2.93,2.42,8.68,0.77,-2.42,2.68,3.34,2.91,0.78,1.26,3.54,-2.09,0.69,1.43,6.12,-2.68,3.01,0.54
9,Operating Expenses,708.58,73.89,81.94,65.4,91.96,64.76,71.06,53.69,59.18,52.36,48.72,48.74,63.43,32.71,44.84,39.23,58.39,32.03,47.38,29.21
10,Operating Income,39.19,57.95,42.71,60.68,12.56,42.02,56.38,44.45,12.87,15.74,19.85,61.04,-8.45,27.79,32.93,52.08,-1.18,38.97,70.96,61.08
11,Interest Expense,-11.17,-0.31,-0.07,-0.16,-0.01,-0.17,-0.04,-0.07,-0.05,-0.02,-0.04,-0.02,-0.04,-0.02,-0.03,-0.03,-0.03,-0.03,-0.26,-0.35
12,Interest & Investment Income,0.54,5.15,2.7,3.32,5.21,1.42,2.82,2.6,1.28,2.76,1.73,2.7,1.5,3.01,2.41,2.7,0.22,0.21,0.29,0.22
13,Currency Exchange Gain (Loss),-,-3.71,3.71,-,4.86,-2.69,2.69,-,7.14,-4.26,4.26,-,-0.92,0.44,-0.44,-,-4.81,-0.3,0.3,-
14,Other Non Operating Income (Expenses),-2.43,2.77,-1.73,0.65,-6.51,2.33,0.39,-1.23,-6.94,7.04,0.39,-0.94,0.41,-0.34,-0.9,0.13,2.99,-2.67,-0.94,-0.14
15,EBT Excluding Unusual Items,26.14,61.86,47.32,64.49,16.11,42.91,62.24,45.76,14.3,21.25,26.2,62.78,-7.5,30.88,33.97,54.88,-2.81,36.18,70.35,60.81
16,Gain (Loss) on Sale of Investments,-0.99,1,0.36,-0.37,-0.02,-0.07,-0.06,0.21,-0.01,0.23,0.37,-0.29,0.63,-0.57,-0.43,-,-,-,-,-
17,Gain (Loss) on Sale of Assets,0.09,-0.09,-,-0,-0.1,-,-,-,-0.1,-,-,-,-0.09,-,-,-,-0.5,0.5,-0.5,-
18,Asset Writedown,1.55,-1.55,-0.18,0.18,1.37,-1.37,-1.08,1.08,3.32,-3.32,0.92,-0.92,0.68,-0.68,-0.78,0.78,2.28,-2.28,-0.09,0.09
19,Other Unusual Items,0.52,-3.44,3,-0.08,8.67,-0.02,0.02,-,1.87,-,-,-,8.43,-,-,-,5.46,-1.16,1.16,-
20,Pretax Income,27.31,57.77,50.5,64.22,26.03,41.45,61.13,47.04,19.38,18.16,27.49,61.56,2.15,29.63,32.77,55.65,4.43,33.24,70.92,60.9
21,Income Tax Expense,-9.69,10.45,2.94,10.47,-2.87,7.3,6.13,6.78,-4.75,3.12,4.5,8.74,-5.73,5.03,4.53,8.33,-2.25,5.01,11.59,8.15
22,Earnings From Continuing Operations,37,47.32,47.57,53.75,28.9,34.15,54.99,40.26,24.13,15.04,22.99,52.82,7.88,24.59,28.24,47.33,6.68,28.23,59.33,52.75
23,Minority Interest in Earnings,-2.95,0.96,1.14,0.86,0.67,0.99,0.81,0.61,0.73,0.63,0.84,0.24,0.68,-0,-0,0,0,-,0,0
24,Net Income,34.04,48.27,48.71,54.61,29.57,35.15,55.8,40.87,24.85,15.66,23.83,53.06,8.56,24.59,28.24,47.33,6.68,28.23,59.33,52.75
25,Net Income to Common,34.04,48.27,48.71,54.61,29.57,35.15,55.8,40.87,24.85,15.66,23.83,53.06,8.56,24.59,28.24,47.33,6.68,28.23,59.33,52.75
26,Net Income Growth,15.13%,37.36%,-12.71%,33.61%,18.97%,124.38%,134.15%,-22.97%,190.31%,-36.31%,-15.62%,12.11%,28.24%,-12.90%,-52.40%,-10.29%,-,-,-,-
27,Shares Outstanding (Basic),110,110,111,111,110,110,112,110,113,111,109,111,111,110,119,91,83,83,82,82
28,Shares Outstanding (Diluted),110,110,111,111,110,110,112,110,113,111,109,111,111,110,119,91,83,83,82,82
29,Shares Change (YoY),0.18%,-0.28%,-0.92%,0.89%,-2.36%,-0.71%,2.41%,-0.07%,1.43%,1.02%,-8.20%,21.46%,34.12%,32.56%,44.29%,10.41%,-,-,-,-
30,EPS (Basic),0.31,0.44,0.44,0.49,0.27,0.32,0.50,0.37,0.22,0.14,0.22,0.48,0.08,0.22,0.24,0.52,0.08,0.34,0.72,0.64
31,EPS (Diluted),0.31,0.44,0.44,0.49,0.27,0.32,0.50,0.37,0.22,0.14,0.22,0.48,0.08,0.22,0.24,0.52,0.08,0.34,0.72,0.64
32,EPS Growth,14.93%,37.75%,-11.90%,32.43%,21.85%,125.98%,128.65%,-22.92%,186.23%,-36.95%,-8.08%,-7.69%,-4.39%,-34.29%,-67.01%,-18.75%,-,-,-,-
33,Free Cash Flow,-,20.29,-8.41,54.68,-50.13,-2.34,31.07,104.89,46.43,23.35,-2.22,-79.79,10.14,-39.8,-98.8,-54.06,85.36,-22.44,38.73,62.11
34,Free Cash Flow Per Share,-,0.18,-0.08,0.49,-0.46,-0.02,0.28,0.95,0.41,0.21,-0.02,-0.72,0.09,-0.36,-0.83,-0.59,1.03,-0.27,0.47,0.75
35,Dividend Per Share,-,-,0.300,-,0.900,-,-,-,0.380,-,-,-,0.300,-,-,-,0.450,-,-,-
36,Dividend Growth,-,-,-,-,136.84%,-,-,-,26.67%,-,-,-,-33.33%,-,-,-,-,-,-,-
37,Gross Margin,270.14%,45.50%,44.54%,44.42%,44.17%,44.66%,41.55%,41.28%,36.82%,38.95%,33.31%,34.85%,33.29%,31.82%,35.00%,34.51%,32.20%,37.17%,38.43%,43.22%
