,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Mar '25 Mar 13, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Market Capitalization,4400,4085,4289,3648,4654,4367,4839,5388,4593,3175,2567,3245,2992,3222,3028,3680,3279,-,-,-,-
1,Market Cap Growth,-6.46%,-6.46%,-11.37%,-32.30%,1.34%,37.56%,88.49%,66.03%,53.47%,-1.47%,-15.22%,-11.80%,-8.74%,-,-,-,-,-,-,-,-
2,Enterprise Value,4118,3802,4040,3280,4286,3999,4483,4869,4228,2810,2199,2884,2725,2955,2751,3067,3158,-,-,-,-
3,Last Close Price,39.70,36.84,38.37,32.50,40.56,38.05,42.17,46.93,39.83,27.54,22.27,27.84,25.67,27.75,26.08,31.69,27.86,-,-,-,-
4,PE Ratio,23.63,22.01,23.67,21.71,26.58,27.06,30.89,39.28,43.65,27.04,25.39,29.49,26.15,29.63,28.35,33.31,23.16,-,-,-,-
5,Forward PE,17.30,16.38,17.74,15.26,20.00,18.91,22.86,29.81,27.73,-,-,-,-,-,-,-,-,-,-,-,-
6,PS Ratio,3.88,3.61,3.93,3.51,4.36,4.28,4.94,5.89,5.64,3.56,2.98,3.70,3.35,3.83,3.54,4.30,3.48,-,-,-,-
7,PB Ratio,3.54,3.32,3.49,3.06,3.76,3.67,4.17,4.80,4.17,3.00,2.48,3.20,2.95,3.39,3.22,4.02,3.50,-,-,-,-
8,P/TBV Ratio,3.42,3.42,3.59,3.16,3.87,3.79,4.31,4.96,4.32,3.12,2.58,3.34,3.06,3.47,3.29,4.11,3.58,-,-,-,-
9,P/FCF Ratio,-,-,261.06,-,139.85,-,-,26.19,26.63,-259.57,-52.92,-,-,-17.65,-,-,-,-,-,-,-
10,P/OCF Ratio,-,-,22.18,23.29,26.27,20.63,19.08,19.92,18.09,33.95,32.78,71.53,-,-89.00,92.70,-,-,-,-,-,-
11,EV/Sales Ratio,3.64,3.36,3.71,3.16,4.02,3.92,4.58,5.32,5.19,3.15,2.55,3.29,3.05,3.51,3.22,3.58,3.36,-,-,-,-
12,EV/EBITDA Ratio,17.55,16.20,19.41,17.14,20.89,21.25,23.88,30.64,35.04,20.86,19.84,23.57,20.40,-,21.02,21.68,17.67,-,-,-,-
13,EV/EBIT Ratio,20.53,18.96,23.23,20.77,24.97,25.73,28.79,37.62,45.50,25.66,24.93,28.77,24.05,-,24.65,24.98,19.64,-,-,-,-
14,EV/FCF Ratio,-,-,245.91,-,128.78,-,-,23.67,24.52,-229.75,-45.32,-,-,-16.19,-,-,-,-,-,-,-
15,Debt / Equity Ratio,0.07,0.07,0.07,0.07,0.04,0.04,0.02,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,-,0.01,0.10
16,Debt / EBITDA Ratio,0.34,0.42,0.30,0.40,0.20,0.59,0.10,0.10,0.02,0.15,0.05,0.04,0.02,-,0.04,0.03,0.02,0.30,-,0.02,0.10
17,Debt / FCF Ratio,-,-,4.89,-,1.64,-,-,0.12,0.02,-1.02,-0.09,-,-,-0.02,-,-,-,0.03,-,0.05,0.44
18,Asset Turnover,-,0.75,0.74,0.76,0.66,0.67,0.89,0.74,0.66,0.58,0.66,1.01,0.55,0.66,0.75,1.13,-,-,-,-,
19,Inventory Turnover,-,-,2.02,2.06,2.14,1.81,1.86,2.67,2.24,2.04,1.60,1.93,2.77,1.49,1.92,2.51,3.78,-,-,-,-
20,Quick Ratio,-,-,1.82,1.85,2.11,2.16,2.16,1.86,2.64,3.39,3.76,2.22,2.24,1.77,1.71,1.57,2.77,0.93,-,1.10,-
21,Current Ratio,-,-,3.05,3.13,3.46,3.63,3.48,2.94,3.89,5.16,6.03,3.66,3.55,2.94,3.96,3.54,3.62,1.65,-,2.01,-
22,Return on Equity (ROE),12.03%,15.63%,15.66%,17.72%,9.84%,11.96%,19.77%,14.90%,9.22%,5.87%,9.08%,21.53%,3.33%,10.59%,12.19%,28.03%,-,-,73.33%,-,
