,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Dec '22 Dec 31, 2022","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Dec '21 Dec 31, 2021","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Dec '20 Dec 31, 2020","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020"
0,Cash & Equivalents,-,169.67,184.56,420.95,340.93,317.68,295.81,364.71,40.79,104.93,154.72,171.18,191.36,271.86,281.87,616.66,186.49,-,125.41,-
1,Short-Term Investments,-,-,35.04,-,-,-,-,-,-,-,-,-,61.08,-,-,-,-,-,-,-
2,Trading Asset Securities,-,190.99,110.39,0.01,15.07,70.08,84.15,158.21,377.3,265.31,220.08,195,183.12,-,-,-,-,-,-,-
3,Cash & Short-Term Investments,360.67,360.67,329.99,420.96,356,387.76,379.96,522.91,418.09,370.24,374.8,366.18,435.56,271.86,281.87,616.66,186.49,-,125.41,68.78
4,Cash Growth,1.31%,-6.99%,-13.15%,-19.50%,-14.85%,4.73%,1.38%,42.80%,-4.01%,36.19%,32.97%,-40.62%,133.55%,-,124.76%,796.53%,-,-,-,-
5,Accounts Receivable,-,138.5,126.34,95.51,97.46,105.2,136.46,85.13,95.14,83.93,115.5,150.72,66.44,63.04,85.49,94.11,49.27,-,69.35,-
6,Other Receivables,-,6.68,12.65,2.6,1.62,4.71,5.4,5.26,2.99,3.32,3.96,2.45,5.09,3.57,6.95,2.05,4.37,-,1.44,-
7,Receivables,-,145.18,138.99,98.11,99.08,109.91,141.86,90.39,98.13,87.25,119.46,153.17,71.52,66.61,92.45,96.16,53.65,-,70.78,-
8,Inventory,-,320.57,303.82,298.11,291.15,291.32,276.57,259.54,238.71,246.82,286.87,281.52,311.9,280.17,261.26,199.02,167.92,-,152.32,-
9,Prepaid Expenses,-,-,0.39,-,0.19,-,0.21,-,0.35,-,0.38,-,0.18,-,0.22,-,0.37,-,-,-
10,Other Current Assets,-,19.45,20.3,33.05,17.89,13.16,25.91,31.87,30.68,29.89,31.4,24.36,23.02,166.89,208.02,19.45,15.92,-,10.94,-
11,Total Current Assets,-,845.87,793.48,850.23,764.3,802.14,824.52,904.72,785.97,734.2,812.92,825.23,842.18,785.53,843.81,931.29,424.36,-,359.46,-
12,"Property, Plant & Equipment",-,502.8,484.48,473,460.03,401.36,380.26,377.32,382.16,372.41,371.63,374.43,363.39,302.34,272.75,240.77,224.86,-,174.46,-
13,Long-Term Investments,-,5,157.02,6.45,160,6.91,157.69,7.53,2.66,2.93,3.17,3.45,3.74,4,4.57,-,-,-,-,-
14,Other Intangible Assets,-,37.13,37.34,37.82,38.3,38.79,38.83,39.3,39.71,39.65,39.28,35.95,21.78,21.95,22.22,22.49,21.72,-,21.99,-
15,Long-Term Deferred Tax Assets,-,7.18,7.31,8.74,9.11,8.41,8.79,6.18,6.49,5.23,5.36,3.86,3.41,3.04,3.46,2.44,1.94,-,1.94,-
16,Long-Term Deferred Charges,-,2.07,0.93,1.01,0.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
17,Other Long-Term Assets,-,182.11,24.58,161.34,8.51,157.01,9.99,5.73,0.66,6.72,7.25,7.28,6.11,28.09,12.79,1.43,1.22,-,5.74,-
18,Total Assets,-,1582,1505,1539,1441,1415,1420,1341,1218,1161,1240,1250,1241,1145,1160,1198,674.11,-,563.59,-
19,Accounts Payable,-,176.86,163.3,150.75,123.11,154.34,186.83,150.35,81.86,58.81,120.55,174.06,126.49,125.7,187.39,182.12,116.72,-,121.27,-
20,Accrued Expenses,-,21.1,24.86,20.2,23.19,20.75,26.25,20.22,21.02,15.42,18.06,16.36,19.98,14.62,17.74,14.96,25.23,-,16.46,-
21,Short-Term Debt,-,0.05,16.99,0.03,11.45,0.05,11.37,-,8.35,-,-,-,-,-,-,-,-,-,-,-
22,Current Portion of Long-Term Debt,-,5.84,4.82,1.01,0.26,-,-,0.31,0.26,0.66,0.25,0.8,0.24,0.24,0.24,0.24,0.25,-,0.26,-
23,Current Portion of Leases,-,-,0.99,-,0.98,-,0.28,-,0.26,-,0.42,-,0.56,-,-,-,-,-,-,-
24,Current Income Taxes Payable,-,15.17,3.05,12.67,0.92,12.51,8.29,8.05,-,10.52,0.81,7.68,0.67,6.89,3.38,6.22,-,-,13.12,-
25,Current Unearned Revenue,-,30.92,28.47,34.09,31.2,19.16,30.98,35.62,27.44,20.47,20.34,27.2,87.2,27.85,26.25,42.2,90.86,-,25.05,-
26,Other Current Liabilities,-,27.74,11,26.67,19.48,23.9,16.17,18.12,13.16,15.93,61.88,6.03,51.42,23.06,3.46,11.19,23.91,-,2.79,-
27,Total Current Liabilities,-,277.68,253.48,245.42,210.6,230.7,280.17,232.66,152.35,121.82,222.33,232.13,286.56,198.36,238.47,256.93,256.97,-,178.96,-
28,Long-Term Debt,-,73.73,58.74,52.03,37.63,20.16,12.66,3.48,3.61,3.72,3.58,3.46,3.55,3.68,3.73,3.85,3.89,-,4.36,-
29,Long-Term Leases,-,0.69,0.94,1.43,1.46,0.64,0.73,-,-,-,0.17,0.17,0.14,0.84,0.97,-,-,-,-,-
30,Long-Term Unearned Revenue,-,0.08,0.49,0.18,0.31,0.29,1.24,0.5,0.65,0.61,0.77,1,1,1,-,-,-,-,-,-
31,Long-Term Deferred Tax Liabilities,-,-,-,1.54,1.54,1.96,1.96,1.96,1.96,-,-,-,-,-,-,0.01,-,-,-,-
32,Total Liabilities,-,352.17,313.65,300.61,251.54,253.75,296.75,238.6,158.57,126.15,226.84,236.76,291.25,203.87,243.17,260.79,260.86,-,183.32,-
33,Common Stock,-,111.28,111.32,110.84,110.84,110.84,110.89,110.42,110.42,110.42,110.42,110.42,110,110,110,110,82.5,-,82.5,-
34,Additional Paid-In Capital,-,606.05,604.76,596.43,593.58,594.41,591.17,581.63,577.84,577.1,572.55,567.21,557.36,556.54,556.54,555.91,106.55,-,105.95,-
35,Retained Earnings,-,538.99,490.71,541.78,487.17,457.6,422.45,408.58,367.7,342.85,327.19,336.48,283.42,274.86,250.27,271.53,224.2,-,189.29,-
36,Treasury Stock,-,-27.24,-19.09,-14.08,-4.59,-4.59,-4.59,-,-,-,-,-,-,-,-,-,-,-,-,-
37,Comprehensive Income & Other,-,3.21,5.13,4.21,3.33,4.14,4.43,1.77,2.72,3.5,0.84,-1.37,-1.06,-0.34,-0.4,0.16,-0.03,-,2.51,-
38,Total Common Equity,1232,1232,1193,1239,1190,1162,1124,1102,1059,1034,1011,1013,949.73,941.06,916.41,937.6,413.23,-,380.26,266.97
39,Minority Interest,-,-2.29,-1.33,-1.19,-1.1,-1.54,-1.02,-0.22,0.4,1.12,1.75,0.7,-0.37,0.02,0.02,0.02,0.02,-,0.02,-
40,Shareholders' Equity,1230,1230,1191,1238,1189,1161,1123,1102,1059,1035,1013,1013,949.36,941.08,916.43,937.62,413.25,-,380.27,266.99
41,Total Liabilities & Equity,-,1582,1505,1539,1441,1415,1420,1341,1218,1161,1240,1250,1241,1145,1160,1198,674.11,-,563.59,-
42,Total Debt,80.3,80.3,82.48,54.5,51.79,20.85,25.04,3.79,12.48,4.39,4.43,4.43,4.49,4.75,4.94,4.1,4.14,-,4.62,27.26
43,Net Cash (Debt),280.36,280.36,247.51,366.46,304.21,366.92,354.93,519.12,405.61,365.85,370.37,361.75,431.07,267.11,276.92,612.56,182.35,-,120.79,41.52
44,Net Cash Growth,-7.84%,-23.59%,-30.27%,-29.41%,-25.00%,0.29%,-4.17%,43.50%,-5.91%,36.97%,33.75%,-40.94%,136.39%,-,129.27%,1375.21%,-,-,-,-
45,Net Cash Per Share,2.55,2.55,2.24,3.29,2.77,3.33,3.18,4.70,3.61,3.30,3.39,3.27,3.89,2.43,2.33,6.73,2.20,-,1.47,0.50
46,Filing Date Shares Outstanding,110.04,109.77,110.88,110.84,110.84,110.84,110.89,110.42,110.42,110.42,110.42,110.42,110,110,110,110,110,82.79,82.5,82.43
47,Total Common Shares Outstanding,110.04,109.77,110.88,110.84,110.84,110.84,110.89,110.42,110.42,110.42,110.42,110.42,110,110,110,110,82.5,82.79,82.5,82.43
48,Working Capital,-,568.19,540.01,604.8,553.7,571.44,544.35,672.05,633.62,612.38,590.59,593.1,555.62,587.17,605.34,674.36,167.39,-,180.5,-
49,Book Value Per Share,11.23,11.23,10.76,11.18,10.74,10.49,10.14,9.98,9.59,9.36,9.16,9.17,8.63,8.56,8.33,8.52,5.01,-,4.61,3.24
50,Tangible Book Value,1195,1195,1155,1201,1152,1124,1086,1063,1019,994.22,971.73,976.79,927.95,919.11,894.2,915.11,391.51,-,358.27,245.4
51,Tangible Book Value Per Share,10.89,10.89,10.42,10.84,10.39,10.14,9.79,9.63,9.23,9.00,8.80,8.85,8.44,8.36,8.13,8.32,4.75,-,4.34,2.97
52,Buildings,-,-,380.62,-,373.89,-,357.41,-,356.88,-,353.23,-,166.93,-,167.19,-,167.37,-,167.94,-
53,Machinery,-,-,155.63,-,151.52,-,147.35,-,145.75,-,129.11,-,98.15,-,26.48,-,90.73,-,77.57,-
