,Fiscal Quarter,Current,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Mar '25 Mar 10, 2025","Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Market Capitalization,663811,517795,631238,864864,977184,930010,938995,886205,722943,655550,893468,918996,2021790,2083057,2148891,1751321,1238003,764945,390524,337180,256659,Upgrade
1,Market Cap Growth,-44.32%,-44.32%,-32.78%,-2.41%,35.17%,41.87%,5.10%,-3.57%,-64.24%,-68.53%,-58.42%,-47.53%,63.31%,172.31%,450.26%,419.40%,382.35%,69.27%,-13.39%,-32.87%,-51.89%,Upgrade
2,Enterprise Value,2536310,2080868,2006337,2387480,2141875,2053587,2202958,2320941,2107129,2392425,2326252,2332023,3175811,3073362,3043645,2815801,2022733,1830028,1601479,1780529,1436145,Upgrade
3,Last Close Price,5910.00,4610.00,5620.00,7700.00,8700.00,8280.00,8360.00,7890.00,6436.36,5467.44,7451.73,7664.64,16862.20,17373.18,18182.22,14818.30,10475.00,6185.97,3158.10,2726.71,2075.56,Upgrade
4,PE Ratio,-,-,-,-,-713.51,-,-9.54,-9.31,-9.87,-,5.79,3.71,4.92,4.71,4.44,4.44,6.57,10.09,-2.27,-,-1.52,Upgrade
5,PS Ratio,0.11,0.08,0.09,0.14,0.16,0.15,0.17,0.16,0.15,0.12,0.18,0.19,0.37,0.45,0.48,0.39,0.30,0.19,0.09,0.07,0.05,Upgrade
6,PB Ratio,0.53,0.41,0.50,0.51,0.52,0.50,0.50,0.47,0.39,0.34,0.44,0.45,1.01,1.09,1.16,1.00,0.77,0.52,0.28,0.24,0.18,Upgrade
7,P/TBV Ratio,0.45,0.45,0.55,0.55,0.56,0.54,0.54,0.51,0.42,0.37,0.47,0.49,1.08,1.17,1.26,1.09,0.84,0.57,0.31,0.27,0.20,Upgrade
8,P/FCF Ratio,-,-,-,-6.44,-,3.61,1.53,4.27,-,-3.41,-,-1.45,-,-,-,5.34,-,1.90,-3591.37,19.62,-,Upgrade
9,P/OCF Ratio,-,-,-,-16.79,-,2.92,1.41,4.17,-,-3.45,-,-1.47,-,-,-,5.17,-,1.85,215.95,16.72,-,Upgrade
10,EV/Sales Ratio,0.40,0.33,0.30,0.37,0.36,0.33,0.39,0.42,0.42,0.45,0.46,0.49,0.58,0.66,0.68,0.63,0.49,0.45,0.36,0.37,0.28,Upgrade
11,EV/EBITDA Ratio,-,-,-,-,26.89,22.48,294.58,68.56,16.27,-,7.50,5.68,5.91,5.47,4.75,5.30,6.71,9.83,34.78,59.54,28.95,Upgrade
12,EV/EBIT Ratio,-,-,-,-,37.88,30.37,-137.45,588.41,21.16,-,8.31,6.13,6.26,5.78,5.00,5.63,7.50,11.82,102.22,-2474.48,76.12,Upgrade
13,EV/FCF Ratio,-3.11,-,-,-17.79,-,7.98,3.58,11.17,-,-12.44,-,-3.69,-,-,-,8.59,-,4.54,-14727.66,103.59,-,Upgrade
14,Debt / Equity Ratio,1.62,1.62,1.62,0.90,0.89,0.78,0.68,0.74,0.83,0.81,0.95,0.86,0.93,0.77,0.68,0.67,0.89,0.72,0.84,0.97,1.21,Upgrade
15,Debt / EBITDA Ratio,-,-,-,-,18.54,21.35,19.87,14.22,11.35,-,11.44,3.64,3.90,12.91,2.19,1.19,2.48,2.48,8.62,20.63,15.11,Upgrade
16,Debt / FCF Ratio,-,-,-,-11.39,-,5.64,2.08,6.65,-,-8.07,-,-2.77,-,-,-,3.59,-,2.64,-10902.55,78.26,-,Upgrade
17,Asset Turnover,1.81,1.68,1.53,1.19,2.14,1.35,1.23,1.38,1.50,1.04,0.66,1.69,1.43,1.10,1.63,1.22,1.72,1.19,1.26,1.08,Upgrade,
18,Inventory Turnover,2.65,3.09,2.87,2.56,1.89,3.30,1.89,1.72,1.89,2.15,1.40,0.83,2.46,2.07,1.37,2.11,1.74,2.46,1.73,1.95,1.68,Upgrade
19,Quick Ratio,0.28,0.28,0.28,0.33,0.26,0.39,0.28,0.29,0.29,0.24,0.21,0.25,0.39,0.27,0.33,0.31,0.30,0.43,0.28,0.27,0.26,Upgrade
20,Current Ratio,1.31,1.31,1.31,1.46,1.52,1.58,1.63,1.67,1.60,1.61,1.56,1.68,1.63,1.60,1.82,1.81,1.51,1.71,1.57,1.49,1.42,Upgrade
21,Return on Equity (ROE),-102.62%,-60.22%,-34.40%,0.20%,-2.66%,1.11%,1.08%,1.33%,-23.15%,1.34%,5.68%,17.61%,7.22%,23.47%,47.05%,31.18%,21.62%,3.65%,-4.40%,1.03%,Upgrade,
22,Return on Assets (ROA),-15.52%,-10.31%,-5.53%,0.91%,0.57%,0.95%,1.05%,1.59%,-4.19%,1.97%,6.60%,6.54%,1.39%,10.23%,17.44%,10.55%,8.67%,2.24%,0.67%,1.47%,Upgrade,
23,Return on Capital (ROIC),-18.51%,-12.84%,-6.99%,1.13%,0.71%,1.17%,1.26%,1.93%,-5.00%,2.25%,7.36%,7.68%,1.62%,11.25%,20.10%,12.17%,9.59%,2.53%,0.75%,1.71%,Upgrade,
24,Return on Capital Employed (ROCE),-,-,-,-,3.03%,3.62%,-0.85%,0.21%,5.28%,-,13.74%,18.74%,25.29%,27.69%,32.88%,28.64%,16.85%,10.46%,1.11%,-0.05%,1.33%,Upgrade
25,Earnings Yield,-88.27%,-132.13%,-60.20%,-18.09%,-0.14%,0.43%,-10.49%,-10.75%,-10.13%,0.83%,17.27%,26.92%,20.33%,21.22%,22.52%,22.53%,15.21%,9.92%,-44.01%,-57.16%,-65.97%,Upgrade
26,FCF Yield,-122.83%,-157.47%,-84.06%,-15.52%,-11.63%,27.67%,65.45%,23.45%,13.85%,-29.33%,-88.22%,-68.79%,-21.20%,-20.86%,3.28%,18.71%,25.59%,52.64%,-0.03%,5.10%,-192.16%,Upgrade
27,Dividend Yield,0.00%,-,-,-,-,-,-,-,-,-,-,-,-,2.62%,-,-,-,-,-,-,-,Upgrade
28,Payout Ratio,0.00%,-,-,-,-,-,-,-,821.60%,-,-,-,-,-,-,26.38%,0.11%,-,-,-,1420.48%,Upgrade
29,Buyback Yield / Dilution,0.01%,0.31%,0.01%,-1.65%,-,-0.31%,-,1.65%,0.00%,1.92%,-1.45%,-1.45%,-1.45%,-3.43%,-,-,-0.10%,-,-,0.22%,-0.12%,Upgrade
30,Total Shareholder Return,0.01%,0.31%,0.01%,-1.65%,-,-0.31%,-,1.65%,0.00%,1.92%,-1.45%,-1.45%,-1.45%,-0.82%,-,-,-0.10%,-,-,0.22%,-0.12%,Upgrade
