,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Cash & Equivalents,102127,102127,114924,124289,270117,63420,34766,56587,113893,108310,72505,91088,62327,71756,43924,143959,151954,13752,18143,166370,Upgrade
1,Short-Term Investments,37734,37734,22034,22034,41027,40767,40166,40166,39038,58646,190997,257422,198967,153830,231073,187484,133852,110420,130532,109975,Upgrade
2,Trading Asset Securities,41202,41202,39886,13085,1806,74755,70158,40246,42620,77428,92963,135036,103362,76549,43383,57771,20030,20208,8918,9432,Upgrade
3,Cash & Short-Term Investments,181062,181062,176844,159408,312949,178941,145091,136999,195551,244383,356464,483547,364656,302136,318380,389214,305836,144381,157593,285777,Upgrade
4,Cash Growth,-42.14%,1.19%,21.89%,16.36%,60.03%,-26.78%,-59.30%,-71.67%,-46.37%,-19.11%,11.96%,24.24%,19.23%,109.26%,102.03%,36.19%,5.65%,25.91%,77.29%,144.26%,Upgrade
5,Accounts Receivable,544473,544473,639637,465897,534661,351229,436260,489651,333617,306136,178341,402070,241643,202912,126547,200556,231539,255349,255856,213361,Upgrade
6,Other Receivables,13903,13903,11294,10531,22433,65150,13233,9943,11221,10997,12962,11280,13363,10979,12509,16017,15874,15139,41836,19080,Upgrade
7,Receivables,559376,559376,651931,477428,557093,416379,452493,502594,347838,320133,191303,413350,255006,221469,152543,233573,247413,281608,297691,236441,Upgrade
8,Inventory,2573015,2573015,2567686,2739800,2413356,2754951,2697392,2849932,2994322,3386451,2902287,2571856,2807411,2237510,2118639,2072251,1643232,1878355,2002968,2097616,Upgrade
9,Prepaid Expenses,126.78,126.78,374.74,4551,819.32,386.65,340.65,420.94,594.53,420.62,396.37,491.97,476.1,280.8,649.08,599.56,678.71,3386,1552,374.23,Upgrade
10,Other Current Assets,150465,150465,238454,373961,277989,60078,76822,77273,104949,185781,188778,302880,208433,97199,46593,391452,22120,51842,93901,218955,Upgrade
