,Fiscal Quarter,Q4 2024,Q3 2024,Q2 2024,Q1 2024,Q4 2023,Q3 2023,Q2 2023,Q1 2023,Q4 2022,Q3 2022,Q2 2022,Q1 2022,Q4 2021,Q3 2021,Q2 2021,Q1 2021,Q4 2020,Q3 2020,Q2 2020,Q1 2020,+20 Quarters
,Period Ending,"Dec '24 Dec 31, 2024","Sep '24 Sep 30, 2024","Jun '24 Jun 30, 2024","Mar '24 Mar 31, 2024","Dec '23 Dec 31, 2023","Sep '23 Sep 30, 2023","Jun '23 Jun 30, 2023","Mar '23 Mar 31, 2023","Jan '23 Jan 1, 2023","Sep '22 Sep 30, 2022","Jun '22 Jun 30, 2022","Mar '22 Mar 31, 2022","Jan '22 Jan 1, 2022","Sep '21 Sep 30, 2021","Jun '21 Jun 30, 2021","Mar '21 Mar 31, 2021","Jan '21 Jan 1, 2021","Sep '20 Sep 30, 2020","Jun '20 Jun 30, 2020","Mar '20 Mar 31, 2020",+20 Quarters
0,Revenue,1777058,1704955,1633678,1261471,2168425,1324520,1232746,1431668,1661823,1159279,707655,1795733,1361454,909388,1394991,978948,1223119,893731,1025080,942601,Upgrade
1,Revenue Growth (YoY),-18.05%,28.72%,32.52%,-11.89%,30.48%,14.25%,74.20%,-20.27%,22.06%,27.48%,-49.27%,83.43%,11.31%,1.75%,36.09%,3.86%,-22.84%,-28.70%,-18.54%,-27.41%,Upgrade
2,Cost of Revenue,1986062,1841791,1700097,1219109,2135067,1288736,1194953,1382964,1713069,1102548,568101,1655921,1305983,748196,1107375,805915,1084764,840555,997041,897422,Upgrade
3,Gross Profit,-209004,-136835,-66419,42362,33358,35784,37792,48704,-51246,56731,139554,139812,55472,161192,287616,173033,138355,53176,28039,45179,Upgrade
4,"Selling, General & Admin",35057,30716,27918,26912,24127,20766,20946,22184,23166,21741,27050,28407,34344,25576,48580,37481,39866,26265,19273,24570,Upgrade
5,Operating Expenses,35057,30716,27918,26912,24127,20766,20946,22184,23166,21741,27050,28407,34344,25576,48580,37481,39866,26265,19273,24570,Upgrade
6,Operating Income,-244061,-167551,-94337,15451,9231,15019,16847,26520,-74412,34990,112504,111405,21127,135616,239036,135552,98489,26912,8766,20609,Upgrade
7,Interest Expense,-34352,-14314,-27796,-20206,-41191,-24643,-35914,-28566,-45118,-25388,-16722,-15852,-26676,-15550,-15450,-10793,-22271,-16245,-26141,-20845,Upgrade
8,Interest & Investment Income,1931,23789,780.9,704.78,-,1212,2558,1105,-,1814,5043,1074,-,2815,3692,653.18,-,1689,24464,5786,Upgrade
9,Earnings From Equity Investments,-32462,-37873,-17366,93.11,-1033,465.11,318.7,625.32,-5787,1753,4900,2679,-1626,5282,10718,10236,6117,158.11,-21599,521.16,Upgrade
10,Currency Exchange Gain (Loss),-3284,-,-14295,1620,542.88,2319,905.26,-140.96,-5711,607.33,-11618,5394,506.19,69.22,-509.3,771.7,-548.84,989.44,-3069,3069,Upgrade
11,Other Non Operating Income (Expenses),15272,-14745,-54.87,438.87,-32426,-768.61,133.95,-553.79,82092,-2055,-1195,-1116,4966,111.45,-396.87,1519,5144,-1749,2237,-5358,Upgrade
12,EBT Excluding Unusual Items,-296956,-210694,-153068,-1898,-64876,-6396,-15152,-1011,-48936,11721,92912,103584,-1703,128343,237089,137939,86930,11754,-15343,3783,Upgrade
13,Gain (Loss) on Sale of Investments,-1725,-,-1355,4087,30106,7579,11827,7326,-77917,-3117,-58235,5922,36885,2101,2362,3953,6362,1090,-199.81,199.81,Upgrade
14,Gain (Loss) on Sale of Assets,-,-,-,-,32128,5548,10316,1812,200.36,-,200.36,-,89.81,352.03,-,281.82,459.23,381.47,77.76,-77.76,Upgrade
